symbol,metric,year,value,crawled_date
NAV,Doanh thu bán hàng và CCDV,2020,70804899.0,2025-04-12
NAV,Doanh thu bán hàng và CCDV,2021,61294547.0,2025-04-12
NAV,Doanh thu bán hàng và CCDV,2022,100569745.0,2025-04-12
NAV,Doanh thu bán hàng và CCDV,2023,129325094.0,2025-04-12
NAV,Giá vốn hàng bán,2020,59211654.0,2025-04-12
NAV,Giá vốn hàng bán,2021,50518968.0,2025-04-12
NAV,Giá vốn hàng bán,2022,84788508.0,2025-04-12
NAV,Giá vốn hàng bán,2023,113860487.0,2025-04-12
NAV,Lợi nhuận gộp về BH và CCDV,2020,11593245.0,2025-04-12
NAV,Lợi nhuận gộp về BH và CCDV,2021,10775579.0,2025-04-12
NAV,Lợi nhuận gộp về BH và CCDV,2022,15781237.0,2025-04-12
NAV,Lợi nhuận gộp về BH và CCDV,2023,15464608.0,2025-04-12
NAV,Lợi nhuận tài chính,2020,25361980.0,2025-04-12
NAV,Lợi nhuận tài chính,2021,17227341.0,2025-04-12
NAV,Lợi nhuận tài chính,2022,16690073.0,2025-04-12
NAV,Lợi nhuận tài chính,2023,16581723.0,2025-04-12
NAV,Lợi nhuận khác,2020,2375429.0,2025-04-12
NAV,Lợi nhuận khác,2021,-440863.0,2025-04-12
NAV,Lợi nhuận khác,2022,1225933.0,2025-04-12
NAV,Lợi nhuận khác,2023,506286.0,2025-04-12
NAV,Tổng lợi nhuận trước thuế,2020,27085993.0,2025-04-12
NAV,Tổng lợi nhuận trước thuế,2021,20072918.0,2025-04-12
NAV,Tổng lợi nhuận trước thuế,2022,26156344.0,2025-04-12
NAV,Tổng lợi nhuận trước thuế,2023,23373504.0,2025-04-12
NAV,Lợi nhuận sau thuế,2020,24714098.0,2025-04-12
NAV,Lợi nhuận sau thuế,2021,18470010.0,2025-04-12
NAV,Lợi nhuận sau thuế,2022,23198486.0,2025-04-12
NAV,Lợi nhuận sau thuế,2023,21106729.0,2025-04-12
NAV,Lợi nhuận sau thuế của công ty mẹ,2020,24714098.0,2025-04-12
NAV,Lợi nhuận sau thuế của công ty mẹ,2021,18470010.0,2025-04-12
NAV,Lợi nhuận sau thuế của công ty mẹ,2022,23198486.0,2025-04-12
NAV,Lợi nhuận sau thuế của công ty mẹ,2023,21106729.0,2025-04-12
NAV,Tổng tài sản lưu động ngắn hạn,2020,134548604.0,2025-04-12
NAV,Tổng tài sản lưu động ngắn hạn,2021,165350042.0,2025-04-12
NAV,Tổng tài sản lưu động ngắn hạn,2022,90609743.0,2025-04-12
NAV,Tổng tài sản lưu động ngắn hạn,2023,97860762.0,2025-04-12
NAV,Tổng tài sản,2020,180525356.0,2025-04-12
NAV,Tổng tài sản,2021,180819677.0,2025-04-12
NAV,Tổng tài sản,2022,113575070.0,2025-04-12
NAV,Tổng tài sản,2023,120672092.0,2025-04-12
NAV,Nợ ngắn hạn,2020,62778494.0,2025-04-12
NAV,Nợ ngắn hạn,2021,76591176.0,2025-04-12
NAV,Nợ ngắn hạn,2022,4120230.0,2025-04-12
NAV,Nợ ngắn hạn,2023,2549874.0,2025-04-12
NAV,Tổng nợ,2020,69289894.0,2025-04-12
NAV,Tổng nợ,2021,78784876.0,2025-04-12
NAV,Tổng nợ,2022,5137800.0,2025-04-12
NAV,Tổng nợ,2023,5380204.0,2025-04-12
NAV,Vốn chủ sở hữu,2020,111235462.0,2025-04-12
NAV,Vốn chủ sở hữu,2021,102034802.0,2025-04-12
NAV,Vốn chủ sở hữu,2022,108437270.0,2025-04-12
NAV,Vốn chủ sở hữu,2023,115291888.0,2025-04-12
