symbol,metric,year,value,crawled_date
NBC,Doanh thu bán hàng và CCDV,2021,2666962268.0,2025-04-12
NBC,Doanh thu bán hàng và CCDV,2022,3610990495.0,2025-04-12
NBC,Doanh thu bán hàng và CCDV,2023,3251793344.0,2025-04-12
NBC,Doanh thu bán hàng và CCDV,2024,2804842054.0,2025-04-12
NBC,Giá vốn hàng bán,2021,2322180189.0,2025-04-12
NBC,Giá vốn hàng bán,2022,3193613594.0,2025-04-12
NBC,Giá vốn hàng bán,2023,2799184933.0,2025-04-12
NBC,Giá vốn hàng bán,2024,2523232765.0,2025-04-12
NBC,Lợi nhuận gộp về BH và CCDV,2021,344782079.0,2025-04-12
NBC,Lợi nhuận gộp về BH và CCDV,2022,417376902.0,2025-04-12
NBC,Lợi nhuận gộp về BH và CCDV,2023,452608411.0,2025-04-12
NBC,Lợi nhuận gộp về BH và CCDV,2024,281609289.0,2025-04-12
NBC,Lợi nhuận tài chính,2021,-165355279.0,2025-04-12
NBC,Lợi nhuận tài chính,2022,-162607986.0,2025-04-12
NBC,Lợi nhuận tài chính,2023,-132450566.0,2025-04-12
NBC,Lợi nhuận tài chính,2024,-71440798.0,2025-04-12
NBC,Lợi nhuận khác,2021,733906.0,2025-04-12
NBC,Lợi nhuận khác,2022,-1224476.0,2025-04-12
NBC,Lợi nhuận khác,2023,5753307.0,2025-04-12
NBC,Lợi nhuận khác,2024,5832537.0,2025-04-12
NBC,Tổng lợi nhuận trước thuế,2021,49240093.0,2025-04-12
NBC,Tổng lợi nhuận trước thuế,2022,60321517.0,2025-04-12
NBC,Tổng lợi nhuận trước thuế,2023,125884711.0,2025-04-12
NBC,Tổng lợi nhuận trước thuế,2024,46725911.0,2025-04-12
NBC,Lợi nhuận sau thuế,2021,44985967.0,2025-04-12
NBC,Lợi nhuận sau thuế,2022,47204007.0,2025-04-12
NBC,Lợi nhuận sau thuế,2023,104108495.0,2025-04-12
NBC,Lợi nhuận sau thuế,2024,37092704.0,2025-04-12
NBC,Lợi nhuận sau thuế của công ty mẹ,2021,44985967.0,2025-04-12
NBC,Lợi nhuận sau thuế của công ty mẹ,2022,47204007.0,2025-04-12
NBC,Lợi nhuận sau thuế của công ty mẹ,2023,104108495.0,2025-04-12
NBC,Lợi nhuận sau thuế của công ty mẹ,2024,37092704.0,2025-04-12
NBC,Tổng tài sản lưu động ngắn hạn,2021,815981128.0,2025-04-12
NBC,Tổng tài sản lưu động ngắn hạn,2022,1215878532.0,2025-04-12
NBC,Tổng tài sản lưu động ngắn hạn,2023,848020232.0,2025-04-12
NBC,Tổng tài sản lưu động ngắn hạn,2024,1054753258.0,2025-04-12
NBC,Tổng tài sản,2021,3471005390.0,2025-04-12
NBC,Tổng tài sản,2022,3373244249.0,2025-04-12
NBC,Tổng tài sản,2023,2627770126.0,2025-04-12
NBC,Tổng tài sản,2024,2570220921.0,2025-04-12
NBC,Nợ ngắn hạn,2021,1578470865.0,2025-04-12
NBC,Nợ ngắn hạn,2022,2030018409.0,2025-04-12
NBC,Nợ ngắn hạn,2023,1650383714.0,2025-04-12
NBC,Nợ ngắn hạn,2024,1898554094.0,2025-04-12
NBC,Tổng nợ,2021,2991234855.0,2025-04-12
NBC,Tổng nợ,2022,2884419726.0,2025-04-12
NBC,Tổng nợ,2023,2052567286.0,2025-04-12
NBC,Tổng nợ,2024,2044776839.0,2025-04-12
NBC,Vốn chủ sở hữu,2021,479770535.0,2025-04-12
NBC,Vốn chủ sở hữu,2022,488824524.0,2025-04-12
NBC,Vốn chủ sở hữu,2023,575202840.0,2025-04-12
NBC,Vốn chủ sở hữu,2024,525444082.0,2025-04-12
