symbol,metric,year,value,crawled_date
ND2,Doanh thu bán hàng và CCDV,2022,462139888.0,2025-04-12
ND2,Doanh thu bán hàng và CCDV,2023,331457153.0,2025-04-12
ND2,Doanh thu bán hàng và CCDV,2023,331457153.0,2025-04-12
ND2,Doanh thu bán hàng và CCDV,2024,364973807.0,2025-04-12
ND2,Giá vốn hàng bán,2022,131943047.0,2025-04-12
ND2,Giá vốn hàng bán,2023,121811339.0,2025-04-12
ND2,Giá vốn hàng bán,2023,121811339.0,2025-04-12
ND2,Giá vốn hàng bán,2024,125386496.0,2025-04-12
ND2,Lợi nhuận gộp về BH và CCDV,2022,330196840.0,2025-04-12
ND2,Lợi nhuận gộp về BH và CCDV,2023,203669211.0,2025-04-12
ND2,Lợi nhuận gộp về BH và CCDV,2023,203669211.0,2025-04-12
ND2,Lợi nhuận gộp về BH và CCDV,2024,239587311.0,2025-04-12
ND2,Lợi nhuận tài chính,2022,-75696674.0,2025-04-12
ND2,Lợi nhuận tài chính,2023,-76628691.0,2025-04-12
ND2,Lợi nhuận tài chính,2023,-76628691.0,2025-04-12
ND2,Lợi nhuận tài chính,2024,-51441565.0,2025-04-12
ND2,Lợi nhuận khác,2022,-17333.0,2025-04-12
ND2,Lợi nhuận khác,2023,228025.0,2025-04-12
ND2,Lợi nhuận khác,2023,228025.0,2025-04-12
ND2,Lợi nhuận khác,2024,1489360.0,2025-04-12
ND2,Tổng lợi nhuận trước thuế,2022,234561617.0,2025-04-12
ND2,Tổng lợi nhuận trước thuế,2023,111918004.0,2025-04-12
ND2,Tổng lợi nhuận trước thuế,2023,111918004.0,2025-04-12
ND2,Tổng lợi nhuận trước thuế,2024,170783163.0,2025-04-12
ND2,Lợi nhuận sau thuế,2022,224590182.0,2025-04-12
ND2,Lợi nhuận sau thuế,2023,107054977.0,2025-04-12
ND2,Lợi nhuận sau thuế,2023,107054977.0,2025-04-12
ND2,Lợi nhuận sau thuế,2024,161805894.0,2025-04-12
ND2,Lợi nhuận sau thuế của công ty mẹ,2022,224590182.0,2025-04-12
ND2,Lợi nhuận sau thuế của công ty mẹ,2023,107054977.0,2025-04-12
ND2,Lợi nhuận sau thuế của công ty mẹ,2023,107054977.0,2025-04-12
ND2,Lợi nhuận sau thuế của công ty mẹ,2024,161805894.0,2025-04-12
ND2,Tổng tài sản lưu động ngắn hạn,2022,156194604.0,2025-04-12
ND2,Tổng tài sản lưu động ngắn hạn,2023,108522963.0,2025-04-12
ND2,Tổng tài sản lưu động ngắn hạn,2023,108522963.0,2025-04-12
ND2,Tổng tài sản lưu động ngắn hạn,2024,123674270.0,2025-04-12
ND2,Tổng tài sản,2022,1689779810.0,2025-04-12
ND2,Tổng tài sản,2023,1555504760.0,2025-04-12
ND2,Tổng tài sản,2023,1555504760.0,2025-04-12
ND2,Tổng tài sản,2024,1482272668.0,2025-04-12
ND2,Nợ ngắn hạn,2022,180086966.0,2025-04-12
ND2,Nợ ngắn hạn,2023,196984859.0,2025-04-12
ND2,Nợ ngắn hạn,2023,196984859.0,2025-04-12
ND2,Nợ ngắn hạn,2024,231994793.0,2025-04-12
ND2,Tổng nợ,2022,916238938.0,2025-04-12
ND2,Tổng nợ,2023,778136831.0,2025-04-12
ND2,Tổng nợ,2023,778136831.0,2025-04-12
ND2,Tổng nợ,2024,643146766.0,2025-04-12
ND2,Vốn chủ sở hữu,2022,773540872.0,2025-04-12
ND2,Vốn chủ sở hữu,2023,777367929.0,2025-04-12
ND2,Vốn chủ sở hữu,2023,777367929.0,2025-04-12
ND2,Vốn chủ sở hữu,2024,839125902.0,2025-04-12
