symbol,metric,year,value,crawled_date
NGC,Doanh thu bán hàng và CCDV,2019,134529145.0,2025-04-12
NGC,Doanh thu bán hàng và CCDV,2020,17981902.0,2025-04-12
NGC,Doanh thu bán hàng và CCDV,2021,175705208.0,2025-04-12
NGC,Doanh thu bán hàng và CCDV,2022,84121778.0,2025-04-12
NGC,Giá vốn hàng bán,2019,134473641.0,2025-04-12
NGC,Giá vốn hàng bán,2020,33785202.0,2025-04-12
NGC,Giá vốn hàng bán,2021,162009292.0,2025-04-12
NGC,Giá vốn hàng bán,2022,85013298.0,2025-04-12
NGC,Lợi nhuận gộp về BH và CCDV,2019,-1502472.0,2025-04-12
NGC,Lợi nhuận gộp về BH và CCDV,2020,-15803300.0,2025-04-12
NGC,Lợi nhuận gộp về BH và CCDV,2021,13695916.0,2025-04-12
NGC,Lợi nhuận gộp về BH và CCDV,2022,-891520.0,2025-04-12
NGC,Lợi nhuận tài chính,2019,-2731614.0,2025-04-12
NGC,Lợi nhuận tài chính,2020,-245351.0,2025-04-12
NGC,Lợi nhuận tài chính,2021,-5284273.0,2025-04-12
NGC,Lợi nhuận tài chính,2022,-3992913.0,2025-04-12
NGC,Lợi nhuận khác,2020,293426.0,2025-04-12
NGC,Lợi nhuận khác,2021,247098.0,2025-04-12
NGC,Lợi nhuận khác,2022,97397.0,2025-04-12
NGC,Tổng lợi nhuận trước thuế,2019,-15585074.0,2025-04-12
NGC,Tổng lợi nhuận trước thuế,2020,-16907455.0,2025-04-12
NGC,Tổng lợi nhuận trước thuế,2021,8114405.0,2025-04-12
NGC,Tổng lợi nhuận trước thuế,2022,-6105644.0,2025-04-12
NGC,Lợi nhuận sau thuế,2019,-15585074.0,2025-04-12
NGC,Lợi nhuận sau thuế,2020,-16907455.0,2025-04-12
NGC,Lợi nhuận sau thuế,2021,8114405.0,2025-04-12
NGC,Lợi nhuận sau thuế,2022,-6411644.0,2025-04-12
NGC,Lợi nhuận sau thuế của công ty mẹ,2019,-15585074.0,2025-04-12
NGC,Lợi nhuận sau thuế của công ty mẹ,2020,-16907455.0,2025-04-12
NGC,Lợi nhuận sau thuế của công ty mẹ,2021,8114405.0,2025-04-12
NGC,Lợi nhuận sau thuế của công ty mẹ,2022,-6411644.0,2025-04-12
NGC,Tổng tài sản lưu động ngắn hạn,2019,38607109.0,2025-04-12
NGC,Tổng tài sản lưu động ngắn hạn,2020,10545757.0,2025-04-12
NGC,Tổng tài sản lưu động ngắn hạn,2021,117259844.0,2025-04-12
NGC,Tổng tài sản lưu động ngắn hạn,2022,85922882.0,2025-04-12
NGC,Tổng tài sản,2019,79060127.0,2025-04-12
NGC,Tổng tài sản,2020,47809236.0,2025-04-12
NGC,Tổng tài sản,2021,153989299.0,2025-04-12
NGC,Tổng tài sản,2022,127022141.0,2025-04-12
NGC,Nợ ngắn hạn,2019,69811006.0,2025-04-12
NGC,Nợ ngắn hạn,2020,55832570.0,2025-04-12
NGC,Nợ ngắn hạn,2021,153898228.0,2025-04-12
NGC,Nợ ngắn hạn,2022,133342714.0,2025-04-12
NGC,Tổng nợ,2019,70176006.0,2025-04-12
NGC,Tổng nợ,2020,55832570.0,2025-04-12
NGC,Tổng nợ,2021,153898228.0,2025-04-12
NGC,Tổng nợ,2022,133342714.0,2025-04-12
NGC,Vốn chủ sở hữu,2019,8884121.0,2025-04-12
NGC,Vốn chủ sở hữu,2020,-8023334.0,2025-04-12
NGC,Vốn chủ sở hữu,2021,91071.0,2025-04-12
NGC,Vốn chủ sở hữu,2022,-6320573.0,2025-04-12
