symbol,metric,year,value,crawled_date
NKG,Doanh thu bán hàng và CCDV,2022,23128328991.0,2025-04-12
NKG,Doanh thu bán hàng và CCDV,2023,18621212568.0,2025-04-12
NKG,Doanh thu bán hàng và CCDV,2023,18621212568.0,2025-04-12
NKG,Doanh thu bán hàng và CCDV,2024,20707517192.0,2025-04-12
NKG,Giá vốn hàng bán,2022,21589886519.0,2025-04-12
NKG,Giá vốn hàng bán,2023,17483711237.0,2025-04-12
NKG,Giá vốn hàng bán,2023,17483711237.0,2025-04-12
NKG,Giá vốn hàng bán,2024,18777248235.0,2025-04-12
NKG,Lợi nhuận gộp về BH và CCDV,2022,1481360766.0,2025-04-12
NKG,Lợi nhuận gộp về BH và CCDV,2023,1112263016.0,2025-04-12
NKG,Lợi nhuận gộp về BH và CCDV,2023,1112263016.0,2025-04-12
NKG,Lợi nhuận gộp về BH và CCDV,2024,1831773955.0,2025-04-12
NKG,Lợi nhuận tài chính,2022,-200098080.0,2025-04-12
NKG,Lợi nhuận tài chính,2023,-195776437.0,2025-04-12
NKG,Lợi nhuận tài chính,2023,-195776437.0,2025-04-12
NKG,Lợi nhuận tài chính,2024,-136480855.0,2025-04-12
NKG,Lợi nhuận khác,2022,-67850.0,2025-04-12
NKG,Lợi nhuận khác,2023,238484.0,2025-04-12
NKG,Lợi nhuận khác,2023,238484.0,2025-04-12
NKG,Lợi nhuận khác,2024,717000.0,2025-04-12
NKG,Tổng lợi nhuận trước thuế,2022,-106912505.0,2025-04-12
NKG,Tổng lợi nhuận trước thuế,2023,177310914.0,2025-04-12
NKG,Tổng lợi nhuận trước thuế,2023,177310914.0,2025-04-12
NKG,Tổng lợi nhuận trước thuế,2024,558169985.0,2025-04-12
NKG,Lợi nhuận sau thuế,2022,-124684838.0,2025-04-12
NKG,Lợi nhuận sau thuế,2023,117408565.0,2025-04-12
NKG,Lợi nhuận sau thuế,2023,117408565.0,2025-04-12
NKG,Lợi nhuận sau thuế,2024,453008144.0,2025-04-12
NKG,Lợi nhuận sau thuế của công ty mẹ,2022,-124684838.0,2025-04-12
NKG,Lợi nhuận sau thuế của công ty mẹ,2023,117408565.0,2025-04-12
NKG,Lợi nhuận sau thuế của công ty mẹ,2023,117408565.0,2025-04-12
NKG,Lợi nhuận sau thuế của công ty mẹ,2024,453008144.0,2025-04-12
NKG,Tổng tài sản lưu động ngắn hạn,2022,10414909065.0,2025-04-12
NKG,Tổng tài sản lưu động ngắn hạn,2023,9322639041.0,2025-04-12
NKG,Tổng tài sản lưu động ngắn hạn,2023,9322639041.0,2025-04-12
NKG,Tổng tài sản lưu động ngắn hạn,2024,10202370501.0,2025-04-12
NKG,Tổng tài sản,2022,13460759830.0,2025-04-12
NKG,Tổng tài sản,2023,12235401247.0,2025-04-12
NKG,Tổng tài sản,2023,12235401247.0,2025-04-12
NKG,Tổng tài sản,2024,13519085553.0,2025-04-12
NKG,Nợ ngắn hạn,2022,8108870807.0,2025-04-12
NKG,Nợ ngắn hạn,2023,6784014554.0,2025-04-12
NKG,Nợ ngắn hạn,2023,6784014554.0,2025-04-12
NKG,Nợ ngắn hạn,2024,7620886731.0,2025-04-12
NKG,Tổng nợ,2022,8141109695.0,2025-04-12
NKG,Tổng nợ,2023,6812327290.0,2025-04-12
NKG,Tổng nợ,2023,6812327290.0,2025-04-12
NKG,Tổng nợ,2024,7647678978.0,2025-04-12
NKG,Vốn chủ sở hữu,2022,5319650135.0,2025-04-12
NKG,Vốn chủ sở hữu,2023,5423073957.0,2025-04-12
NKG,Vốn chủ sở hữu,2023,5423073957.0,2025-04-12
NKG,Vốn chủ sở hữu,2024,5871406574.0,2025-04-12
