symbol,metric,year,value,crawled_date
NOS,Doanh thu bán hàng và CCDV,2021,246212373.0,2025-04-12
NOS,Doanh thu bán hàng và CCDV,2022,371281197.0,2025-04-12
NOS,Doanh thu bán hàng và CCDV,2023,168220546.0,2025-04-12
NOS,Doanh thu bán hàng và CCDV,2024,166279225.0,2025-04-12
NOS,Giá vốn hàng bán,2021,310650190.0,2025-04-12
NOS,Giá vốn hàng bán,2022,437419536.0,2025-04-12
NOS,Giá vốn hàng bán,2023,301230193.0,2025-04-12
NOS,Giá vốn hàng bán,2024,275009272.0,2025-04-12
NOS,Lợi nhuận gộp về BH và CCDV,2021,-64437817.0,2025-04-12
NOS,Lợi nhuận gộp về BH và CCDV,2022,-66138339.0,2025-04-12
NOS,Lợi nhuận gộp về BH và CCDV,2023,-133009647.0,2025-04-12
NOS,Lợi nhuận gộp về BH và CCDV,2024,-108730047.0,2025-04-12
NOS,Lợi nhuận tài chính,2021,-31176198.0,2025-04-12
NOS,Lợi nhuận tài chính,2022,-156243766.0,2025-04-12
NOS,Lợi nhuận tài chính,2023,-153738698.0,2025-04-12
NOS,Lợi nhuận tài chính,2024,-192194363.0,2025-04-12
NOS,Lợi nhuận khác,2021,-662333.0,2025-04-12
NOS,Lợi nhuận khác,2022,1004201.0,2025-04-12
NOS,Lợi nhuận khác,2023,1873554.0,2025-04-12
NOS,Lợi nhuận khác,2024,23475200.0,2025-04-12
NOS,Tổng lợi nhuận trước thuế,2021,-113115307.0,2025-04-12
NOS,Tổng lợi nhuận trước thuế,2022,-247236311.0,2025-04-12
NOS,Tổng lợi nhuận trước thuế,2023,-299150766.0,2025-04-12
NOS,Tổng lợi nhuận trước thuế,2024,-289186166.0,2025-04-12
NOS,Lợi nhuận sau thuế,2021,-113115307.0,2025-04-12
NOS,Lợi nhuận sau thuế,2022,-247236311.0,2025-04-12
NOS,Lợi nhuận sau thuế,2023,-299150766.0,2025-04-12
NOS,Lợi nhuận sau thuế,2024,-289186166.0,2025-04-12
NOS,Lợi nhuận sau thuế của công ty mẹ,2021,-113115307.0,2025-04-12
NOS,Lợi nhuận sau thuế của công ty mẹ,2022,-247236311.0,2025-04-12
NOS,Lợi nhuận sau thuế của công ty mẹ,2023,-299150766.0,2025-04-12
NOS,Lợi nhuận sau thuế của công ty mẹ,2024,-289186166.0,2025-04-12
NOS,Tổng tài sản lưu động ngắn hạn,2021,103282168.0,2025-04-12
NOS,Tổng tài sản lưu động ngắn hạn,2022,122679635.0,2025-04-12
NOS,Tổng tài sản lưu động ngắn hạn,2023,125826423.0,2025-04-12
NOS,Tổng tài sản lưu động ngắn hạn,2024,119744946.0,2025-04-12
NOS,Tổng tài sản,2021,767282810.0,2025-04-12
NOS,Tổng tài sản,2022,649619698.0,2025-04-12
NOS,Tổng tài sản,2023,513144164.0,2025-04-12
NOS,Tổng tài sản,2024,361512114.0,2025-04-12
NOS,Nợ ngắn hạn,2021,2896591408.0,2025-04-12
NOS,Nợ ngắn hạn,2022,2972754251.0,2025-04-12
NOS,Nợ ngắn hạn,2023,3079191845.0,2025-04-12
NOS,Nợ ngắn hạn,2024,5459597468.0,2025-04-12
NOS,Tổng nợ,2021,5031257510.0,2025-04-12
NOS,Tổng nợ,2022,5160830710.0,2025-04-12
NOS,Tổng nợ,2023,5323505941.0,2025-04-12
NOS,Tổng nợ,2024,5461060057.0,2025-04-12
NOS,Vốn chủ sở hữu,2021,-4263974701.0,2025-04-12
NOS,Vốn chủ sở hữu,2022,-4511211012.0,2025-04-12
NOS,Vốn chủ sở hữu,2023,-4810361778.0,2025-04-12
NOS,Vốn chủ sở hữu,2024,-5099547944.0,2025-04-12
