symbol,metric,year,value,crawled_date
NQB,Doanh thu bán hàng và CCDV,2021,106872719.0,2025-04-12
NQB,Doanh thu bán hàng và CCDV,2022,117841743.0,2025-04-12
NQB,Doanh thu bán hàng và CCDV,2023,129078381.0,2025-04-12
NQB,Doanh thu bán hàng và CCDV,2024,133591382.0,2025-04-12
NQB,Giá vốn hàng bán,2021,84805273.0,2025-04-12
NQB,Giá vốn hàng bán,2022,88872162.0,2025-04-12
NQB,Giá vốn hàng bán,2023,98104319.0,2025-04-12
NQB,Giá vốn hàng bán,2024,100894811.0,2025-04-12
NQB,Lợi nhuận gộp về BH và CCDV,2021,22067447.0,2025-04-12
NQB,Lợi nhuận gộp về BH và CCDV,2022,28969581.0,2025-04-12
NQB,Lợi nhuận gộp về BH và CCDV,2023,30974062.0,2025-04-12
NQB,Lợi nhuận gộp về BH và CCDV,2024,32696571.0,2025-04-12
NQB,Lợi nhuận tài chính,2021,-3085424.0,2025-04-12
NQB,Lợi nhuận tài chính,2022,-2726662.0,2025-04-12
NQB,Lợi nhuận tài chính,2023,-2316891.0,2025-04-12
NQB,Lợi nhuận tài chính,2024,-1734071.0,2025-04-12
NQB,Lợi nhuận khác,2021,76956.0,2025-04-12
NQB,Lợi nhuận khác,2022,-115120.0,2025-04-12
NQB,Lợi nhuận khác,2023,33648.0,2025-04-12
NQB,Lợi nhuận khác,2024,241019.0,2025-04-12
NQB,Tổng lợi nhuận trước thuế,2021,9088183.0,2025-04-12
NQB,Tổng lợi nhuận trước thuế,2022,14183433.0,2025-04-12
NQB,Tổng lợi nhuận trước thuế,2023,16608765.0,2025-04-12
NQB,Tổng lợi nhuận trước thuế,2024,18433426.0,2025-04-12
NQB,Lợi nhuận sau thuế,2021,7262386.0,2025-04-12
NQB,Lợi nhuận sau thuế,2022,11312505.0,2025-04-12
NQB,Lợi nhuận sau thuế,2023,13250952.0,2025-04-12
NQB,Lợi nhuận sau thuế,2024,14688021.0,2025-04-12
NQB,Lợi nhuận sau thuế của công ty mẹ,2021,7262386.0,2025-04-12
NQB,Lợi nhuận sau thuế của công ty mẹ,2022,11312505.0,2025-04-12
NQB,Lợi nhuận sau thuế của công ty mẹ,2023,13250952.0,2025-04-12
NQB,Lợi nhuận sau thuế của công ty mẹ,2024,14688021.0,2025-04-12
NQB,Tổng tài sản lưu động ngắn hạn,2021,25898324.0,2025-04-12
NQB,Tổng tài sản lưu động ngắn hạn,2022,34159786.0,2025-04-12
NQB,Tổng tài sản lưu động ngắn hạn,2023,38775994.0,2025-04-12
NQB,Tổng tài sản lưu động ngắn hạn,2024,42261646.0,2025-04-12
NQB,Tổng tài sản,2021,249560179.0,2025-04-12
NQB,Tổng tài sản,2022,249857115.0,2025-04-12
NQB,Tổng tài sản,2023,248278044.0,2025-04-12
NQB,Tổng tài sản,2024,254738097.0,2025-04-12
NQB,Nợ ngắn hạn,2021,30490790.0,2025-04-12
NQB,Nợ ngắn hạn,2022,33854912.0,2025-04-12
NQB,Nợ ngắn hạn,2023,36154700.0,2025-04-12
NQB,Nợ ngắn hạn,2024,42663446.0,2025-04-12
NQB,Tổng nợ,2021,67347586.0,2025-04-12
NQB,Tổng nợ,2022,62994403.0,2025-04-12
NQB,Tổng nợ,2023,57576885.0,2025-04-12
NQB,Tổng nợ,2024,60499868.0,2025-04-12
NQB,Vốn chủ sở hữu,2021,182212593.0,2025-04-12
NQB,Vốn chủ sở hữu,2022,186862712.0,2025-04-12
NQB,Vốn chủ sở hữu,2023,190701159.0,2025-04-12
NQB,Vốn chủ sở hữu,2024,194238228.0,2025-04-12
