symbol,metric,year,value,crawled_date
NUE,Doanh thu bán hàng và CCDV,2021,183772765.0,2025-04-12
NUE,Doanh thu bán hàng và CCDV,2022,223928586.0,2025-04-12
NUE,Doanh thu bán hàng và CCDV,2023,233919468.0,2025-04-12
NUE,Doanh thu bán hàng và CCDV,2024,227046018.0,2025-04-12
NUE,Giá vốn hàng bán,2021,168645334.0,2025-04-12
NUE,Giá vốn hàng bán,2022,206193532.0,2025-04-12
NUE,Giá vốn hàng bán,2023,215646412.0,2025-04-12
NUE,Giá vốn hàng bán,2024,208134966.0,2025-04-12
NUE,Lợi nhuận gộp về BH và CCDV,2021,15118806.0,2025-04-12
NUE,Lợi nhuận gộp về BH và CCDV,2022,17733654.0,2025-04-12
NUE,Lợi nhuận gộp về BH và CCDV,2023,18273056.0,2025-04-12
NUE,Lợi nhuận gộp về BH và CCDV,2024,18911052.0,2025-04-12
NUE,Lợi nhuận tài chính,2021,897877.0,2025-04-12
NUE,Lợi nhuận tài chính,2022,1431142.0,2025-04-12
NUE,Lợi nhuận tài chính,2023,1932384.0,2025-04-12
NUE,Lợi nhuận tài chính,2024,1226093.0,2025-04-12
NUE,Lợi nhuận khác,2021,-14287.0,2025-04-12
NUE,Lợi nhuận khác,2022,-700263.0,2025-04-12
NUE,Lợi nhuận khác,2023,-136966.0,2025-04-12
NUE,Lợi nhuận khác,2024,46959.0,2025-04-12
NUE,Tổng lợi nhuận trước thuế,2021,7098603.0,2025-04-12
NUE,Tổng lợi nhuận trước thuế,2022,7739860.0,2025-04-12
NUE,Tổng lợi nhuận trước thuế,2023,8096959.0,2025-04-12
NUE,Tổng lợi nhuận trước thuế,2024,8139228.0,2025-04-12
NUE,Lợi nhuận sau thuế,2021,6075469.0,2025-04-12
NUE,Lợi nhuận sau thuế,2022,6120183.0,2025-04-12
NUE,Lợi nhuận sau thuế,2023,6418956.0,2025-04-12
NUE,Lợi nhuận sau thuế,2024,6443822.0,2025-04-12
NUE,Lợi nhuận sau thuế của công ty mẹ,2021,6075469.0,2025-04-12
NUE,Lợi nhuận sau thuế của công ty mẹ,2022,6120183.0,2025-04-12
NUE,Lợi nhuận sau thuế của công ty mẹ,2023,6418956.0,2025-04-12
NUE,Lợi nhuận sau thuế của công ty mẹ,2024,6443822.0,2025-04-12
NUE,Tổng tài sản lưu động ngắn hạn,2021,78398968.0,2025-04-12
NUE,Tổng tài sản lưu động ngắn hạn,2022,99987862.0,2025-04-12
NUE,Tổng tài sản lưu động ngắn hạn,2023,113502961.0,2025-04-12
NUE,Tổng tài sản lưu động ngắn hạn,2024,105574979.0,2025-04-12
NUE,Tổng tài sản,2021,109304119.0,2025-04-12
NUE,Tổng tài sản,2022,126510239.0,2025-04-12
NUE,Tổng tài sản,2023,137821380.0,2025-04-12
NUE,Tổng tài sản,2024,123481590.0,2025-04-12
NUE,Nợ ngắn hạn,2021,30581727.0,2025-04-12
NUE,Nợ ngắn hạn,2022,47451662.0,2025-04-12
NUE,Nợ ngắn hạn,2023,58473681.0,2025-04-12
NUE,Nợ ngắn hạn,2024,47718276.0,2025-04-12
NUE,Tổng nợ,2021,38859577.0,2025-04-12
NUE,Tổng nợ,2022,55416117.0,2025-04-12
NUE,Tổng nợ,2023,66124741.0,2025-04-12
NUE,Tổng nợ,2024,51433299.0,2025-04-12
NUE,Vốn chủ sở hữu,2021,70444542.0,2025-04-12
NUE,Vốn chủ sở hữu,2022,71094123.0,2025-04-12
NUE,Vốn chủ sở hữu,2023,71696639.0,2025-04-12
NUE,Vốn chủ sở hữu,2024,72048291.0,2025-04-12
