symbol,metric,year,value,crawled_date
PAC,Doanh thu bán hàng và CCDV,2022,3835776646.0,2025-04-12
PAC,Doanh thu bán hàng và CCDV,2023,3593413240.0,2025-04-12
PAC,Doanh thu bán hàng và CCDV,2023,3593413240.0,2025-04-12
PAC,Doanh thu bán hàng và CCDV,2024,3849053470.0,2025-04-12
PAC,Giá vốn hàng bán,2022,2915429396.0,2025-04-12
PAC,Giá vốn hàng bán,2023,2751194753.0,2025-04-12
PAC,Giá vốn hàng bán,2023,2751194753.0,2025-04-12
PAC,Giá vốn hàng bán,2024,2789371367.0,2025-04-12
PAC,Lợi nhuận gộp về BH và CCDV,2022,483268574.0,2025-04-12
PAC,Lợi nhuận gộp về BH và CCDV,2023,433752371.0,2025-04-12
PAC,Lợi nhuận gộp về BH và CCDV,2023,433752371.0,2025-04-12
PAC,Lợi nhuận gộp về BH và CCDV,2024,416037145.0,2025-04-12
PAC,Lợi nhuận tài chính,2022,-28400687.0,2025-04-12
PAC,Lợi nhuận tài chính,2023,-17219263.0,2025-04-12
PAC,Lợi nhuận tài chính,2023,-17219263.0,2025-04-12
PAC,Lợi nhuận tài chính,2024,-14025502.0,2025-04-12
PAC,Lợi nhuận khác,2022,-344096.0,2025-04-12
PAC,Lợi nhuận khác,2023,515224.0,2025-04-12
PAC,Lợi nhuận khác,2023,515224.0,2025-04-12
PAC,Lợi nhuận khác,2024,580241.0,2025-04-12
PAC,Tổng lợi nhuận trước thuế,2022,201039547.0,2025-04-12
PAC,Tổng lợi nhuận trước thuế,2023,154324894.0,2025-04-12
PAC,Tổng lợi nhuận trước thuế,2023,154324894.0,2025-04-12
PAC,Tổng lợi nhuận trước thuế,2024,164312356.0,2025-04-12
PAC,Lợi nhuận sau thuế,2022,157931359.0,2025-04-12
PAC,Lợi nhuận sau thuế,2023,115202344.0,2025-04-12
PAC,Lợi nhuận sau thuế,2023,115202344.0,2025-04-12
PAC,Lợi nhuận sau thuế,2024,126626970.0,2025-04-12
PAC,Lợi nhuận sau thuế của công ty mẹ,2022,157931359.0,2025-04-12
PAC,Lợi nhuận sau thuế của công ty mẹ,2023,115202344.0,2025-04-12
PAC,Lợi nhuận sau thuế của công ty mẹ,2023,115202344.0,2025-04-12
PAC,Lợi nhuận sau thuế của công ty mẹ,2024,126626970.0,2025-04-12
PAC,Tổng tài sản lưu động ngắn hạn,2022,1663689832.0,2025-04-12
PAC,Tổng tài sản lưu động ngắn hạn,2023,1726186325.0,2025-04-12
PAC,Tổng tài sản lưu động ngắn hạn,2023,1726186325.0,2025-04-12
PAC,Tổng tài sản lưu động ngắn hạn,2024,1832261786.0,2025-04-12
PAC,Tổng tài sản,2022,2415945628.0,2025-04-12
PAC,Tổng tài sản,2023,2433505703.0,2025-04-12
PAC,Tổng tài sản,2023,2433505703.0,2025-04-12
PAC,Tổng tài sản,2024,2534781271.0,2025-04-12
PAC,Nợ ngắn hạn,2022,1445858598.0,2025-04-12
PAC,Nợ ngắn hạn,2023,1467423206.0,2025-04-12
PAC,Nợ ngắn hạn,2023,1467423206.0,2025-04-12
PAC,Nợ ngắn hạn,2024,1550850787.0,2025-04-12
PAC,Tổng nợ,2022,1491342026.0,2025-04-12
PAC,Tổng nợ,2023,1489037435.0,2025-04-12
PAC,Tổng nợ,2023,1489037435.0,2025-04-12
PAC,Tổng nợ,2024,1565895834.0,2025-04-12
PAC,Vốn chủ sở hữu,2022,924603602.0,2025-04-12
PAC,Vốn chủ sở hữu,2023,944468268.0,2025-04-12
PAC,Vốn chủ sở hữu,2023,944468268.0,2025-04-12
PAC,Vốn chủ sở hữu,2024,968885438.0,2025-04-12
