symbol,metric,year,value,crawled_date
PBT,Doanh thu bán hàng và CCDV,2021,859542793.0,2025-04-12
PBT,Doanh thu bán hàng và CCDV,2022,819324211.0,2025-04-12
PBT,Doanh thu bán hàng và CCDV,2023,727301690.0,2025-04-12
PBT,Doanh thu bán hàng và CCDV,2024,813040461.0,2025-04-12
PBT,Giá vốn hàng bán,2021,823831025.0,2025-04-12
PBT,Giá vốn hàng bán,2022,786290809.0,2025-04-12
PBT,Giá vốn hàng bán,2023,688821118.0,2025-04-12
PBT,Giá vốn hàng bán,2024,773962279.0,2025-04-12
PBT,Lợi nhuận gộp về BH và CCDV,2021,35711767.0,2025-04-12
PBT,Lợi nhuận gộp về BH và CCDV,2022,33033402.0,2025-04-12
PBT,Lợi nhuận gộp về BH và CCDV,2023,38480572.0,2025-04-12
PBT,Lợi nhuận gộp về BH và CCDV,2024,39078182.0,2025-04-12
PBT,Lợi nhuận tài chính,2021,4387208.0,2025-04-12
PBT,Lợi nhuận tài chính,2022,4577894.0,2025-04-12
PBT,Lợi nhuận tài chính,2023,5509448.0,2025-04-12
PBT,Lợi nhuận tài chính,2024,4272955.0,2025-04-12
PBT,Lợi nhuận khác,2021,433335.0,2025-04-12
PBT,Lợi nhuận khác,2022,723021.0,2025-04-12
PBT,Lợi nhuận khác,2023,625556.0,2025-04-12
PBT,Lợi nhuận khác,2024,-241305.0,2025-04-12
PBT,Tổng lợi nhuận trước thuế,2021,18207886.0,2025-04-12
PBT,Tổng lợi nhuận trước thuế,2022,15899303.0,2025-04-12
PBT,Tổng lợi nhuận trước thuế,2023,18044011.0,2025-04-12
PBT,Tổng lợi nhuận trước thuế,2024,20425093.0,2025-04-12
PBT,Lợi nhuận sau thuế,2021,15926762.0,2025-04-12
PBT,Lợi nhuận sau thuế,2022,13690316.0,2025-04-12
PBT,Lợi nhuận sau thuế,2023,16672873.0,2025-04-12
PBT,Lợi nhuận sau thuế,2024,18161067.0,2025-04-12
PBT,Lợi nhuận sau thuế của công ty mẹ,2021,15926762.0,2025-04-12
PBT,Lợi nhuận sau thuế của công ty mẹ,2022,13690316.0,2025-04-12
PBT,Lợi nhuận sau thuế của công ty mẹ,2023,16672873.0,2025-04-12
PBT,Lợi nhuận sau thuế của công ty mẹ,2024,18161067.0,2025-04-12
PBT,Tổng tài sản lưu động ngắn hạn,2021,261601905.0,2025-04-12
PBT,Tổng tài sản lưu động ngắn hạn,2022,240031342.0,2025-04-12
PBT,Tổng tài sản lưu động ngắn hạn,2023,244474198.0,2025-04-12
PBT,Tổng tài sản lưu động ngắn hạn,2024,244594366.0,2025-04-12
PBT,Tổng tài sản,2021,336241904.0,2025-04-12
PBT,Tổng tài sản,2022,300402597.0,2025-04-12
PBT,Tổng tài sản,2023,294689133.0,2025-04-12
PBT,Tổng tài sản,2024,288529642.0,2025-04-12
PBT,Nợ ngắn hạn,2021,143533079.0,2025-04-12
PBT,Nợ ngắn hạn,2022,109730218.0,2025-04-12
PBT,Nợ ngắn hạn,2023,102833397.0,2025-04-12
PBT,Nợ ngắn hạn,2024,96020707.0,2025-04-12
PBT,Tổng nợ,2021,143533079.0,2025-04-12
PBT,Tổng nợ,2022,109830218.0,2025-04-12
PBT,Tổng nợ,2023,102899397.0,2025-04-12
PBT,Tổng nợ,2024,96086707.0,2025-04-12
PBT,Vốn chủ sở hữu,2021,192708826.0,2025-04-12
PBT,Vốn chủ sở hữu,2022,190572379.0,2025-04-12
PBT,Vốn chủ sở hữu,2023,191789736.0,2025-04-12
PBT,Vốn chủ sở hữu,2024,192442935.0,2025-04-12
