symbol,metric,year,value,crawled_date
PCM,Doanh thu bán hàng và CCDV,2020,55784844.0,2025-04-12
PCM,Doanh thu bán hàng và CCDV,2021,51183551.0,2025-04-12
PCM,Doanh thu bán hàng và CCDV,2022,70648362.0,2025-04-12
PCM,Doanh thu bán hàng và CCDV,2023,68229808.0,2025-04-12
PCM,Giá vốn hàng bán,2020,42031058.0,2025-04-12
PCM,Giá vốn hàng bán,2021,39933174.0,2025-04-12
PCM,Giá vốn hàng bán,2022,58405773.0,2025-04-12
PCM,Giá vốn hàng bán,2023,66804972.0,2025-04-12
PCM,Lợi nhuận gộp về BH và CCDV,2020,13753786.0,2025-04-12
PCM,Lợi nhuận gộp về BH và CCDV,2021,11250377.0,2025-04-12
PCM,Lợi nhuận gộp về BH và CCDV,2022,12242589.0,2025-04-12
PCM,Lợi nhuận gộp về BH và CCDV,2023,1424836.0,2025-04-12
PCM,Lợi nhuận tài chính,2020,-188767.0,2025-04-12
PCM,Lợi nhuận tài chính,2021,21127.0,2025-04-12
PCM,Lợi nhuận tài chính,2022,-74937.0,2025-04-12
PCM,Lợi nhuận tài chính,2023,142345.0,2025-04-12
PCM,Lợi nhuận khác,2020,100039.0,2025-04-12
PCM,Lợi nhuận khác,2021,22619.0,2025-04-12
PCM,Lợi nhuận khác,2022,211712.0,2025-04-12
PCM,Lợi nhuận khác,2023,-530342.0,2025-04-12
PCM,Tổng lợi nhuận trước thuế,2020,154984.0,2025-04-12
PCM,Tổng lợi nhuận trước thuế,2021,87580.0,2025-04-12
PCM,Tổng lợi nhuận trước thuế,2022,-788485.0,2025-04-12
PCM,Tổng lợi nhuận trước thuế,2023,-9948532.0,2025-04-12
PCM,Lợi nhuận sau thuế,2020,133286.0,2025-04-12
PCM,Lợi nhuận sau thuế,2021,75319.0,2025-04-12
PCM,Lợi nhuận sau thuế,2022,-831832.0,2025-04-12
PCM,Lợi nhuận sau thuế,2023,-9988312.0,2025-04-12
PCM,Lợi nhuận sau thuế của công ty mẹ,2020,133286.0,2025-04-12
PCM,Lợi nhuận sau thuế của công ty mẹ,2021,75319.0,2025-04-12
PCM,Lợi nhuận sau thuế của công ty mẹ,2022,-831832.0,2025-04-12
PCM,Lợi nhuận sau thuế của công ty mẹ,2023,-9988312.0,2025-04-12
PCM,Tổng tài sản lưu động ngắn hạn,2020,67077004.0,2025-04-12
PCM,Tổng tài sản lưu động ngắn hạn,2021,61411018.0,2025-04-12
PCM,Tổng tài sản lưu động ngắn hạn,2022,62030665.0,2025-04-12
PCM,Tổng tài sản lưu động ngắn hạn,2023,49551352.0,2025-04-12
PCM,Tổng tài sản,2020,85466352.0,2025-04-12
PCM,Tổng tài sản,2021,80448670.0,2025-04-12
PCM,Tổng tài sản,2022,76062876.0,2025-04-12
PCM,Tổng tài sản,2023,62750195.0,2025-04-12
PCM,Nợ ngắn hạn,2020,21714504.0,2025-04-12
PCM,Nợ ngắn hạn,2021,16792943.0,2025-04-12
PCM,Nợ ngắn hạn,2022,15840217.0,2025-04-12
PCM,Nợ ngắn hạn,2023,12689962.0,2025-04-12
PCM,Tổng nợ,2020,22644258.0,2025-04-12
PCM,Tổng nợ,2021,17684543.0,2025-04-12
PCM,Tổng nợ,2022,16750317.0,2025-04-12
PCM,Tổng nợ,2023,13425948.0,2025-04-12
PCM,Vốn chủ sở hữu,2020,62822094.0,2025-04-12
PCM,Vốn chủ sở hữu,2021,62764127.0,2025-04-12
PCM,Vốn chủ sở hữu,2022,59312560.0,2025-04-12
PCM,Vốn chủ sở hữu,2023,49324248.0,2025-04-12
