symbol,metric,year,value,crawled_date
PEN,Doanh thu bán hàng và CCDV,2021,131641832.0,2025-04-12
PEN,Doanh thu bán hàng và CCDV,2022,157292883.0,2025-04-12
PEN,Doanh thu bán hàng và CCDV,2023,133985000.0,2025-04-12
PEN,Doanh thu bán hàng và CCDV,2024,268459796.0,2025-04-12
PEN,Giá vốn hàng bán,2021,120537958.0,2025-04-12
PEN,Giá vốn hàng bán,2022,140800495.0,2025-04-12
PEN,Giá vốn hàng bán,2023,126442250.0,2025-04-12
PEN,Giá vốn hàng bán,2024,246841727.0,2025-04-12
PEN,Lợi nhuận gộp về BH và CCDV,2021,11103874.0,2025-04-12
PEN,Lợi nhuận gộp về BH và CCDV,2022,16492388.0,2025-04-12
PEN,Lợi nhuận gộp về BH và CCDV,2023,7542750.0,2025-04-12
PEN,Lợi nhuận gộp về BH và CCDV,2024,21618068.0,2025-04-12
PEN,Lợi nhuận tài chính,2021,-1418140.0,2025-04-12
PEN,Lợi nhuận tài chính,2022,-5985504.0,2025-04-12
PEN,Lợi nhuận tài chính,2023,-5624612.0,2025-04-12
PEN,Lợi nhuận tài chính,2024,-725427.0,2025-04-12
PEN,Lợi nhuận khác,2021,6172342.0,2025-04-12
PEN,Lợi nhuận khác,2022,1768063.0,2025-04-12
PEN,Lợi nhuận khác,2023,-483615.0,2025-04-12
PEN,Lợi nhuận khác,2024,1173658.0,2025-04-12
PEN,Tổng lợi nhuận trước thuế,2021,-7892331.0,2025-04-12
PEN,Tổng lợi nhuận trước thuế,2022,413813.0,2025-04-12
PEN,Tổng lợi nhuận trước thuế,2023,-14676661.0,2025-04-12
PEN,Tổng lợi nhuận trước thuế,2024,1015841.0,2025-04-12
PEN,Lợi nhuận sau thuế,2021,-8585883.0,2025-04-12
PEN,Lợi nhuận sau thuế,2022,413813.0,2025-04-12
PEN,Lợi nhuận sau thuế,2023,-15450781.0,2025-04-12
PEN,Lợi nhuận sau thuế,2024,1010428.0,2025-04-12
PEN,Lợi nhuận sau thuế của công ty mẹ,2021,-8585883.0,2025-04-12
PEN,Lợi nhuận sau thuế của công ty mẹ,2022,413813.0,2025-04-12
PEN,Lợi nhuận sau thuế của công ty mẹ,2023,-15450781.0,2025-04-12
PEN,Lợi nhuận sau thuế của công ty mẹ,2024,1010428.0,2025-04-12
PEN,Tổng tài sản lưu động ngắn hạn,2021,240857346.0,2025-04-12
PEN,Tổng tài sản lưu động ngắn hạn,2022,184334390.0,2025-04-12
PEN,Tổng tài sản lưu động ngắn hạn,2023,235364179.0,2025-04-12
PEN,Tổng tài sản lưu động ngắn hạn,2024,254368940.0,2025-04-12
PEN,Tổng tài sản,2021,272364348.0,2025-04-12
PEN,Tổng tài sản,2022,234883425.0,2025-04-12
PEN,Tổng tài sản,2023,255369925.0,2025-04-12
PEN,Tổng tài sản,2024,272420775.0,2025-04-12
PEN,Nợ ngắn hạn,2021,186130104.0,2025-04-12
PEN,Nợ ngắn hạn,2022,154032058.0,2025-04-12
PEN,Nợ ngắn hạn,2023,188196435.0,2025-04-12
PEN,Nợ ngắn hạn,2024,209564115.0,2025-04-12
PEN,Tổng nợ,2021,200618505.0,2025-04-12
PEN,Tổng nợ,2022,162723769.0,2025-04-12
PEN,Tổng nợ,2023,198661049.0,2025-04-12
PEN,Tổng nợ,2024,214701471.0,2025-04-12
PEN,Vốn chủ sở hữu,2021,71745843.0,2025-04-12
PEN,Vốn chủ sở hữu,2022,72159656.0,2025-04-12
PEN,Vốn chủ sở hữu,2023,56708875.0,2025-04-12
PEN,Vốn chủ sở hữu,2024,57719304.0,2025-04-12
