symbol,metric,year,value,crawled_date
PFI,Doanh thu bán hàng và CCDV,2020,2221.0,2025-04-12
PFI,Doanh thu bán hàng và CCDV,2021,15876.0,2025-04-12
PFI,Doanh thu bán hàng và CCDV,2023,42691518.0,2025-04-12
PFI,Doanh thu bán hàng và CCDV,2023,42691518.0,2025-04-12
PFI,Giá vốn hàng bán,2023,40406578.0,2025-04-12
PFI,Giá vốn hàng bán,2023,40406578.0,2025-04-12
PFI,Lợi nhuận gộp về BH và CCDV,2020,2221.0,2025-04-12
PFI,Lợi nhuận gộp về BH và CCDV,2021,15876.0,2025-04-12
PFI,Lợi nhuận gộp về BH và CCDV,2023,2284940.0,2025-04-12
PFI,Lợi nhuận gộp về BH và CCDV,2023,2284940.0,2025-04-12
PFI,Lợi nhuận tài chính,2020,5052844.0,2025-04-12
PFI,Lợi nhuận tài chính,2021,2824784.0,2025-04-12
PFI,Lợi nhuận tài chính,2023,-2651677.0,2025-04-12
PFI,Lợi nhuận tài chính,2023,-2651677.0,2025-04-12
PFI,Lợi nhuận khác,2020,-7000.0,2025-04-12
PFI,Lợi nhuận khác,2023,20048.0,2025-04-12
PFI,Lợi nhuận khác,2023,20048.0,2025-04-12
PFI,Tổng lợi nhuận trước thuế,2020,837277.0,2025-04-12
PFI,Tổng lợi nhuận trước thuế,2021,-495295.0,2025-04-12
PFI,Tổng lợi nhuận trước thuế,2023,10446075.0,2025-04-12
PFI,Tổng lợi nhuận trước thuế,2023,10446075.0,2025-04-12
PFI,Lợi nhuận sau thuế,2020,837277.0,2025-04-12
PFI,Lợi nhuận sau thuế,2021,-495295.0,2025-04-12
PFI,Lợi nhuận sau thuế,2023,10446075.0,2025-04-12
PFI,Lợi nhuận sau thuế,2023,10446075.0,2025-04-12
PFI,Lợi nhuận sau thuế của công ty mẹ,2020,837277.0,2025-04-12
PFI,Lợi nhuận sau thuế của công ty mẹ,2021,-495295.0,2025-04-12
PFI,Lợi nhuận sau thuế của công ty mẹ,2023,10446075.0,2025-04-12
PFI,Lợi nhuận sau thuế của công ty mẹ,2023,10446075.0,2025-04-12
PFI,Tổng tài sản lưu động ngắn hạn,2020,188702744.0,2025-04-12
PFI,Tổng tài sản lưu động ngắn hạn,2021,183443070.0,2025-04-12
PFI,Tổng tài sản lưu động ngắn hạn,2023,216044412.0,2025-04-12
PFI,Tổng tài sản lưu động ngắn hạn,2023,216044412.0,2025-04-12
PFI,Tổng tài sản,2020,203400907.0,2025-04-12
PFI,Tổng tài sản,2021,197997852.0,2025-04-12
PFI,Tổng tài sản,2023,287421936.0,2025-04-12
PFI,Tổng tài sản,2023,287421936.0,2025-04-12
PFI,Nợ ngắn hạn,2020,362012068.0,2025-04-12
PFI,Nợ ngắn hạn,2021,357104308.0,2025-04-12
PFI,Nợ ngắn hạn,2023,358201800.0,2025-04-12
PFI,Nợ ngắn hạn,2023,358201800.0,2025-04-12
PFI,Tổng nợ,2020,376539468.0,2025-04-12
PFI,Tổng nợ,2021,371631708.0,2025-04-12
PFI,Tổng nợ,2023,429215250.0,2025-04-12
PFI,Tổng nợ,2023,429215250.0,2025-04-12
PFI,Vốn chủ sở hữu,2020,-173138562.0,2025-04-12
PFI,Vốn chủ sở hữu,2021,-173633856.0,2025-04-12
PFI,Vốn chủ sở hữu,2023,-141793314.0,2025-04-12
PFI,Vốn chủ sở hữu,2023,-141793314.0,2025-04-12
