symbol,metric,year,value,crawled_date
PLX,Doanh thu bán hàng và CCDV,2020,124001495876.0,2025-04-12
PLX,Doanh thu bán hàng và CCDV,2021,169105701481.0,2025-04-12
PLX,Doanh thu bán hàng và CCDV,2022,304171606609.0,2025-04-12
PLX,Doanh thu bán hàng và CCDV,2023,274082359043.0,2025-04-12
PLX,Giá vốn hàng bán,2020,113878713434.0,2025-04-12
PLX,Giá vốn hàng bán,2021,156385701253.0,2025-04-12
PLX,Giá vốn hàng bán,2022,291744174805.0,2025-04-12
PLX,Giá vốn hàng bán,2023,258715274316.0,2025-04-12
PLX,Lợi nhuận gộp về BH và CCDV,2020,10039936944.0,2025-04-12
PLX,Lợi nhuận gộp về BH và CCDV,2021,12622903814.0,2025-04-12
PLX,Lợi nhuận gộp về BH và CCDV,2022,12319636621.0,2025-04-12
PLX,Lợi nhuận gộp về BH và CCDV,2023,1019254334.0,2025-04-12
PLX,Lợi nhuận tài chính,2020,37842357.0,2025-04-12
PLX,Lợi nhuận tài chính,2021,-34964061.0,2025-04-12
PLX,Lợi nhuận tài chính,2022,164033622.0,2025-04-12
PLX,Lợi nhuận tài chính,2023,242453289.0,2025-04-12
PLX,Lợi nhuận khác,2020,218181171.0,2025-04-12
PLX,Lợi nhuận khác,2021,272145760.0,2025-04-12
PLX,Lợi nhuận khác,2022,327909620.0,2025-04-12
PLX,Lợi nhuận khác,2023,129419744.0,2025-04-12
PLX,Tổng lợi nhuận trước thuế,2020,1409580992.0,2025-04-12
PLX,Tổng lợi nhuận trước thuế,2021,3789339722.0,2025-04-12
PLX,Tổng lợi nhuận trước thuế,2022,2270127396.0,2025-04-12
PLX,Tổng lợi nhuận trước thuế,2023,3947390246.0,2025-04-12
PLX,Lợi nhuận sau thuế,2020,1252572208.0,2025-04-12
PLX,Lợi nhuận sau thuế,2021,3123734180.0,2025-04-12
PLX,Lợi nhuận sau thuế,2022,1902233338.0,2025-04-12
PLX,Lợi nhuận sau thuế,2023,3077319943.0,2025-04-12
PLX,Lợi nhuận sau thuế của công ty mẹ,2020,988465286.0,2025-04-12
PLX,Lợi nhuận sau thuế của công ty mẹ,2021,2838904273.0,2025-04-12
PLX,Lợi nhuận sau thuế của công ty mẹ,2022,1449740967.0,2025-04-12
PLX,Lợi nhuận sau thuế của công ty mẹ,2023,2833906728.0,2025-04-12
PLX,Tổng tài sản lưu động ngắn hạn,2020,37796818993.0,2025-04-12
PLX,Tổng tài sản lưu động ngắn hạn,2021,41303667147.0,2025-04-12
PLX,Tổng tài sản lưu động ngắn hạn,2022,50170189582.0,2025-04-12
PLX,Tổng tài sản lưu động ngắn hạn,2023,57306926231.0,2025-04-12
PLX,Tổng tài sản,2020,61106212964.0,2025-04-12
PLX,Tổng tài sản,2021,64791240989.0,2025-04-12
PLX,Tổng tài sản,2022,74475615486.0,2025-04-12
PLX,Tổng tài sản,2023,79675619099.0,2025-04-12
PLX,Nợ ngắn hạn,2020,35399675141.0,2025-04-12
PLX,Nợ ngắn hạn,2021,35207086754.0,2025-04-12
PLX,Nợ ngắn hạn,2022,45694575929.0,2025-04-12
PLX,Nợ ngắn hạn,2023,49660611907.0,2025-04-12
PLX,Tổng nợ,2020,36979810498.0,2025-04-12
PLX,Tổng nợ,2021,36531049417.0,2025-04-12
PLX,Tổng nợ,2022,46693004842.0,2025-04-12
PLX,Tổng nợ,2023,50473511920.0,2025-04-12
PLX,Vốn chủ sở hữu,2020,24126402467.0,2025-04-12
PLX,Vốn chủ sở hữu,2021,28260191572.0,2025-04-12
PLX,Vốn chủ sở hữu,2022,27782610644.0,2025-04-12
PLX,Vốn chủ sở hữu,2023,29202107179.0,2025-04-12
