symbol,metric,year,value,crawled_date
PMC,Doanh thu bán hàng và CCDV,2021,414407157.0,2025-04-12
PMC,Doanh thu bán hàng và CCDV,2022,472709909.0,2025-04-12
PMC,Doanh thu bán hàng và CCDV,2023,485445722.0,2025-04-12
PMC,Doanh thu bán hàng và CCDV,2024,498360090.0,2025-04-12
PMC,Giá vốn hàng bán,2021,266739552.0,2025-04-12
PMC,Giá vốn hàng bán,2022,285917651.0,2025-04-12
PMC,Giá vốn hàng bán,2023,315133649.0,2025-04-12
PMC,Giá vốn hàng bán,2024,310971555.0,2025-04-12
PMC,Lợi nhuận gộp về BH và CCDV,2021,147492408.0,2025-04-12
PMC,Lợi nhuận gộp về BH và CCDV,2022,186355899.0,2025-04-12
PMC,Lợi nhuận gộp về BH và CCDV,2023,170052736.0,2025-04-12
PMC,Lợi nhuận gộp về BH và CCDV,2024,187213438.0,2025-04-12
PMC,Lợi nhuận tài chính,2021,9390486.0,2025-04-12
PMC,Lợi nhuận tài chính,2022,13134960.0,2025-04-12
PMC,Lợi nhuận tài chính,2023,19854256.0,2025-04-12
PMC,Lợi nhuận tài chính,2024,9559414.0,2025-04-12
PMC,Lợi nhuận khác,2021,-686764.0,2025-04-12
PMC,Lợi nhuận khác,2022,577548.0,2025-04-12
PMC,Lợi nhuận khác,2023,340516.0,2025-04-12
PMC,Lợi nhuận khác,2024,269405.0,2025-04-12
PMC,Tổng lợi nhuận trước thuế,2021,81284089.0,2025-04-12
PMC,Tổng lợi nhuận trước thuế,2022,104480438.0,2025-04-12
PMC,Tổng lợi nhuận trước thuế,2023,104602411.0,2025-04-12
PMC,Tổng lợi nhuận trước thuế,2024,100312772.0,2025-04-12
PMC,Lợi nhuận sau thuế,2021,64759700.0,2025-04-12
PMC,Lợi nhuận sau thuế,2022,83416455.0,2025-04-12
PMC,Lợi nhuận sau thuế,2023,83564441.0,2025-04-12
PMC,Lợi nhuận sau thuế,2024,80133204.0,2025-04-12
PMC,Lợi nhuận sau thuế của công ty mẹ,2021,64759700.0,2025-04-12
PMC,Lợi nhuận sau thuế của công ty mẹ,2022,83416455.0,2025-04-12
PMC,Lợi nhuận sau thuế của công ty mẹ,2023,83564441.0,2025-04-12
PMC,Lợi nhuận sau thuế của công ty mẹ,2024,80133204.0,2025-04-12
PMC,Tổng tài sản lưu động ngắn hạn,2021,389042182.0,2025-04-12
PMC,Tổng tài sản lưu động ngắn hạn,2022,441141346.0,2025-04-12
PMC,Tổng tài sản lưu động ngắn hạn,2023,379070959.0,2025-04-12
PMC,Tổng tài sản lưu động ngắn hạn,2024,335435862.0,2025-04-12
PMC,Tổng tài sản,2021,451493875.0,2025-04-12
PMC,Tổng tài sản,2022,494124152.0,2025-04-12
PMC,Tổng tài sản,2023,426374584.0,2025-04-12
PMC,Tổng tài sản,2024,375839228.0,2025-04-12
PMC,Nợ ngắn hạn,2021,62617001.0,2025-04-12
PMC,Nợ ngắn hạn,2022,66342117.0,2025-04-12
PMC,Nợ ngắn hạn,2023,83177691.0,2025-04-12
PMC,Nợ ngắn hạn,2024,86227405.0,2025-04-12
PMC,Tổng nợ,2021,62617001.0,2025-04-12
PMC,Tổng nợ,2022,66342117.0,2025-04-12
PMC,Tổng nợ,2023,83177691.0,2025-04-12
PMC,Tổng nợ,2024,86227405.0,2025-04-12
PMC,Vốn chủ sở hữu,2021,388876873.0,2025-04-12
PMC,Vốn chủ sở hữu,2022,427782034.0,2025-04-12
PMC,Vốn chủ sở hữu,2023,343196893.0,2025-04-12
PMC,Vốn chủ sở hữu,2024,289611822.0,2025-04-12
