symbol,metric,year,value,crawled_date
PMG,Doanh thu bán hàng và CCDV,2021,1634328867.0,2025-04-12
PMG,Doanh thu bán hàng và CCDV,2022,2073867401.0,2025-04-12
PMG,Doanh thu bán hàng và CCDV,2023,1876724101.0,2025-04-12
PMG,Doanh thu bán hàng và CCDV,2024,2055746203.0,2025-04-12
PMG,Giá vốn hàng bán,2021,1330446670.0,2025-04-12
PMG,Giá vốn hàng bán,2022,1798027177.0,2025-04-12
PMG,Giá vốn hàng bán,2023,1581739890.0,2025-04-12
PMG,Giá vốn hàng bán,2024,1728483841.0,2025-04-12
PMG,Lợi nhuận gộp về BH và CCDV,2021,236369702.0,2025-04-12
PMG,Lợi nhuận gộp về BH và CCDV,2022,223486700.0,2025-04-12
PMG,Lợi nhuận gộp về BH và CCDV,2023,250504640.0,2025-04-12
PMG,Lợi nhuận gộp về BH và CCDV,2024,296190115.0,2025-04-12
PMG,Lợi nhuận tài chính,2021,35553983.0,2025-04-12
PMG,Lợi nhuận tài chính,2022,1337769.0,2025-04-12
PMG,Lợi nhuận tài chính,2023,-24208252.0,2025-04-12
PMG,Lợi nhuận tài chính,2024,-5215934.0,2025-04-12
PMG,Lợi nhuận khác,2021,8997996.0,2025-04-12
PMG,Lợi nhuận khác,2022,15813786.0,2025-04-12
PMG,Lợi nhuận khác,2023,13456221.0,2025-04-12
PMG,Lợi nhuận khác,2024,11575475.0,2025-04-12
PMG,Tổng lợi nhuận trước thuế,2021,-98003573.0,2025-04-12
PMG,Tổng lợi nhuận trước thuế,2022,-1734655.0,2025-04-12
PMG,Tổng lợi nhuận trước thuế,2023,-12931289.0,2025-04-12
PMG,Tổng lợi nhuận trước thuế,2024,40102578.0,2025-04-12
PMG,Lợi nhuận sau thuế,2021,-108124554.0,2025-04-12
PMG,Lợi nhuận sau thuế,2022,-13322830.0,2025-04-12
PMG,Lợi nhuận sau thuế,2023,-24039200.0,2025-04-12
PMG,Lợi nhuận sau thuế,2024,31482865.0,2025-04-12
PMG,Lợi nhuận sau thuế của công ty mẹ,2021,-61681659.0,2025-04-12
PMG,Lợi nhuận sau thuế của công ty mẹ,2022,8325780.0,2025-04-12
PMG,Lợi nhuận sau thuế của công ty mẹ,2023,2395334.0,2025-04-12
PMG,Lợi nhuận sau thuế của công ty mẹ,2024,24787306.0,2025-04-12
PMG,Tổng tài sản lưu động ngắn hạn,2021,632673557.0,2025-04-12
PMG,Tổng tài sản lưu động ngắn hạn,2022,547672007.0,2025-04-12
PMG,Tổng tài sản lưu động ngắn hạn,2023,750064227.0,2025-04-12
PMG,Tổng tài sản lưu động ngắn hạn,2024,806532268.0,2025-04-12
PMG,Tổng tài sản,2021,1732115303.0,2025-04-12
PMG,Tổng tài sản,2022,1597223243.0,2025-04-12
PMG,Tổng tài sản,2023,1777820280.0,2025-04-12
PMG,Tổng tài sản,2024,1772788226.0,2025-04-12
PMG,Nợ ngắn hạn,2021,936527476.0,2025-04-12
PMG,Nợ ngắn hạn,2022,820741586.0,2025-04-12
PMG,Nợ ngắn hạn,2023,1055267222.0,2025-04-12
PMG,Nợ ngắn hạn,2024,1034870659.0,2025-04-12
PMG,Tổng nợ,2021,1078270084.0,2025-04-12
PMG,Tổng nợ,2022,956700854.0,2025-04-12
PMG,Tổng nợ,2023,1140491212.0,2025-04-12
PMG,Tổng nợ,2024,1103976293.0,2025-04-12
PMG,Vốn chủ sở hữu,2021,653845219.0,2025-04-12
PMG,Vốn chủ sở hữu,2022,640522389.0,2025-04-12
PMG,Vốn chủ sở hữu,2023,637329068.0,2025-04-12
PMG,Vốn chủ sở hữu,2024,668811932.0,2025-04-12
