symbol,metric,year,value,crawled_date
PNJ,Doanh thu bán hàng và CCDV,2020,17681913026.0,2025-04-12
PNJ,Doanh thu bán hàng và CCDV,2021,19735646137.0,2025-04-12
PNJ,Doanh thu bán hàng và CCDV,2022,34211128942.0,2025-04-12
PNJ,Doanh thu bán hàng và CCDV,2023,33481608955.0,2025-04-12
PNJ,Giá vốn hàng bán,2020,14076055770.0,2025-04-12
PNJ,Giá vốn hàng bán,2021,15948760134.0,2025-04-12
PNJ,Giá vốn hàng bán,2022,27949348024.0,2025-04-12
PNJ,Giá vốn hàng bán,2023,27078338249.0,2025-04-12
PNJ,Lợi nhuận gộp về BH và CCDV,2020,3434732881.0,2025-04-12
PNJ,Lợi nhuận gộp về BH và CCDV,2021,3598298230.0,2025-04-12
PNJ,Lợi nhuận gộp về BH và CCDV,2022,5927106535.0,2025-04-12
PNJ,Lợi nhuận gộp về BH và CCDV,2023,6058590947.0,2025-04-12
PNJ,Lợi nhuận tài chính,2020,-159172129.0,2025-04-12
PNJ,Lợi nhuận tài chính,2021,-101926620.0,2025-04-12
PNJ,Lợi nhuận tài chính,2022,-87434229.0,2025-04-12
PNJ,Lợi nhuận tài chính,2023,-44755133.0,2025-04-12
PNJ,Lợi nhuận khác,2020,-3151835.0,2025-04-12
PNJ,Lợi nhuận khác,2021,-27666832.0,2025-04-12
PNJ,Lợi nhuận khác,2022,-25139110.0,2025-04-12
PNJ,Lợi nhuận khác,2023,4628593.0,2025-04-12
PNJ,Tổng lợi nhuận trước thuế,2020,1345980469.0,2025-04-12
PNJ,Tổng lợi nhuận trước thuế,2021,1279230522.0,2025-04-12
PNJ,Tổng lợi nhuận trước thuế,2022,2312327555.0,2025-04-12
PNJ,Tổng lợi nhuận trước thuế,2023,2488760002.0,2025-04-12
PNJ,Lợi nhuận sau thuế,2020,1069310105.0,2025-04-12
PNJ,Lợi nhuận sau thuế,2021,1029042166.0,2025-04-12
PNJ,Lợi nhuận sau thuế,2022,1810691843.0,2025-04-12
PNJ,Lợi nhuận sau thuế,2023,1971099177.0,2025-04-12
PNJ,Lợi nhuận sau thuế của công ty mẹ,2020,1069310105.0,2025-04-12
PNJ,Lợi nhuận sau thuế của công ty mẹ,2021,1029042166.0,2025-04-12
PNJ,Lợi nhuận sau thuế của công ty mẹ,2022,1810691843.0,2025-04-12
PNJ,Lợi nhuận sau thuế của công ty mẹ,2023,1971099177.0,2025-04-12
PNJ,Tổng tài sản lưu động ngắn hạn,2020,7143929036.0,2025-04-12
PNJ,Tổng tài sản lưu động ngắn hạn,2021,9292192238.0,2025-04-12
PNJ,Tổng tài sản lưu động ngắn hạn,2022,11966357762.0,2025-04-12
PNJ,Tổng tài sản lưu động ngắn hạn,2023,12958118192.0,2025-04-12
PNJ,Tổng tài sản,2020,8483146098.0,2025-04-12
PNJ,Tổng tài sản,2021,10619016547.0,2025-04-12
PNJ,Tổng tài sản,2022,13337124649.0,2025-04-12
PNJ,Tổng tài sản,2023,14427558015.0,2025-04-12
PNJ,Nợ ngắn hạn,2020,3231907356.0,2025-04-12
PNJ,Nợ ngắn hạn,2021,4563002410.0,2025-04-12
PNJ,Nợ ngắn hạn,2022,4883064421.0,2025-04-12
PNJ,Nợ ngắn hạn,2023,4611956609.0,2025-04-12
PNJ,Tổng nợ,2020,3241284233.0,2025-04-12
PNJ,Tổng nợ,2021,4606382567.0,2025-04-12
PNJ,Tổng nợ,2022,4893029994.0,2025-04-12
PNJ,Tổng nợ,2023,4621377351.0,2025-04-12
PNJ,Vốn chủ sở hữu,2020,5241861865.0,2025-04-12
PNJ,Vốn chủ sở hữu,2021,6012633980.0,2025-04-12
PNJ,Vốn chủ sở hữu,2022,8444094655.0,2025-04-12
PNJ,Vốn chủ sở hữu,2023,9806180664.0,2025-04-12
