symbol,metric,year,value,crawled_date
PNT,Doanh thu bán hàng và CCDV,2021,29488576.0,2025-04-12
PNT,Doanh thu bán hàng và CCDV,2022,16329269.0,2025-04-12
PNT,Doanh thu bán hàng và CCDV,2023,15866538.0,2025-04-12
PNT,Doanh thu bán hàng và CCDV,2024,45482528.0,2025-04-12
PNT,Giá vốn hàng bán,2021,8534856.0,2025-04-12
PNT,Giá vốn hàng bán,2022,4627627.0,2025-04-12
PNT,Giá vốn hàng bán,2023,2409245.0,2025-04-12
PNT,Giá vốn hàng bán,2024,25011148.0,2025-04-12
PNT,Lợi nhuận gộp về BH và CCDV,2021,20953721.0,2025-04-12
PNT,Lợi nhuận gộp về BH và CCDV,2022,11701642.0,2025-04-12
PNT,Lợi nhuận gộp về BH và CCDV,2023,13457293.0,2025-04-12
PNT,Lợi nhuận gộp về BH và CCDV,2024,20471380.0,2025-04-12
PNT,Lợi nhuận tài chính,2021,-11094.0,2025-04-12
PNT,Lợi nhuận tài chính,2022,117014.0,2025-04-12
PNT,Lợi nhuận tài chính,2023,3668.0,2025-04-12
PNT,Lợi nhuận tài chính,2024,222287.0,2025-04-12
PNT,Lợi nhuận khác,2021,1556299.0,2025-04-12
PNT,Lợi nhuận khác,2022,3.0,2025-04-12
PNT,Lợi nhuận khác,2023,972.0,2025-04-12
PNT,Lợi nhuận khác,2024,116504.0,2025-04-12
PNT,Tổng lợi nhuận trước thuế,2021,7767027.0,2025-04-12
PNT,Tổng lợi nhuận trước thuế,2022,568946.0,2025-04-12
PNT,Tổng lợi nhuận trước thuế,2023,3435241.0,2025-04-12
PNT,Tổng lợi nhuận trước thuế,2024,9327547.0,2025-04-12
PNT,Lợi nhuận sau thuế,2021,6854989.0,2025-04-12
PNT,Lợi nhuận sau thuế,2022,439140.0,2025-04-12
PNT,Lợi nhuận sau thuế,2023,2726893.0,2025-04-12
PNT,Lợi nhuận sau thuế,2024,7429526.0,2025-04-12
PNT,Lợi nhuận sau thuế của công ty mẹ,2021,6854989.0,2025-04-12
PNT,Lợi nhuận sau thuế của công ty mẹ,2022,439140.0,2025-04-12
PNT,Lợi nhuận sau thuế của công ty mẹ,2023,2726893.0,2025-04-12
PNT,Lợi nhuận sau thuế của công ty mẹ,2024,7429526.0,2025-04-12
PNT,Tổng tài sản lưu động ngắn hạn,2021,169005418.0,2025-04-12
PNT,Tổng tài sản lưu động ngắn hạn,2022,156081591.0,2025-04-12
PNT,Tổng tài sản lưu động ngắn hạn,2023,156727320.0,2025-04-12
PNT,Tổng tài sản lưu động ngắn hạn,2024,146346107.0,2025-04-12
PNT,Tổng tài sản,2021,229463514.0,2025-04-12
PNT,Tổng tài sản,2022,219127284.0,2025-04-12
PNT,Tổng tài sản,2023,218557505.0,2025-04-12
PNT,Tổng tài sản,2024,207082912.0,2025-04-12
PNT,Nợ ngắn hạn,2021,36960026.0,2025-04-12
PNT,Nợ ngắn hạn,2022,33230967.0,2025-04-12
PNT,Nợ ngắn hạn,2023,32655860.0,2025-04-12
PNT,Nợ ngắn hạn,2024,17012790.0,2025-04-12
PNT,Tổng nợ,2021,90674275.0,2025-04-12
PNT,Tổng nợ,2022,87321918.0,2025-04-12
PNT,Tổng nợ,2023,86869211.0,2025-04-12
PNT,Tổng nợ,2024,71117905.0,2025-04-12
PNT,Vốn chủ sở hữu,2021,138789239.0,2025-04-12
PNT,Vốn chủ sở hữu,2022,131805366.0,2025-04-12
PNT,Vốn chủ sở hữu,2023,131688293.0,2025-04-12
PNT,Vốn chủ sở hữu,2024,135965007.0,2025-04-12
