symbol,metric,year,value,crawled_date
PPY,Doanh thu bán hàng và CCDV,2021,2030412800.0,2025-04-12
PPY,Doanh thu bán hàng và CCDV,2022,4237849553.0,2025-04-12
PPY,Doanh thu bán hàng và CCDV,2023,4415410256.0,2025-04-12
PPY,Doanh thu bán hàng và CCDV,2024,4459752854.0,2025-04-12
PPY,Giá vốn hàng bán,2021,1902731822.0,2025-04-12
PPY,Giá vốn hàng bán,2022,4099007973.0,2025-04-12
PPY,Giá vốn hàng bán,2023,4260480580.0,2025-04-12
PPY,Giá vốn hàng bán,2024,4279735781.0,2025-04-12
PPY,Lợi nhuận gộp về BH và CCDV,2021,127680978.0,2025-04-12
PPY,Lợi nhuận gộp về BH và CCDV,2022,138841580.0,2025-04-12
PPY,Lợi nhuận gộp về BH và CCDV,2023,154929676.0,2025-04-12
PPY,Lợi nhuận gộp về BH và CCDV,2024,180017073.0,2025-04-12
PPY,Lợi nhuận tài chính,2021,2975459.0,2025-04-12
PPY,Lợi nhuận tài chính,2022,5639190.0,2025-04-12
PPY,Lợi nhuận tài chính,2023,3652636.0,2025-04-12
PPY,Lợi nhuận tài chính,2024,725581.0,2025-04-12
PPY,Lợi nhuận khác,2021,6550703.0,2025-04-12
PPY,Lợi nhuận khác,2022,13097802.0,2025-04-12
PPY,Lợi nhuận khác,2023,20086956.0,2025-04-12
PPY,Lợi nhuận khác,2024,19883608.0,2025-04-12
PPY,Tổng lợi nhuận trước thuế,2021,21067530.0,2025-04-12
PPY,Tổng lợi nhuận trước thuế,2022,30870716.0,2025-04-12
PPY,Tổng lợi nhuận trước thuế,2023,12777878.0,2025-04-12
PPY,Tổng lợi nhuận trước thuế,2024,13435831.0,2025-04-12
PPY,Lợi nhuận sau thuế,2021,16849243.0,2025-04-12
PPY,Lợi nhuận sau thuế,2022,24747787.0,2025-04-12
PPY,Lợi nhuận sau thuế,2023,10627590.0,2025-04-12
PPY,Lợi nhuận sau thuế,2024,11503685.0,2025-04-12
PPY,Lợi nhuận sau thuế của công ty mẹ,2021,16849243.0,2025-04-12
PPY,Lợi nhuận sau thuế của công ty mẹ,2022,24747787.0,2025-04-12
PPY,Lợi nhuận sau thuế của công ty mẹ,2023,10627590.0,2025-04-12
PPY,Lợi nhuận sau thuế của công ty mẹ,2024,11503685.0,2025-04-12
PPY,Tổng tài sản lưu động ngắn hạn,2021,128439461.0,2025-04-12
PPY,Tổng tài sản lưu động ngắn hạn,2022,161087692.0,2025-04-12
PPY,Tổng tài sản lưu động ngắn hạn,2023,215359820.0,2025-04-12
PPY,Tổng tài sản lưu động ngắn hạn,2024,171724195.0,2025-04-12
PPY,Tổng tài sản,2021,260412359.0,2025-04-12
PPY,Tổng tài sản,2022,304868339.0,2025-04-12
PPY,Tổng tài sản,2023,396879858.0,2025-04-12
PPY,Tổng tài sản,2024,352115592.0,2025-04-12
PPY,Nợ ngắn hạn,2021,95370832.0,2025-04-12
PPY,Nợ ngắn hạn,2022,130964055.0,2025-04-12
PPY,Nợ ngắn hạn,2023,207289805.0,2025-04-12
PPY,Nợ ngắn hạn,2024,160295228.0,2025-04-12
PPY,Tổng nợ,2021,122834139.0,2025-04-12
PPY,Tổng nợ,2022,144482844.0,2025-04-12
PPY,Tổng nợ,2023,241190016.0,2025-04-12
PPY,Tổng nợ,2024,194119744.0,2025-04-12
PPY,Vốn chủ sở hữu,2021,137578221.0,2025-04-12
PPY,Vốn chủ sở hữu,2022,160385495.0,2025-04-12
PPY,Vốn chủ sở hữu,2023,155689842.0,2025-04-12
PPY,Vốn chủ sở hữu,2024,157995848.0,2025-04-12
