symbol,metric,year,value,crawled_date
PRE,Doanh thu thuần HĐKD bảo hiểm,2021,850981540.0,2025-04-12
PRE,Doanh thu thuần HĐKD bảo hiểm,2022,1199428180.0,2025-04-12
PRE,Doanh thu thuần HĐKD bảo hiểm,2023,1407693868.0,2025-04-12
PRE,Doanh thu thuần HĐKD bảo hiểm,2024,1361565572.0,2025-04-12
PRE,Lợi nhuận từ HĐKD bảo hiểm,2021,93563990.0,2025-04-12
PRE,Lợi nhuận từ HĐKD bảo hiểm,2022,81101590.0,2025-04-12
PRE,Lợi nhuận từ HĐKD bảo hiểm,2023,103604700.0,2025-04-12
PRE,Lợi nhuận từ HĐKD bảo hiểm,2024,69816372.0,2025-04-12
PRE,Lợi nhuận từ HĐ tài chính,2021,127717410.0,2025-04-12
PRE,Lợi nhuận từ HĐ tài chính,2022,144810570.0,2025-04-12
PRE,Lợi nhuận từ HĐ tài chính,2023,194469112.0,2025-04-12
PRE,Lợi nhuận từ HĐ tài chính,2024,217616739.0,2025-04-12
PRE,Tổng lợi nhuận trước thuế,2021,182599390.0,2025-04-12
PRE,Tổng lợi nhuận trước thuế,2022,190280860.0,2025-04-12
PRE,Tổng lợi nhuận trước thuế,2023,256399295.0,2025-04-12
PRE,Tổng lợi nhuận trước thuế,2024,240199847.0,2025-04-12
PRE,Lợi nhuận sau thuế,2021,145780680.0,2025-04-12
PRE,Lợi nhuận sau thuế,2022,152660670.0,2025-04-12
PRE,Lợi nhuận sau thuế,2023,202161683.0,2025-04-12
PRE,Lợi nhuận sau thuế,2024,190524685.0,2025-04-12
PRE,Lợi nhuận sau thuế Công ty mẹ,2021,145780680.0,2025-04-12
PRE,Lợi nhuận sau thuế Công ty mẹ,2022,152660670.0,2025-04-12
PRE,Lợi nhuận sau thuế Công ty mẹ,2023,202161683.0,2025-04-12
PRE,Lợi nhuận sau thuế Công ty mẹ,2024,190524685.0,2025-04-12
PRE,Tổng tài sản lưu động ngắn hạn,2021,4253525290.0,2025-04-12
PRE,Tổng tài sản lưu động ngắn hạn,2022,5125357230.0,2025-04-12
PRE,Tổng tài sản lưu động ngắn hạn,2023,4524705561.0,2025-04-12
PRE,Tổng tài sản lưu động ngắn hạn,2024,5717559646.0,2025-04-12
PRE,Tổng tài sản,2021,5028167870.0,2025-04-12
PRE,Tổng tài sản,2022,5941579500.0,2025-04-12
PRE,Tổng tài sản,2023,5883530300.0,2025-04-12
PRE,Tổng tài sản,2024,6700999105.0,2025-04-12
PRE,Nợ ngắn hạn,2021,773379550.0,2025-04-12
PRE,Nợ ngắn hạn,2022,1373141770.0,2025-04-12
PRE,Nợ ngắn hạn,2023,768334243.0,2025-04-12
PRE,Nợ ngắn hạn,2024,940619636.0,2025-04-12
PRE,Tổng nợ,2021,4127940660.0,2025-04-12
PRE,Tổng nợ,2022,5012684460.0,2025-04-12
PRE,Tổng nợ,2023,4283537268.0,2025-04-12
PRE,Tổng nợ,2024,5083629951.0,2025-04-12
PRE,Vốn chủ sở hữu,2021,894842200.0,2025-04-12
PRE,Vốn chủ sở hữu,2022,923733840.0,2025-04-12
PRE,Vốn chủ sở hữu,2023,1593583446.0,2025-04-12
PRE,Vốn chủ sở hữu,2024,1609992473.0,2025-04-12
