symbol,metric,year,value,crawled_date
PSL,Doanh thu bán hàng và CCDV,2021,117896676.0,2025-04-12
PSL,Doanh thu bán hàng và CCDV,2022,88067647.0,2025-04-12
PSL,Doanh thu bán hàng và CCDV,2023,125975479.0,2025-04-12
PSL,Doanh thu bán hàng và CCDV,2024,157829061.0,2025-04-12
PSL,Giá vốn hàng bán,2021,85758391.0,2025-04-12
PSL,Giá vốn hàng bán,2022,75637595.0,2025-04-12
PSL,Giá vốn hàng bán,2023,118919881.0,2025-04-12
PSL,Giá vốn hàng bán,2024,146192376.0,2025-04-12
PSL,Lợi nhuận gộp về BH và CCDV,2021,32138285.0,2025-04-12
PSL,Lợi nhuận gộp về BH và CCDV,2022,12430052.0,2025-04-12
PSL,Lợi nhuận gộp về BH và CCDV,2023,7055597.0,2025-04-12
PSL,Lợi nhuận gộp về BH và CCDV,2024,11636685.0,2025-04-12
PSL,Lợi nhuận tài chính,2021,4468262.0,2025-04-12
PSL,Lợi nhuận tài chính,2022,3433413.0,2025-04-12
PSL,Lợi nhuận tài chính,2023,3029062.0,2025-04-12
PSL,Lợi nhuận tài chính,2024,1613103.0,2025-04-12
PSL,Lợi nhuận khác,2021,-2112524.0,2025-04-12
PSL,Lợi nhuận khác,2022,-1262472.0,2025-04-12
PSL,Lợi nhuận khác,2023,6999383.0,2025-04-12
PSL,Lợi nhuận khác,2024,533693.0,2025-04-12
PSL,Tổng lợi nhuận trước thuế,2021,27668331.0,2025-04-12
PSL,Tổng lợi nhuận trước thuế,2022,8369987.0,2025-04-12
PSL,Tổng lợi nhuận trước thuế,2023,10567965.0,2025-04-12
PSL,Tổng lợi nhuận trước thuế,2024,6602573.0,2025-04-12
PSL,Lợi nhuận sau thuế,2021,22925757.0,2025-04-12
PSL,Lợi nhuận sau thuế,2022,6672204.0,2025-04-12
PSL,Lợi nhuận sau thuế,2023,8173312.0,2025-04-12
PSL,Lợi nhuận sau thuế,2024,5318065.0,2025-04-12
PSL,Lợi nhuận sau thuế của công ty mẹ,2021,22925757.0,2025-04-12
PSL,Lợi nhuận sau thuế của công ty mẹ,2022,6672204.0,2025-04-12
PSL,Lợi nhuận sau thuế của công ty mẹ,2023,8173312.0,2025-04-12
PSL,Lợi nhuận sau thuế của công ty mẹ,2024,5318065.0,2025-04-12
PSL,Tổng tài sản lưu động ngắn hạn,2021,103658835.0,2025-04-12
PSL,Tổng tài sản lưu động ngắn hạn,2022,98647463.0,2025-04-12
PSL,Tổng tài sản lưu động ngắn hạn,2023,105542868.0,2025-04-12
PSL,Tổng tài sản lưu động ngắn hạn,2024,86990373.0,2025-04-12
PSL,Tổng tài sản,2021,173786271.0,2025-04-12
PSL,Tổng tài sản,2022,163804825.0,2025-04-12
PSL,Tổng tài sản,2023,177887307.0,2025-04-12
PSL,Tổng tài sản,2024,161076267.0,2025-04-12
PSL,Nợ ngắn hạn,2021,8071702.0,2025-04-12
PSL,Nợ ngắn hạn,2022,12186761.0,2025-04-12
PSL,Nợ ngắn hạn,2023,27671672.0,2025-04-12
PSL,Nợ ngắn hạn,2024,12514014.0,2025-04-12
PSL,Tổng nợ,2021,8071702.0,2025-04-12
PSL,Tổng nợ,2022,12186761.0,2025-04-12
PSL,Tổng nợ,2023,27671672.0,2025-04-12
PSL,Tổng nợ,2024,12514014.0,2025-04-12
PSL,Vốn chủ sở hữu,2021,165714569.0,2025-04-12
PSL,Vốn chủ sở hữu,2022,151618064.0,2025-04-12
PSL,Vốn chủ sở hữu,2023,150215635.0,2025-04-12
PSL,Vốn chủ sở hữu,2024,148562254.0,2025-04-12
