symbol,metric,year,value,crawled_date
PTS,Doanh thu bán hàng và CCDV,2021,350333640.0,2025-04-12
PTS,Doanh thu bán hàng và CCDV,2022,444764091.0,2025-04-12
PTS,Doanh thu bán hàng và CCDV,2023,393816966.0,2025-04-12
PTS,Doanh thu bán hàng và CCDV,2024,381961445.0,2025-04-12
PTS,Giá vốn hàng bán,2021,300827001.0,2025-04-12
PTS,Giá vốn hàng bán,2022,393355934.0,2025-04-12
PTS,Giá vốn hàng bán,2023,356117080.0,2025-04-12
PTS,Giá vốn hàng bán,2024,338592682.0,2025-04-12
PTS,Lợi nhuận gộp về BH và CCDV,2021,49506639.0,2025-04-12
PTS,Lợi nhuận gộp về BH và CCDV,2022,51408158.0,2025-04-12
PTS,Lợi nhuận gộp về BH và CCDV,2023,37699887.0,2025-04-12
PTS,Lợi nhuận gộp về BH và CCDV,2024,43368763.0,2025-04-12
PTS,Lợi nhuận tài chính,2021,-10910650.0,2025-04-12
PTS,Lợi nhuận tài chính,2022,-9225250.0,2025-04-12
PTS,Lợi nhuận tài chính,2023,-12369976.0,2025-04-12
PTS,Lợi nhuận tài chính,2024,-8148909.0,2025-04-12
PTS,Lợi nhuận khác,2021,3930673.0,2025-04-12
PTS,Lợi nhuận khác,2022,244554.0,2025-04-12
PTS,Lợi nhuận khác,2023,4324216.0,2025-04-12
PTS,Lợi nhuận khác,2024,739127.0,2025-04-12
PTS,Tổng lợi nhuận trước thuế,2021,14577339.0,2025-04-12
PTS,Tổng lợi nhuận trước thuế,2022,11682540.0,2025-04-12
PTS,Tổng lợi nhuận trước thuế,2023,1033794.0,2025-04-12
PTS,Tổng lợi nhuận trước thuế,2024,5000181.0,2025-04-12
PTS,Lợi nhuận sau thuế,2021,11427857.0,2025-04-12
PTS,Lợi nhuận sau thuế,2022,9205552.0,2025-04-12
PTS,Lợi nhuận sau thuế,2023,378665.0,2025-04-12
PTS,Lợi nhuận sau thuế,2024,3821309.0,2025-04-12
PTS,Lợi nhuận sau thuế của công ty mẹ,2021,11427857.0,2025-04-12
PTS,Lợi nhuận sau thuế của công ty mẹ,2022,9205552.0,2025-04-12
PTS,Lợi nhuận sau thuế của công ty mẹ,2023,378665.0,2025-04-12
PTS,Lợi nhuận sau thuế của công ty mẹ,2024,3821309.0,2025-04-12
PTS,Tổng tài sản lưu động ngắn hạn,2021,54637537.0,2025-04-12
PTS,Tổng tài sản lưu động ngắn hạn,2022,59613775.0,2025-04-12
PTS,Tổng tài sản lưu động ngắn hạn,2023,56439025.0,2025-04-12
PTS,Tổng tài sản lưu động ngắn hạn,2024,44773331.0,2025-04-12
PTS,Tổng tài sản,2021,267855207.0,2025-04-12
PTS,Tổng tài sản,2022,264953686.0,2025-04-12
PTS,Tổng tài sản,2023,257898013.0,2025-04-12
PTS,Tổng tài sản,2024,225423614.0,2025-04-12
PTS,Nợ ngắn hạn,2021,77252501.0,2025-04-12
PTS,Nợ ngắn hạn,2022,87512761.0,2025-04-12
PTS,Nợ ngắn hạn,2023,100277173.0,2025-04-12
PTS,Nợ ngắn hạn,2024,83630995.0,2025-04-12
PTS,Tổng nợ,2021,169621335.0,2025-04-12
PTS,Tổng nợ,2022,164178245.0,2025-04-12
PTS,Tổng nợ,2023,162530657.0,2025-04-12
PTS,Tổng nợ,2024,127930479.0,2025-04-12
PTS,Vốn chủ sở hữu,2021,98233872.0,2025-04-12
PTS,Vốn chủ sở hữu,2022,100775441.0,2025-04-12
PTS,Vốn chủ sở hữu,2023,95367356.0,2025-04-12
PTS,Vốn chủ sở hữu,2024,97493135.0,2025-04-12
