symbol,metric,year,value,crawled_date
PTV,Doanh thu bán hàng và CCDV,2021,245275867.0,2025-04-12
PTV,Doanh thu bán hàng và CCDV,2022,173711992.0,2025-04-12
PTV,Doanh thu bán hàng và CCDV,2023,197915809.0,2025-04-12
PTV,Doanh thu bán hàng và CCDV,2024,816512489.0,2025-04-12
PTV,Giá vốn hàng bán,2021,216240939.0,2025-04-12
PTV,Giá vốn hàng bán,2022,143353989.0,2025-04-12
PTV,Giá vốn hàng bán,2023,153597901.0,2025-04-12
PTV,Giá vốn hàng bán,2024,786221542.0,2025-04-12
PTV,Lợi nhuận gộp về BH và CCDV,2021,29034928.0,2025-04-12
PTV,Lợi nhuận gộp về BH và CCDV,2022,29313610.0,2025-04-12
PTV,Lợi nhuận gộp về BH và CCDV,2023,26566095.0,2025-04-12
PTV,Lợi nhuận gộp về BH và CCDV,2024,29466318.0,2025-04-12
PTV,Lợi nhuận tài chính,2021,6106995.0,2025-04-12
PTV,Lợi nhuận tài chính,2022,3544265.0,2025-04-12
PTV,Lợi nhuận tài chính,2023,5975676.0,2025-04-12
PTV,Lợi nhuận tài chính,2024,4997026.0,2025-04-12
PTV,Lợi nhuận khác,2021,1185740.0,2025-04-12
PTV,Lợi nhuận khác,2022,1821315.0,2025-04-12
PTV,Lợi nhuận khác,2023,-250236.0,2025-04-12
PTV,Lợi nhuận khác,2024,-105443.0,2025-04-12
PTV,Tổng lợi nhuận trước thuế,2021,2712611.0,2025-04-12
PTV,Tổng lợi nhuận trước thuế,2022,3445698.0,2025-04-12
PTV,Tổng lợi nhuận trước thuế,2023,1418341.0,2025-04-12
PTV,Tổng lợi nhuận trước thuế,2024,3298234.0,2025-04-12
PTV,Lợi nhuận sau thuế,2021,1503879.0,2025-04-12
PTV,Lợi nhuận sau thuế,2022,2203445.0,2025-04-12
PTV,Lợi nhuận sau thuế,2023,149950.0,2025-04-12
PTV,Lợi nhuận sau thuế,2024,2230543.0,2025-04-12
PTV,Lợi nhuận sau thuế của công ty mẹ,2021,-272588.0,2025-04-12
PTV,Lợi nhuận sau thuế của công ty mẹ,2022,481173.0,2025-04-12
PTV,Lợi nhuận sau thuế của công ty mẹ,2023,-2176051.0,2025-04-12
PTV,Lợi nhuận sau thuế của công ty mẹ,2024,243803.0,2025-04-12
PTV,Tổng tài sản lưu động ngắn hạn,2021,248635241.0,2025-04-12
PTV,Tổng tài sản lưu động ngắn hạn,2022,221757985.0,2025-04-12
PTV,Tổng tài sản lưu động ngắn hạn,2023,825395481.0,2025-04-12
PTV,Tổng tài sản lưu động ngắn hạn,2024,259818741.0,2025-04-12
PTV,Tổng tài sản,2021,326173422.0,2025-04-12
PTV,Tổng tài sản,2022,308207787.0,2025-04-12
PTV,Tổng tài sản,2023,908974286.0,2025-04-12
PTV,Tổng tài sản,2024,327952787.0,2025-04-12
PTV,Nợ ngắn hạn,2021,78900051.0,2025-04-12
PTV,Nợ ngắn hạn,2022,65295864.0,2025-04-12
PTV,Nợ ngắn hạn,2023,670039058.0,2025-04-12
PTV,Nợ ngắn hạn,2024,93086505.0,2025-04-12
PTV,Tổng nợ,2021,96290381.0,2025-04-12
PTV,Tổng nợ,2022,78121676.0,2025-04-12
PTV,Tổng nợ,2023,680731022.0,2025-04-12
PTV,Tổng nợ,2024,100038951.0,2025-04-12
PTV,Vốn chủ sở hữu,2021,229883041.0,2025-04-12
PTV,Vốn chủ sở hữu,2022,230086111.0,2025-04-12
PTV,Vốn chủ sở hữu,2023,228243265.0,2025-04-12
PTV,Vốn chủ sở hữu,2024,227913836.0,2025-04-12
