symbol,metric,year,value,crawled_date
PVH,Doanh thu bán hàng và CCDV,2020,6521144.0,2025-04-12
PVH,Doanh thu bán hàng và CCDV,2021,10841468.0,2025-04-12
PVH,Doanh thu bán hàng và CCDV,2022,30640638.0,2025-04-12
PVH,Doanh thu bán hàng và CCDV,2024,17104550.0,2025-04-12
PVH,Giá vốn hàng bán,2020,8290404.0,2025-04-12
PVH,Giá vốn hàng bán,2021,12295141.0,2025-04-12
PVH,Giá vốn hàng bán,2022,30706370.0,2025-04-12
PVH,Giá vốn hàng bán,2024,32063074.0,2025-04-12
PVH,Lợi nhuận gộp về BH và CCDV,2020,-1769260.0,2025-04-12
PVH,Lợi nhuận gộp về BH và CCDV,2021,-1453673.0,2025-04-12
PVH,Lợi nhuận gộp về BH và CCDV,2022,-65732.0,2025-04-12
PVH,Lợi nhuận gộp về BH và CCDV,2024,-14958524.0,2025-04-12
PVH,Lợi nhuận tài chính,2020,2397272.0,2025-04-12
PVH,Lợi nhuận tài chính,2021,442938.0,2025-04-12
PVH,Lợi nhuận tài chính,2022,2310765.0,2025-04-12
PVH,Lợi nhuận tài chính,2024,1106583.0,2025-04-12
PVH,Lợi nhuận khác,2020,121700.0,2025-04-12
PVH,Lợi nhuận khác,2021,1596867.0,2025-04-12
PVH,Lợi nhuận khác,2022,-15986.0,2025-04-12
PVH,Lợi nhuận khác,2024,-97418.0,2025-04-12
PVH,Tổng lợi nhuận trước thuế,2020,-5866463.0,2025-04-12
PVH,Tổng lợi nhuận trước thuế,2021,-33285654.0,2025-04-12
PVH,Tổng lợi nhuận trước thuế,2022,-6035342.0,2025-04-12
PVH,Tổng lợi nhuận trước thuế,2024,-20237382.0,2025-04-12
PVH,Lợi nhuận sau thuế,2020,-5866463.0,2025-04-12
PVH,Lợi nhuận sau thuế,2021,-33285654.0,2025-04-12
PVH,Lợi nhuận sau thuế,2022,-6035342.0,2025-04-12
PVH,Lợi nhuận sau thuế,2024,-20237382.0,2025-04-12
PVH,Lợi nhuận sau thuế của công ty mẹ,2020,-5866463.0,2025-04-12
PVH,Lợi nhuận sau thuế của công ty mẹ,2021,-33285654.0,2025-04-12
PVH,Lợi nhuận sau thuế của công ty mẹ,2022,-6035342.0,2025-04-12
PVH,Lợi nhuận sau thuế của công ty mẹ,2024,-20237382.0,2025-04-12
PVH,Tổng tài sản lưu động ngắn hạn,2020,221659184.0,2025-04-12
PVH,Tổng tài sản lưu động ngắn hạn,2021,220429202.0,2025-04-12
PVH,Tổng tài sản lưu động ngắn hạn,2022,226781606.0,2025-04-12
PVH,Tổng tài sản lưu động ngắn hạn,2024,183624235.0,2025-04-12
PVH,Tổng tài sản,2020,630807752.0,2025-04-12
PVH,Tổng tài sản,2021,600609348.0,2025-04-12
PVH,Tổng tài sản,2022,609186920.0,2025-04-12
PVH,Tổng tài sản,2024,558340363.0,2025-04-12
PVH,Nợ ngắn hạn,2020,113900168.0,2025-04-12
PVH,Nợ ngắn hạn,2021,117540701.0,2025-04-12
PVH,Nợ ngắn hạn,2022,135426506.0,2025-04-12
PVH,Nợ ngắn hạn,2024,107797357.0,2025-04-12
PVH,Tổng nợ,2020,513371597.0,2025-04-12
PVH,Tổng nợ,2021,516458847.0,2025-04-12
PVH,Tổng nợ,2022,531071761.0,2025-04-12
PVH,Tổng nợ,2024,502280046.0,2025-04-12
PVH,Vốn chủ sở hữu,2020,117436155.0,2025-04-12
PVH,Vốn chủ sở hữu,2021,84150501.0,2025-04-12
PVH,Vốn chủ sở hữu,2022,78115159.0,2025-04-12
PVH,Vốn chủ sở hữu,2024,56060317.0,2025-04-12
