symbol,metric,year,value,crawled_date
PVI,Doanh thu bán hàng và CCDV,2021,10247637410.0,2025-04-12
PVI,Doanh thu bán hàng và CCDV,2022,13378373078.0,2025-04-12
PVI,Doanh thu bán hàng và CCDV,2023,14661051651.0,2025-04-12
PVI,Doanh thu bán hàng và CCDV,2024,20376218972.0,2025-04-12
PVI,Giá vốn hàng bán,2021,3912998305.0,2025-04-12
PVI,Giá vốn hàng bán,2022,5440108659.0,2025-04-12
PVI,Giá vốn hàng bán,2023,5670584516.0,2025-04-12
PVI,Giá vốn hàng bán,2024,6785015410.0,2025-04-12
PVI,Lợi nhuận gộp về BH và CCDV,2021,1053642660.0,2025-04-12
PVI,Lợi nhuận gộp về BH và CCDV,2022,1054971739.0,2025-04-12
PVI,Lợi nhuận gộp về BH và CCDV,2023,1038755355.0,2025-04-12
PVI,Lợi nhuận gộp về BH và CCDV,2024,953241631.0,2025-04-12
PVI,Lợi nhuận tài chính,2021,737778208.0,2025-04-12
PVI,Lợi nhuận tài chính,2022,703215108.0,2025-04-12
PVI,Lợi nhuận tài chính,2023,932879340.0,2025-04-12
PVI,Lợi nhuận tài chính,2024,874537990.0,2025-04-12
PVI,Lợi nhuận khác,2021,-11701771.0,2025-04-12
PVI,Lợi nhuận khác,2022,7136714.0,2025-04-12
PVI,Lợi nhuận khác,2023,2628072.0,2025-04-12
PVI,Lợi nhuận khác,2024,3332264.0,2025-04-12
PVI,Tổng lợi nhuận trước thuế,2021,1101197863.0,2025-04-12
PVI,Tổng lợi nhuận trước thuế,2022,1104969715.0,2025-04-12
PVI,Tổng lợi nhuận trước thuế,2023,1246410348.0,2025-04-12
PVI,Tổng lợi nhuận trước thuế,2024,1117564877.0,2025-04-12
PVI,Lợi nhuận sau thuế,2021,870629591.0,2025-04-12
PVI,Lợi nhuận sau thuế,2022,873177673.0,2025-04-12
PVI,Lợi nhuận sau thuế,2023,1006501257.0,2025-04-12
PVI,Lợi nhuận sau thuế,2024,879642039.0,2025-04-12
PVI,Lợi nhuận sau thuế của công ty mẹ,2021,830260718.0,2025-04-12
PVI,Lợi nhuận sau thuế của công ty mẹ,2022,833910607.0,2025-04-12
PVI,Lợi nhuận sau thuế của công ty mẹ,2023,957129680.0,2025-04-12
PVI,Lợi nhuận sau thuế của công ty mẹ,2024,843032681.0,2025-04-12
PVI,Tổng tài sản lưu động ngắn hạn,2021,21116155925.0,2025-04-12
PVI,Tổng tài sản lưu động ngắn hạn,2022,22625450091.0,2025-04-12
PVI,Tổng tài sản lưu động ngắn hạn,2023,21466480852.0,2025-04-12
PVI,Tổng tài sản lưu động ngắn hạn,2024,26187880114.0,2025-04-12
PVI,Tổng tài sản,2021,24282101330.0,2025-04-12
PVI,Tổng tài sản,2022,26123593295.0,2025-04-12
PVI,Tổng tài sản,2023,26942678995.0,2025-04-12
PVI,Tổng tài sản,2024,31766864198.0,2025-04-12
PVI,Nợ ngắn hạn,2021,16375453556.0,2025-04-12
PVI,Nợ ngắn hạn,2022,18195198823.0,2025-04-12
PVI,Nợ ngắn hạn,2023,18697769023.0,2025-04-12
PVI,Nợ ngắn hạn,2024,23476490015.0,2025-04-12
PVI,Tổng nợ,2021,16442138007.0,2025-04-12
PVI,Tổng nợ,2022,18264565039.0,2025-04-12
PVI,Tổng nợ,2023,18843302735.0,2025-04-12
PVI,Tổng nợ,2024,23584028863.0,2025-04-12
PVI,Vốn chủ sở hữu,2021,7839963324.0,2025-04-12
PVI,Vốn chủ sở hữu,2022,7859028256.0,2025-04-12
PVI,Vốn chủ sở hữu,2023,8099376260.0,2025-04-12
PVI,Vốn chủ sở hữu,2024,8182835334.0,2025-04-12
