symbol,metric,year,value,crawled_date
PVL,Doanh thu bán hàng và CCDV,2021,23741670.0,2025-04-12
PVL,Doanh thu bán hàng và CCDV,2022,2769793.0,2025-04-12
PVL,Doanh thu bán hàng và CCDV,2023,1445583.0,2025-04-12
PVL,Doanh thu bán hàng và CCDV,2024,503205.0,2025-04-12
PVL,Giá vốn hàng bán,2021,2983258.0,2025-04-12
PVL,Giá vốn hàng bán,2022,925799.0,2025-04-12
PVL,Giá vốn hàng bán,2023,-3250894.0,2025-04-12
PVL,Giá vốn hàng bán,2024,342449.0,2025-04-12
PVL,Lợi nhuận gộp về BH và CCDV,2021,20758412.0,2025-04-12
PVL,Lợi nhuận gộp về BH và CCDV,2022,1843994.0,2025-04-12
PVL,Lợi nhuận gộp về BH và CCDV,2023,451343.0,2025-04-12
PVL,Lợi nhuận gộp về BH và CCDV,2024,160756.0,2025-04-12
PVL,Lợi nhuận tài chính,2021,3132456.0,2025-04-12
PVL,Lợi nhuận tài chính,2022,3589389.0,2025-04-12
PVL,Lợi nhuận tài chính,2023,-77454340.0,2025-04-12
PVL,Lợi nhuận tài chính,2024,-30668.0,2025-04-12
PVL,Lợi nhuận khác,2021,-8328.0,2025-04-12
PVL,Lợi nhuận khác,2023,-862968.0,2025-04-12
PVL,Lợi nhuận khác,2024,-72221.0,2025-04-12
PVL,Tổng lợi nhuận trước thuế,2021,17130485.0,2025-04-12
PVL,Tổng lợi nhuận trước thuế,2022,58495.0,2025-04-12
PVL,Tổng lợi nhuận trước thuế,2023,-88808673.0,2025-04-12
PVL,Tổng lợi nhuận trước thuế,2024,-17208739.0,2025-04-12
PVL,Lợi nhuận sau thuế,2021,17130485.0,2025-04-12
PVL,Lợi nhuận sau thuế,2022,58495.0,2025-04-12
PVL,Lợi nhuận sau thuế,2023,-88808673.0,2025-04-12
PVL,Lợi nhuận sau thuế,2024,-17208739.0,2025-04-12
PVL,Lợi nhuận sau thuế của công ty mẹ,2021,17140195.0,2025-04-12
PVL,Lợi nhuận sau thuế của công ty mẹ,2022,58495.0,2025-04-12
PVL,Lợi nhuận sau thuế của công ty mẹ,2023,-88808673.0,2025-04-12
PVL,Lợi nhuận sau thuế của công ty mẹ,2024,-17208739.0,2025-04-12
PVL,Tổng tài sản lưu động ngắn hạn,2021,159891057.0,2025-04-12
PVL,Tổng tài sản lưu động ngắn hạn,2022,129462733.0,2025-04-12
PVL,Tổng tài sản lưu động ngắn hạn,2023,101857559.0,2025-04-12
PVL,Tổng tài sản lưu động ngắn hạn,2024,71151933.0,2025-04-12
PVL,Tổng tài sản,2021,409402117.0,2025-04-12
PVL,Tổng tài sản,2022,409684461.0,2025-04-12
PVL,Tổng tài sản,2023,218126453.0,2025-04-12
PVL,Tổng tài sản,2024,201135644.0,2025-04-12
PVL,Nợ ngắn hạn,2021,155358646.0,2025-04-12
PVL,Nợ ngắn hạn,2022,155265335.0,2025-04-12
PVL,Nợ ngắn hạn,2023,53711990.0,2025-04-12
PVL,Nợ ngắn hạn,2024,54049192.0,2025-04-12
PVL,Tổng nợ,2021,156229033.0,2025-04-12
PVL,Tổng nợ,2022,156152882.0,2025-04-12
PVL,Tổng nợ,2023,53832212.0,2025-04-12
PVL,Tổng nợ,2024,54050142.0,2025-04-12
PVL,Vốn chủ sở hữu,2021,253173084.0,2025-04-12
PVL,Vốn chủ sở hữu,2022,253531579.0,2025-04-12
PVL,Vốn chủ sở hữu,2023,164294241.0,2025-04-12
PVL,Vốn chủ sở hữu,2024,147085502.0,2025-04-12
