symbol,metric,year,value,crawled_date
RCC,Doanh thu bán hàng và CCDV,2021,564485400.0,2025-04-12
RCC,Doanh thu bán hàng và CCDV,2022,456326874.0,2025-04-12
RCC,Doanh thu bán hàng và CCDV,2023,839968366.0,2025-04-12
RCC,Doanh thu bán hàng và CCDV,2024,776639693.0,2025-04-12
RCC,Giá vốn hàng bán,2021,483340487.0,2025-04-12
RCC,Giá vốn hàng bán,2022,393189275.0,2025-04-12
RCC,Giá vốn hàng bán,2023,734894432.0,2025-04-12
RCC,Giá vốn hàng bán,2024,700280248.0,2025-04-12
RCC,Lợi nhuận gộp về BH và CCDV,2021,81144913.0,2025-04-12
RCC,Lợi nhuận gộp về BH và CCDV,2022,63137598.0,2025-04-12
RCC,Lợi nhuận gộp về BH và CCDV,2023,105073934.0,2025-04-12
RCC,Lợi nhuận gộp về BH và CCDV,2024,76359444.0,2025-04-12
RCC,Lợi nhuận tài chính,2021,52143453.0,2025-04-12
RCC,Lợi nhuận tài chính,2022,7508336.0,2025-04-12
RCC,Lợi nhuận tài chính,2023,-17526081.0,2025-04-12
RCC,Lợi nhuận tài chính,2024,-30246516.0,2025-04-12
RCC,Lợi nhuận khác,2021,-3019037.0,2025-04-12
RCC,Lợi nhuận khác,2022,3133563.0,2025-04-12
RCC,Lợi nhuận khác,2023,309337.0,2025-04-12
RCC,Lợi nhuận khác,2024,-1340882.0,2025-04-12
RCC,Tổng lợi nhuận trước thuế,2021,69364560.0,2025-04-12
RCC,Tổng lợi nhuận trước thuế,2022,25569509.0,2025-04-12
RCC,Tổng lợi nhuận trước thuế,2023,38716211.0,2025-04-12
RCC,Tổng lợi nhuận trước thuế,2024,9462036.0,2025-04-12
RCC,Lợi nhuận sau thuế,2021,81343746.0,2025-04-12
RCC,Lợi nhuận sau thuế,2022,22633845.0,2025-04-12
RCC,Lợi nhuận sau thuế,2023,30083671.0,2025-04-12
RCC,Lợi nhuận sau thuế,2024,3745802.0,2025-04-12
RCC,Lợi nhuận sau thuế của công ty mẹ,2021,71781034.0,2025-04-12
RCC,Lợi nhuận sau thuế của công ty mẹ,2022,23786783.0,2025-04-12
RCC,Lợi nhuận sau thuế của công ty mẹ,2023,27436213.0,2025-04-12
RCC,Lợi nhuận sau thuế của công ty mẹ,2024,1313805.0,2025-04-12
RCC,Tổng tài sản lưu động ngắn hạn,2021,719355133.0,2025-04-12
RCC,Tổng tài sản lưu động ngắn hạn,2022,745365843.0,2025-04-12
RCC,Tổng tài sản lưu động ngắn hạn,2023,1087068135.0,2025-04-12
RCC,Tổng tài sản lưu động ngắn hạn,2024,743854633.0,2025-04-12
RCC,Tổng tài sản,2021,844311424.0,2025-04-12
RCC,Tổng tài sản,2022,858617017.0,2025-04-12
RCC,Tổng tài sản,2023,1197376263.0,2025-04-12
RCC,Tổng tài sản,2024,1046555454.0,2025-04-12
RCC,Nợ ngắn hạn,2021,464425514.0,2025-04-12
RCC,Nợ ngắn hạn,2022,466292097.0,2025-04-12
RCC,Nợ ngắn hạn,2023,779814177.0,2025-04-12
RCC,Nợ ngắn hạn,2024,627255964.0,2025-04-12
RCC,Tổng nợ,2021,482924069.0,2025-04-12
RCC,Tổng nợ,2022,477127077.0,2025-04-12
RCC,Tổng nợ,2023,789488626.0,2025-04-12
RCC,Tổng nợ,2024,635331217.0,2025-04-12
RCC,Vốn chủ sở hữu,2021,361387355.0,2025-04-12
RCC,Vốn chủ sở hữu,2022,381489940.0,2025-04-12
RCC,Vốn chủ sở hữu,2023,407887637.0,2025-04-12
RCC,Vốn chủ sở hữu,2024,411224236.0,2025-04-12
