symbol,metric,year,value,crawled_date
S72,Doanh thu bán hàng và CCDV,2022,42602810.0,2025-04-12
S72,Doanh thu bán hàng và CCDV,2023,31242152.0,2025-04-12
S72,Doanh thu bán hàng và CCDV,2023,31242152.0,2025-04-12
S72,Doanh thu bán hàng và CCDV,2024,36099275.0,2025-04-12
S72,Giá vốn hàng bán,2022,21027953.0,2025-04-12
S72,Giá vốn hàng bán,2023,19737549.0,2025-04-12
S72,Giá vốn hàng bán,2023,19737549.0,2025-04-12
S72,Giá vốn hàng bán,2024,21749291.0,2025-04-12
S72,Lợi nhuận gộp về BH và CCDV,2022,21574857.0,2025-04-12
S72,Lợi nhuận gộp về BH và CCDV,2023,11504603.0,2025-04-12
S72,Lợi nhuận gộp về BH và CCDV,2023,11504603.0,2025-04-12
S72,Lợi nhuận gộp về BH và CCDV,2024,14349984.0,2025-04-12
S72,Lợi nhuận tài chính,2022,-10291516.0,2025-04-12
S72,Lợi nhuận tài chính,2023,-9852649.0,2025-04-12
S72,Lợi nhuận tài chính,2023,-9852649.0,2025-04-12
S72,Lợi nhuận tài chính,2024,-6672357.0,2025-04-12
S72,Lợi nhuận khác,2022,-51018.0,2025-04-12
S72,Lợi nhuận khác,2023,11948.0,2025-04-12
S72,Lợi nhuận khác,2023,11948.0,2025-04-12
S72,Lợi nhuận khác,2024,-6568.0,2025-04-12
S72,Tổng lợi nhuận trước thuế,2022,9778488.0,2025-04-12
S72,Tổng lợi nhuận trước thuế,2023,225877.0,2025-04-12
S72,Tổng lợi nhuận trước thuế,2023,225877.0,2025-04-12
S72,Tổng lợi nhuận trước thuế,2024,5880353.0,2025-04-12
S72,Lợi nhuận sau thuế,2022,9778488.0,2025-04-12
S72,Lợi nhuận sau thuế,2023,225877.0,2025-04-12
S72,Lợi nhuận sau thuế,2023,225877.0,2025-04-12
S72,Lợi nhuận sau thuế,2024,5880353.0,2025-04-12
S72,Lợi nhuận sau thuế của công ty mẹ,2022,9778488.0,2025-04-12
S72,Lợi nhuận sau thuế của công ty mẹ,2023,225877.0,2025-04-12
S72,Lợi nhuận sau thuế của công ty mẹ,2023,225877.0,2025-04-12
S72,Lợi nhuận sau thuế của công ty mẹ,2024,5880353.0,2025-04-12
S72,Tổng tài sản lưu động ngắn hạn,2022,9454266.0,2025-04-12
S72,Tổng tài sản lưu động ngắn hạn,2023,9318290.0,2025-04-12
S72,Tổng tài sản lưu động ngắn hạn,2023,9318290.0,2025-04-12
S72,Tổng tài sản lưu động ngắn hạn,2024,11385654.0,2025-04-12
S72,Tổng tài sản,2022,242865878.0,2025-04-12
S72,Tổng tài sản,2023,228457763.0,2025-04-12
S72,Tổng tài sản,2023,228457763.0,2025-04-12
S72,Tổng tài sản,2024,217982018.0,2025-04-12
S72,Nợ ngắn hạn,2022,44897798.0,2025-04-12
S72,Nợ ngắn hạn,2023,54520130.0,2025-04-12
S72,Nợ ngắn hạn,2023,54520130.0,2025-04-12
S72,Nợ ngắn hạn,2024,39264032.0,2025-04-12
S72,Tổng nợ,2022,127724930.0,2025-04-12
S72,Tổng nợ,2023,114647262.0,2025-04-12
S72,Tổng nợ,2023,114647262.0,2025-04-12
S72,Tổng nợ,2024,98291164.0,2025-04-12
S72,Vốn chủ sở hữu,2022,115140948.0,2025-04-12
S72,Vốn chủ sở hữu,2023,113810501.0,2025-04-12
S72,Vốn chủ sở hữu,2023,113810501.0,2025-04-12
S72,Vốn chủ sở hữu,2024,119690854.0,2025-04-12
