symbol,metric,year,value,crawled_date
SBH,Doanh thu bán hàng và CCDV,2021,873124396.0,2025-04-12
SBH,Doanh thu bán hàng và CCDV,2022,1143295980.0,2025-04-12
SBH,Doanh thu bán hàng và CCDV,2023,961841750.0,2025-04-12
SBH,Doanh thu bán hàng và CCDV,2024,627650460.0,2025-04-12
SBH,Giá vốn hàng bán,2021,358613334.0,2025-04-12
SBH,Giá vốn hàng bán,2022,437306426.0,2025-04-12
SBH,Giá vốn hàng bán,2023,413117726.0,2025-04-12
SBH,Giá vốn hàng bán,2024,312860592.0,2025-04-12
SBH,Lợi nhuận gộp về BH và CCDV,2021,514511062.0,2025-04-12
SBH,Lợi nhuận gộp về BH và CCDV,2022,705989554.0,2025-04-12
SBH,Lợi nhuận gộp về BH và CCDV,2023,548724024.0,2025-04-12
SBH,Lợi nhuận gộp về BH và CCDV,2024,314789868.0,2025-04-12
SBH,Lợi nhuận tài chính,2021,30201119.0,2025-04-12
SBH,Lợi nhuận tài chính,2022,31260705.0,2025-04-12
SBH,Lợi nhuận tài chính,2023,54929737.0,2025-04-12
SBH,Lợi nhuận tài chính,2024,25262262.0,2025-04-12
SBH,Lợi nhuận khác,2021,835784.0,2025-04-12
SBH,Lợi nhuận khác,2022,296860.0,2025-04-12
SBH,Lợi nhuận khác,2023,26182.0,2025-04-12
SBH,Lợi nhuận khác,2024,14078275.0,2025-04-12
SBH,Tổng lợi nhuận trước thuế,2021,501008484.0,2025-04-12
SBH,Tổng lợi nhuận trước thuế,2022,682173017.0,2025-04-12
SBH,Tổng lợi nhuận trước thuế,2023,547910917.0,2025-04-12
SBH,Tổng lợi nhuận trước thuế,2024,306453499.0,2025-04-12
SBH,Lợi nhuận sau thuế,2021,471146469.0,2025-04-12
SBH,Lợi nhuận sau thuế,2022,643211103.0,2025-04-12
SBH,Lợi nhuận sau thuế,2023,487332848.0,2025-04-12
SBH,Lợi nhuận sau thuế,2024,273550926.0,2025-04-12
SBH,Lợi nhuận sau thuế của công ty mẹ,2021,471146469.0,2025-04-12
SBH,Lợi nhuận sau thuế của công ty mẹ,2022,643211103.0,2025-04-12
SBH,Lợi nhuận sau thuế của công ty mẹ,2023,487332848.0,2025-04-12
SBH,Lợi nhuận sau thuế của công ty mẹ,2024,273550926.0,2025-04-12
SBH,Tổng tài sản lưu động ngắn hạn,2021,960975321.0,2025-04-12
SBH,Tổng tài sản lưu động ngắn hạn,2022,1412510148.0,2025-04-12
SBH,Tổng tài sản lưu động ngắn hạn,2023,1409280032.0,2025-04-12
SBH,Tổng tài sản lưu động ngắn hạn,2024,1078469495.0,2025-04-12
SBH,Tổng tài sản,2021,2134643592.0,2025-04-12
SBH,Tổng tài sản,2022,2420484571.0,2025-04-12
SBH,Tổng tài sản,2023,2229962077.0,2025-04-12
SBH,Tổng tài sản,2024,1781184601.0,2025-04-12
SBH,Nợ ngắn hạn,2021,119312352.0,2025-04-12
SBH,Nợ ngắn hạn,2022,149503690.0,2025-04-12
SBH,Nợ ngắn hạn,2023,104071616.0,2025-04-12
SBH,Nợ ngắn hạn,2024,133119426.0,2025-04-12
SBH,Tổng nợ,2021,132812352.0,2025-04-12
SBH,Tổng nợ,2022,163003690.0,2025-04-12
SBH,Tổng nợ,2023,117571616.0,2025-04-12
SBH,Tổng nợ,2024,133119426.0,2025-04-12
SBH,Vốn chủ sở hữu,2021,2001831239.0,2025-04-12
SBH,Vốn chủ sở hữu,2022,2257480880.0,2025-04-12
SBH,Vốn chủ sở hữu,2023,2112390461.0,2025-04-12
SBH,Vốn chủ sở hữu,2024,1648065175.0,2025-04-12
