symbol,metric,year,value,crawled_date
SBR,Doanh thu bán hàng và CCDV,2020,261363806.0,2025-04-12
SBR,Doanh thu bán hàng và CCDV,2021,251545645.0,2025-04-12
SBR,Doanh thu bán hàng và CCDV,2022,246933399.0,2025-04-12
SBR,Doanh thu bán hàng và CCDV,2023,246210197.0,2025-04-12
SBR,Giá vốn hàng bán,2020,231642376.0,2025-04-12
SBR,Giá vốn hàng bán,2021,211895036.0,2025-04-12
SBR,Giá vốn hàng bán,2022,215106595.0,2025-04-12
SBR,Giá vốn hàng bán,2023,218690226.0,2025-04-12
SBR,Lợi nhuận gộp về BH và CCDV,2020,29721430.0,2025-04-12
SBR,Lợi nhuận gộp về BH và CCDV,2021,39650609.0,2025-04-12
SBR,Lợi nhuận gộp về BH và CCDV,2022,31826804.0,2025-04-12
SBR,Lợi nhuận gộp về BH và CCDV,2023,27519971.0,2025-04-12
SBR,Lợi nhuận tài chính,2020,9376211.0,2025-04-12
SBR,Lợi nhuận tài chính,2021,14303977.0,2025-04-12
SBR,Lợi nhuận tài chính,2022,13054414.0,2025-04-12
SBR,Lợi nhuận tài chính,2023,23373567.0,2025-04-12
SBR,Lợi nhuận khác,2020,21273880.0,2025-04-12
SBR,Lợi nhuận khác,2021,45144976.0,2025-04-12
SBR,Lợi nhuận khác,2022,56790698.0,2025-04-12
SBR,Lợi nhuận khác,2023,40104934.0,2025-04-12
SBR,Tổng lợi nhuận trước thuế,2020,42270966.0,2025-04-12
SBR,Tổng lợi nhuận trước thuế,2021,73009382.0,2025-04-12
SBR,Tổng lợi nhuận trước thuế,2022,47481172.0,2025-04-12
SBR,Tổng lợi nhuận trước thuế,2023,67211708.0,2025-04-12
SBR,Lợi nhuận sau thuế,2020,34135962.0,2025-04-12
SBR,Lợi nhuận sau thuế,2021,59324863.0,2025-04-12
SBR,Lợi nhuận sau thuế,2022,39194118.0,2025-04-12
SBR,Lợi nhuận sau thuế,2023,55612488.0,2025-04-12
SBR,Lợi nhuận sau thuế của công ty mẹ,2020,34135962.0,2025-04-12
SBR,Lợi nhuận sau thuế của công ty mẹ,2021,59324863.0,2025-04-12
SBR,Lợi nhuận sau thuế của công ty mẹ,2022,39194118.0,2025-04-12
SBR,Lợi nhuận sau thuế của công ty mẹ,2023,55612488.0,2025-04-12
SBR,Tổng tài sản lưu động ngắn hạn,2020,211357644.0,2025-04-12
SBR,Tổng tài sản lưu động ngắn hạn,2021,278370388.0,2025-04-12
SBR,Tổng tài sản lưu động ngắn hạn,2022,375058020.0,2025-04-12
SBR,Tổng tài sản lưu động ngắn hạn,2023,487238601.0,2025-04-12
SBR,Tổng tài sản,2020,1005641495.0,2025-04-12
SBR,Tổng tài sản,2021,1048590714.0,2025-04-12
SBR,Tổng tài sản,2022,1002920325.0,2025-04-12
SBR,Tổng tài sản,2023,1032062560.0,2025-04-12
SBR,Nợ ngắn hạn,2020,156134810.0,2025-04-12
SBR,Nợ ngắn hạn,2021,215001492.0,2025-04-12
SBR,Nợ ngắn hạn,2022,177331103.0,2025-04-12
SBR,Nợ ngắn hạn,2023,203938992.0,2025-04-12
SBR,Tổng nợ,2020,191679575.0,2025-04-12
SBR,Tổng nợ,2021,234628794.0,2025-04-12
SBR,Tổng nợ,2022,188958405.0,2025-04-12
SBR,Tổng nợ,2023,218100640.0,2025-04-12
SBR,Vốn chủ sở hữu,2020,813961920.0,2025-04-12
SBR,Vốn chủ sở hữu,2021,813961920.0,2025-04-12
SBR,Vốn chủ sở hữu,2022,813961920.0,2025-04-12
SBR,Vốn chủ sở hữu,2023,813961920.0,2025-04-12
