symbol,metric,year,value,crawled_date
SCO,Doanh thu bán hàng và CCDV,2021,17716506.0,2025-04-12
SCO,Doanh thu bán hàng và CCDV,2022,24261174.0,2025-04-12
SCO,Doanh thu bán hàng và CCDV,2023,27054111.0,2025-04-12
SCO,Doanh thu bán hàng và CCDV,2024,19887810.0,2025-04-12
SCO,Giá vốn hàng bán,2021,8913895.0,2025-04-12
SCO,Giá vốn hàng bán,2022,11894531.0,2025-04-12
SCO,Giá vốn hàng bán,2023,15716042.0,2025-04-12
SCO,Giá vốn hàng bán,2024,11562614.0,2025-04-12
SCO,Lợi nhuận gộp về BH và CCDV,2021,8802611.0,2025-04-12
SCO,Lợi nhuận gộp về BH và CCDV,2022,12366643.0,2025-04-12
SCO,Lợi nhuận gộp về BH và CCDV,2023,11338070.0,2025-04-12
SCO,Lợi nhuận gộp về BH và CCDV,2024,8325196.0,2025-04-12
SCO,Lợi nhuận tài chính,2021,-2601112.0,2025-04-12
SCO,Lợi nhuận tài chính,2022,-1934695.0,2025-04-12
SCO,Lợi nhuận tài chính,2023,-1462357.0,2025-04-12
SCO,Lợi nhuận tài chính,2024,-694310.0,2025-04-12
SCO,Lợi nhuận khác,2021,175029.0,2025-04-12
SCO,Lợi nhuận khác,2022,391104.0,2025-04-12
SCO,Lợi nhuận khác,2023,5502227.0,2025-04-12
SCO,Lợi nhuận khác,2024,512615.0,2025-04-12
SCO,Tổng lợi nhuận trước thuế,2021,1555631.0,2025-04-12
SCO,Tổng lợi nhuận trước thuế,2022,5229331.0,2025-04-12
SCO,Tổng lợi nhuận trước thuế,2023,9626546.0,2025-04-12
SCO,Tổng lợi nhuận trước thuế,2024,2681304.0,2025-04-12
SCO,Lợi nhuận sau thuế,2021,1555631.0,2025-04-12
SCO,Lợi nhuận sau thuế,2022,5229331.0,2025-04-12
SCO,Lợi nhuận sau thuế,2023,8928070.0,2025-04-12
SCO,Lợi nhuận sau thuế,2024,2194673.0,2025-04-12
SCO,Lợi nhuận sau thuế của công ty mẹ,2021,1555631.0,2025-04-12
SCO,Lợi nhuận sau thuế của công ty mẹ,2022,5229331.0,2025-04-12
SCO,Lợi nhuận sau thuế của công ty mẹ,2023,8928070.0,2025-04-12
SCO,Lợi nhuận sau thuế của công ty mẹ,2024,2194673.0,2025-04-12
SCO,Tổng tài sản lưu động ngắn hạn,2021,4719291.0,2025-04-12
SCO,Tổng tài sản lưu động ngắn hạn,2022,7286640.0,2025-04-12
SCO,Tổng tài sản lưu động ngắn hạn,2023,5425626.0,2025-04-12
SCO,Tổng tài sản lưu động ngắn hạn,2024,2764595.0,2025-04-12
SCO,Tổng tài sản,2021,14834958.0,2025-04-12
SCO,Tổng tài sản,2022,16881380.0,2025-04-12
SCO,Tổng tài sản,2023,14301266.0,2025-04-12
SCO,Tổng tài sản,2024,10975004.0,2025-04-12
SCO,Nợ ngắn hạn,2021,109518794.0,2025-04-12
SCO,Nợ ngắn hạn,2022,106479486.0,2025-04-12
SCO,Nợ ngắn hạn,2023,94971302.0,2025-04-12
SCO,Nợ ngắn hạn,2024,89552467.0,2025-04-12
SCO,Tổng nợ,2021,110186494.0,2025-04-12
SCO,Tổng nợ,2022,107003586.0,2025-04-12
SCO,Tổng nợ,2023,95495402.0,2025-04-12
SCO,Tổng nợ,2024,89974467.0,2025-04-12
SCO,Vốn chủ sở hữu,2021,-95351536.0,2025-04-12
SCO,Vốn chủ sở hữu,2022,-90122205.0,2025-04-12
SCO,Vốn chủ sở hữu,2023,-81194135.0,2025-04-12
SCO,Vốn chủ sở hữu,2024,-78999462.0,2025-04-12
