symbol,metric,year,value,crawled_date
SEA,Doanh thu bán hàng và CCDV,2021,1008179855.0,2025-04-12
SEA,Doanh thu bán hàng và CCDV,2022,982357449.0,2025-04-12
SEA,Doanh thu bán hàng và CCDV,2023,701230340.0,2025-04-12
SEA,Doanh thu bán hàng và CCDV,2024,601282016.0,2025-04-12
SEA,Giá vốn hàng bán,2021,903792406.0,2025-04-12
SEA,Giá vốn hàng bán,2022,848331835.0,2025-04-12
SEA,Giá vốn hàng bán,2023,583264114.0,2025-04-12
SEA,Giá vốn hàng bán,2024,493890323.0,2025-04-12
SEA,Lợi nhuận gộp về BH và CCDV,2021,104363173.0,2025-04-12
SEA,Lợi nhuận gộp về BH và CCDV,2022,133878683.0,2025-04-12
SEA,Lợi nhuận gộp về BH và CCDV,2023,117925515.0,2025-04-12
SEA,Lợi nhuận gộp về BH và CCDV,2024,107331182.0,2025-04-12
SEA,Lợi nhuận tài chính,2021,32659231.0,2025-04-12
SEA,Lợi nhuận tài chính,2022,37797451.0,2025-04-12
SEA,Lợi nhuận tài chính,2023,37217637.0,2025-04-12
SEA,Lợi nhuận tài chính,2024,18857699.0,2025-04-12
SEA,Lợi nhuận khác,2021,856005.0,2025-04-12
SEA,Lợi nhuận khác,2022,18189715.0,2025-04-12
SEA,Lợi nhuận khác,2023,2957666.0,2025-04-12
SEA,Lợi nhuận khác,2024,3818155.0,2025-04-12
SEA,Tổng lợi nhuận trước thuế,2021,203539574.0,2025-04-12
SEA,Tổng lợi nhuận trước thuế,2022,243556794.0,2025-04-12
SEA,Tổng lợi nhuận trước thuế,2023,239096488.0,2025-04-12
SEA,Tổng lợi nhuận trước thuế,2024,174495662.0,2025-04-12
SEA,Lợi nhuận sau thuế,2021,202167435.0,2025-04-12
SEA,Lợi nhuận sau thuế,2022,233589278.0,2025-04-12
SEA,Lợi nhuận sau thuế,2023,229521197.0,2025-04-12
SEA,Lợi nhuận sau thuế,2024,167709338.0,2025-04-12
SEA,Lợi nhuận sau thuế của công ty mẹ,2021,202987530.0,2025-04-12
SEA,Lợi nhuận sau thuế của công ty mẹ,2022,230122048.0,2025-04-12
SEA,Lợi nhuận sau thuế của công ty mẹ,2023,229416535.0,2025-04-12
SEA,Lợi nhuận sau thuế của công ty mẹ,2024,171270310.0,2025-04-12
SEA,Tổng tài sản lưu động ngắn hạn,2021,2013505335.0,2025-04-12
SEA,Tổng tài sản lưu động ngắn hạn,2022,946201383.0,2025-04-12
SEA,Tổng tài sản lưu động ngắn hạn,2023,678896737.0,2025-04-12
SEA,Tổng tài sản lưu động ngắn hạn,2024,582364160.0,2025-04-12
SEA,Tổng tài sản,2021,3626975302.0,2025-04-12
SEA,Tổng tài sản,2022,2686458278.0,2025-04-12
SEA,Tổng tài sản,2023,2573370517.0,2025-04-12
SEA,Tổng tài sản,2024,2587032315.0,2025-04-12
SEA,Nợ ngắn hạn,2021,516457710.0,2025-04-12
SEA,Nợ ngắn hạn,2022,554495829.0,2025-04-12
SEA,Nợ ngắn hạn,2023,220083182.0,2025-04-12
SEA,Nợ ngắn hạn,2024,153945426.0,2025-04-12
SEA,Tổng nợ,2021,548528166.0,2025-04-12
SEA,Tổng nợ,2022,579995868.0,2025-04-12
SEA,Tổng nợ,2023,249846065.0,2025-04-12
SEA,Tổng nợ,2024,171505537.0,2025-04-12
SEA,Vốn chủ sở hữu,2021,3078447137.0,2025-04-12
SEA,Vốn chủ sở hữu,2022,2106462409.0,2025-04-12
SEA,Vốn chủ sở hữu,2023,2323524453.0,2025-04-12
SEA,Vốn chủ sở hữu,2024,2415526778.0,2025-04-12
