symbol,metric,year,value,crawled_date
SJS,Doanh thu bán hàng và CCDV,2022,379810851.0,2025-04-12
SJS,Doanh thu bán hàng và CCDV,2023,416023572.0,2025-04-12
SJS,Doanh thu bán hàng và CCDV,2023,416023572.0,2025-04-12
SJS,Doanh thu bán hàng và CCDV,2024,646014829.0,2025-04-12
SJS,Giá vốn hàng bán,2022,324093579.0,2025-04-12
SJS,Giá vốn hàng bán,2023,228830861.0,2025-04-12
SJS,Giá vốn hàng bán,2023,228830861.0,2025-04-12
SJS,Giá vốn hàng bán,2024,209298964.0,2025-04-12
SJS,Lợi nhuận gộp về BH và CCDV,2022,55717272.0,2025-04-12
SJS,Lợi nhuận gộp về BH và CCDV,2023,187192711.0,2025-04-12
SJS,Lợi nhuận gộp về BH và CCDV,2023,187192711.0,2025-04-12
SJS,Lợi nhuận gộp về BH và CCDV,2024,436715865.0,2025-04-12
SJS,Lợi nhuận tài chính,2022,-9196158.0,2025-04-12
SJS,Lợi nhuận tài chính,2023,113887876.0,2025-04-12
SJS,Lợi nhuận tài chính,2023,113887876.0,2025-04-12
SJS,Lợi nhuận tài chính,2024,5521034.0,2025-04-12
SJS,Lợi nhuận khác,2022,187995019.0,2025-04-12
SJS,Lợi nhuận khác,2023,1135269.0,2025-04-12
SJS,Lợi nhuận khác,2023,1135269.0,2025-04-12
SJS,Lợi nhuận khác,2024,-16567487.0,2025-04-12
SJS,Tổng lợi nhuận trước thuế,2022,176351077.0,2025-04-12
SJS,Tổng lợi nhuận trước thuế,2023,252612833.0,2025-04-12
SJS,Tổng lợi nhuận trước thuế,2023,252612833.0,2025-04-12
SJS,Tổng lợi nhuận trước thuế,2024,355629857.0,2025-04-12
SJS,Lợi nhuận sau thuế,2022,120645453.0,2025-04-12
SJS,Lợi nhuận sau thuế,2023,183765582.0,2025-04-12
SJS,Lợi nhuận sau thuế,2023,183765582.0,2025-04-12
SJS,Lợi nhuận sau thuế,2024,269389740.0,2025-04-12
SJS,Lợi nhuận sau thuế của công ty mẹ,2022,119686330.0,2025-04-12
SJS,Lợi nhuận sau thuế của công ty mẹ,2023,185337122.0,2025-04-12
SJS,Lợi nhuận sau thuế của công ty mẹ,2023,185337122.0,2025-04-12
SJS,Lợi nhuận sau thuế của công ty mẹ,2024,268508052.0,2025-04-12
SJS,Tổng tài sản lưu động ngắn hạn,2022,4029801941.0,2025-04-12
SJS,Tổng tài sản lưu động ngắn hạn,2023,4749599419.0,2025-04-12
SJS,Tổng tài sản lưu động ngắn hạn,2023,4749599419.0,2025-04-12
SJS,Tổng tài sản lưu động ngắn hạn,2024,5038895124.0,2025-04-12
SJS,Tổng tài sản,2022,6779527701.0,2025-04-12
SJS,Tổng tài sản,2023,7473978855.0,2025-04-12
SJS,Tổng tài sản,2023,7473978855.0,2025-04-12
SJS,Tổng tài sản,2024,7844262549.0,2025-04-12
SJS,Nợ ngắn hạn,2022,3375367237.0,2025-04-12
SJS,Nợ ngắn hạn,2023,3057764278.0,2025-04-12
SJS,Nợ ngắn hạn,2023,3057764278.0,2025-04-12
SJS,Nợ ngắn hạn,2024,2257149728.0,2025-04-12
SJS,Tổng nợ,2022,4204085157.0,2025-04-12
SJS,Tổng nợ,2023,4712392280.0,2025-04-12
SJS,Tổng nợ,2023,4712392280.0,2025-04-12
SJS,Tổng nợ,2024,4850384833.0,2025-04-12
SJS,Vốn chủ sở hữu,2022,2575442543.0,2025-04-12
SJS,Vốn chủ sở hữu,2023,2761586576.0,2025-04-12
SJS,Vốn chủ sở hữu,2023,2761586576.0,2025-04-12
SJS,Vốn chủ sở hữu,2024,2993877716.0,2025-04-12
