symbol,metric,year,value,crawled_date
SKG,Doanh thu bán hàng và CCDV,2021,167159109.0,2025-04-12
SKG,Doanh thu bán hàng và CCDV,2022,409849711.0,2025-04-12
SKG,Doanh thu bán hàng và CCDV,2023,409409403.0,2025-04-12
SKG,Doanh thu bán hàng và CCDV,2024,381114193.0,2025-04-12
SKG,Giá vốn hàng bán,2021,179548185.0,2025-04-12
SKG,Giá vốn hàng bán,2022,314361072.0,2025-04-12
SKG,Giá vốn hàng bán,2023,289319731.0,2025-04-12
SKG,Giá vốn hàng bán,2024,294049832.0,2025-04-12
SKG,Lợi nhuận gộp về BH và CCDV,2021,-12389076.0,2025-04-12
SKG,Lợi nhuận gộp về BH và CCDV,2022,95488639.0,2025-04-12
SKG,Lợi nhuận gộp về BH và CCDV,2023,120089672.0,2025-04-12
SKG,Lợi nhuận gộp về BH và CCDV,2024,87064361.0,2025-04-12
SKG,Lợi nhuận tài chính,2021,8111278.0,2025-04-12
SKG,Lợi nhuận tài chính,2022,8508589.0,2025-04-12
SKG,Lợi nhuận tài chính,2023,17335768.0,2025-04-12
SKG,Lợi nhuận tài chính,2024,12434448.0,2025-04-12
SKG,Lợi nhuận khác,2021,1181697.0,2025-04-12
SKG,Lợi nhuận khác,2022,749715.0,2025-04-12
SKG,Lợi nhuận khác,2023,5640013.0,2025-04-12
SKG,Lợi nhuận khác,2024,1760314.0,2025-04-12
SKG,Tổng lợi nhuận trước thuế,2021,-38539403.0,2025-04-12
SKG,Tổng lợi nhuận trước thuế,2022,47906761.0,2025-04-12
SKG,Tổng lợi nhuận trước thuế,2023,82547118.0,2025-04-12
SKG,Tổng lợi nhuận trước thuế,2024,41359684.0,2025-04-12
SKG,Lợi nhuận sau thuế,2021,-38539403.0,2025-04-12
SKG,Lợi nhuận sau thuế,2022,42977071.0,2025-04-12
SKG,Lợi nhuận sau thuế,2023,69710779.0,2025-04-12
SKG,Lợi nhuận sau thuế,2024,33974610.0,2025-04-12
SKG,Lợi nhuận sau thuế của công ty mẹ,2021,-38539403.0,2025-04-12
SKG,Lợi nhuận sau thuế của công ty mẹ,2022,42977071.0,2025-04-12
SKG,Lợi nhuận sau thuế của công ty mẹ,2023,69710779.0,2025-04-12
SKG,Lợi nhuận sau thuế của công ty mẹ,2024,33974610.0,2025-04-12
SKG,Tổng tài sản lưu động ngắn hạn,2021,286900621.0,2025-04-12
SKG,Tổng tài sản lưu động ngắn hạn,2022,407839784.0,2025-04-12
SKG,Tổng tài sản lưu động ngắn hạn,2023,549294423.0,2025-04-12
SKG,Tổng tài sản lưu động ngắn hạn,2024,493279525.0,2025-04-12
SKG,Tổng tài sản,2021,811532609.0,2025-04-12
SKG,Tổng tài sản,2022,857093329.0,2025-04-12
SKG,Tổng tài sản,2023,897399839.0,2025-04-12
SKG,Tổng tài sản,2024,898722136.0,2025-04-12
SKG,Nợ ngắn hạn,2021,10527485.0,2025-04-12
SKG,Nợ ngắn hạn,2022,13111133.0,2025-04-12
SKG,Nợ ngắn hạn,2023,15312733.0,2025-04-12
SKG,Nợ ngắn hạn,2024,14326287.0,2025-04-12
SKG,Tổng nợ,2021,10527485.0,2025-04-12
SKG,Tổng nợ,2022,13111133.0,2025-04-12
SKG,Tổng nợ,2023,15372733.0,2025-04-12
SKG,Tổng nợ,2024,14386287.0,2025-04-12
SKG,Vốn chủ sở hữu,2021,801005125.0,2025-04-12
SKG,Vốn chủ sở hữu,2022,843982195.0,2025-04-12
SKG,Vốn chủ sở hữu,2023,882027107.0,2025-04-12
SKG,Vốn chủ sở hữu,2024,884335850.0,2025-04-12
