symbol,metric,year,value,crawled_date
SNC,Doanh thu bán hàng và CCDV,2022,529572822.0,2025-04-12
SNC,Doanh thu bán hàng và CCDV,2023,512195453.0,2025-04-12
SNC,Doanh thu bán hàng và CCDV,2023,512195453.0,2025-04-12
SNC,Doanh thu bán hàng và CCDV,2024,478236078.0,2025-04-12
SNC,Giá vốn hàng bán,2022,475263332.0,2025-04-12
SNC,Giá vốn hàng bán,2023,451270251.0,2025-04-12
SNC,Giá vốn hàng bán,2023,451270251.0,2025-04-12
SNC,Giá vốn hàng bán,2024,421645469.0,2025-04-12
SNC,Lợi nhuận gộp về BH và CCDV,2022,54309490.0,2025-04-12
SNC,Lợi nhuận gộp về BH và CCDV,2023,60925202.0,2025-04-12
SNC,Lợi nhuận gộp về BH và CCDV,2023,60925202.0,2025-04-12
SNC,Lợi nhuận gộp về BH và CCDV,2024,56590609.0,2025-04-12
SNC,Lợi nhuận tài chính,2022,-4296602.0,2025-04-12
SNC,Lợi nhuận tài chính,2023,-4919772.0,2025-04-12
SNC,Lợi nhuận tài chính,2023,-4919772.0,2025-04-12
SNC,Lợi nhuận tài chính,2024,-4877843.0,2025-04-12
SNC,Lợi nhuận khác,2022,626691.0,2025-04-12
SNC,Lợi nhuận khác,2023,-275943.0,2025-04-12
SNC,Lợi nhuận khác,2023,-275943.0,2025-04-12
SNC,Lợi nhuận khác,2024,998183.0,2025-04-12
SNC,Tổng lợi nhuận trước thuế,2022,10604722.0,2025-04-12
SNC,Tổng lợi nhuận trước thuế,2023,16886621.0,2025-04-12
SNC,Tổng lợi nhuận trước thuế,2023,16886621.0,2025-04-12
SNC,Tổng lợi nhuận trước thuế,2024,15902040.0,2025-04-12
SNC,Lợi nhuận sau thuế,2022,10557912.0,2025-04-12
SNC,Lợi nhuận sau thuế,2023,16646122.0,2025-04-12
SNC,Lợi nhuận sau thuế,2023,16646122.0,2025-04-12
SNC,Lợi nhuận sau thuế,2024,15029219.0,2025-04-12
SNC,Lợi nhuận sau thuế của công ty mẹ,2022,10557912.0,2025-04-12
SNC,Lợi nhuận sau thuế của công ty mẹ,2023,16646122.0,2025-04-12
SNC,Lợi nhuận sau thuế của công ty mẹ,2023,16646122.0,2025-04-12
SNC,Lợi nhuận sau thuế của công ty mẹ,2024,15029219.0,2025-04-12
SNC,Tổng tài sản lưu động ngắn hạn,2022,150037190.0,2025-04-12
SNC,Tổng tài sản lưu động ngắn hạn,2023,174346516.0,2025-04-12
SNC,Tổng tài sản lưu động ngắn hạn,2023,174346516.0,2025-04-12
SNC,Tổng tài sản lưu động ngắn hạn,2024,105830155.0,2025-04-12
SNC,Tổng tài sản,2022,200869835.0,2025-04-12
SNC,Tổng tài sản,2023,222973013.0,2025-04-12
SNC,Tổng tài sản,2023,222973013.0,2025-04-12
SNC,Tổng tài sản,2024,151036408.0,2025-04-12
SNC,Nợ ngắn hạn,2022,109382315.0,2025-04-12
SNC,Nợ ngắn hạn,2023,126275450.0,2025-04-12
SNC,Nợ ngắn hạn,2023,126275450.0,2025-04-12
SNC,Nợ ngắn hạn,2024,53801485.0,2025-04-12
SNC,Tổng nợ,2022,114196050.0,2025-04-12
SNC,Tổng nợ,2023,127315580.0,2025-04-12
SNC,Tổng nợ,2023,127315580.0,2025-04-12
SNC,Tổng nợ,2024,53801485.0,2025-04-12
SNC,Vốn chủ sở hữu,2022,86673785.0,2025-04-12
SNC,Vốn chủ sở hữu,2023,95657434.0,2025-04-12
SNC,Vốn chủ sở hữu,2023,95657434.0,2025-04-12
SNC,Vốn chủ sở hữu,2024,97234923.0,2025-04-12
