symbol,metric,year,value,crawled_date
SVG,Doanh thu bán hàng và CCDV,2021,314551171.0,2025-04-12
SVG,Doanh thu bán hàng và CCDV,2022,273825264.0,2025-04-12
SVG,Doanh thu bán hàng và CCDV,2023,236261143.0,2025-04-12
SVG,Doanh thu bán hàng và CCDV,2024,237444365.0,2025-04-12
SVG,Giá vốn hàng bán,2021,259523751.0,2025-04-12
SVG,Giá vốn hàng bán,2022,223779756.0,2025-04-12
SVG,Giá vốn hàng bán,2023,199038066.0,2025-04-12
SVG,Giá vốn hàng bán,2024,204302231.0,2025-04-12
SVG,Lợi nhuận gộp về BH và CCDV,2021,54838949.0,2025-04-12
SVG,Lợi nhuận gộp về BH và CCDV,2022,49454163.0,2025-04-12
SVG,Lợi nhuận gộp về BH và CCDV,2023,37174977.0,2025-04-12
SVG,Lợi nhuận gộp về BH và CCDV,2024,33139528.0,2025-04-12
SVG,Lợi nhuận tài chính,2021,-9056088.0,2025-04-12
SVG,Lợi nhuận tài chính,2022,-9868108.0,2025-04-12
SVG,Lợi nhuận tài chính,2023,-8326111.0,2025-04-12
SVG,Lợi nhuận tài chính,2024,-5396776.0,2025-04-12
SVG,Lợi nhuận khác,2021,572692.0,2025-04-12
SVG,Lợi nhuận khác,2022,853256.0,2025-04-12
SVG,Lợi nhuận khác,2023,510135.0,2025-04-12
SVG,Lợi nhuận khác,2024,2452091.0,2025-04-12
SVG,Tổng lợi nhuận trước thuế,2021,4578521.0,2025-04-12
SVG,Tổng lợi nhuận trước thuế,2022,3965078.0,2025-04-12
SVG,Tổng lợi nhuận trước thuế,2023,259072.0,2025-04-12
SVG,Tổng lợi nhuận trước thuế,2024,1020332.0,2025-04-12
SVG,Lợi nhuận sau thuế,2021,3575871.0,2025-04-12
SVG,Lợi nhuận sau thuế,2022,3044303.0,2025-04-12
SVG,Lợi nhuận sau thuế,2023,118133.0,2025-04-12
SVG,Lợi nhuận sau thuế,2024,715777.0,2025-04-12
SVG,Lợi nhuận sau thuế của công ty mẹ,2021,3575871.0,2025-04-12
SVG,Lợi nhuận sau thuế của công ty mẹ,2022,3044303.0,2025-04-12
SVG,Lợi nhuận sau thuế của công ty mẹ,2023,118133.0,2025-04-12
SVG,Lợi nhuận sau thuế của công ty mẹ,2024,715777.0,2025-04-12
SVG,Tổng tài sản lưu động ngắn hạn,2021,162313460.0,2025-04-12
SVG,Tổng tài sản lưu động ngắn hạn,2022,139194851.0,2025-04-12
SVG,Tổng tài sản lưu động ngắn hạn,2023,134148445.0,2025-04-12
SVG,Tổng tài sản lưu động ngắn hạn,2024,122268869.0,2025-04-12
SVG,Tổng tài sản,2021,480514051.0,2025-04-12
SVG,Tổng tài sản,2022,447194981.0,2025-04-12
SVG,Tổng tài sản,2023,417963674.0,2025-04-12
SVG,Tổng tài sản,2024,391061285.0,2025-04-12
SVG,Nợ ngắn hạn,2021,148962630.0,2025-04-12
SVG,Nợ ngắn hạn,2022,114034678.0,2025-04-12
SVG,Nợ ngắn hạn,2023,93605640.0,2025-04-12
SVG,Nợ ngắn hạn,2024,68168404.0,2025-04-12
SVG,Tổng nợ,2021,177798549.0,2025-04-12
SVG,Tổng nợ,2022,142044639.0,2025-04-12
SVG,Tổng nợ,2023,114971775.0,2025-04-12
SVG,Tổng nợ,2024,87353609.0,2025-04-12
SVG,Vốn chủ sở hữu,2021,302715502.0,2025-04-12
SVG,Vốn chủ sở hữu,2022,305150341.0,2025-04-12
SVG,Vốn chủ sở hữu,2023,302991898.0,2025-04-12
SVG,Vốn chủ sở hữu,2024,303707675.0,2025-04-12
