symbol,metric,year,value,crawled_date
SZG,Doanh thu bán hàng và CCDV,2021,317754784.0,2025-04-12
SZG,Doanh thu bán hàng và CCDV,2022,365110060.0,2025-04-12
SZG,Doanh thu bán hàng và CCDV,2023,425252010.0,2025-04-12
SZG,Doanh thu bán hàng và CCDV,2024,439780982.0,2025-04-12
SZG,Giá vốn hàng bán,2021,168908689.0,2025-04-12
SZG,Giá vốn hàng bán,2022,172418828.0,2025-04-12
SZG,Giá vốn hàng bán,2023,167026255.0,2025-04-12
SZG,Giá vốn hàng bán,2024,177333631.0,2025-04-12
SZG,Lợi nhuận gộp về BH và CCDV,2021,148846095.0,2025-04-12
SZG,Lợi nhuận gộp về BH và CCDV,2022,192691232.0,2025-04-12
SZG,Lợi nhuận gộp về BH và CCDV,2023,258225755.0,2025-04-12
SZG,Lợi nhuận gộp về BH và CCDV,2024,262447351.0,2025-04-12
SZG,Lợi nhuận tài chính,2021,-27059416.0,2025-04-12
SZG,Lợi nhuận tài chính,2022,7839400.0,2025-04-12
SZG,Lợi nhuận tài chính,2023,6885166.0,2025-04-12
SZG,Lợi nhuận tài chính,2024,22395886.0,2025-04-12
SZG,Lợi nhuận khác,2021,-2178075.0,2025-04-12
SZG,Lợi nhuận khác,2022,433109.0,2025-04-12
SZG,Lợi nhuận khác,2023,8415935.0,2025-04-12
SZG,Lợi nhuận khác,2024,150267.0,2025-04-12
SZG,Tổng lợi nhuận trước thuế,2021,73080334.0,2025-04-12
SZG,Tổng lợi nhuận trước thuế,2022,137516994.0,2025-04-12
SZG,Tổng lợi nhuận trước thuế,2023,236275357.0,2025-04-12
SZG,Tổng lợi nhuận trước thuế,2024,229163378.0,2025-04-12
SZG,Lợi nhuận sau thuế,2021,58029570.0,2025-04-12
SZG,Lợi nhuận sau thuế,2022,110586457.0,2025-04-12
SZG,Lợi nhuận sau thuế,2023,189731958.0,2025-04-12
SZG,Lợi nhuận sau thuế,2024,184865290.0,2025-04-12
SZG,Lợi nhuận sau thuế của công ty mẹ,2021,58029570.0,2025-04-12
SZG,Lợi nhuận sau thuế của công ty mẹ,2022,110586457.0,2025-04-12
SZG,Lợi nhuận sau thuế của công ty mẹ,2023,189731958.0,2025-04-12
SZG,Lợi nhuận sau thuế của công ty mẹ,2024,184865290.0,2025-04-12
SZG,Tổng tài sản lưu động ngắn hạn,2021,1615233246.0,2025-04-12
SZG,Tổng tài sản lưu động ngắn hạn,2022,1495627123.0,2025-04-12
SZG,Tổng tài sản lưu động ngắn hạn,2023,1446875970.0,2025-04-12
SZG,Tổng tài sản lưu động ngắn hạn,2024,1774235114.0,2025-04-12
SZG,Tổng tài sản,2021,3795237736.0,2025-04-12
SZG,Tổng tài sản,2022,3675543801.0,2025-04-12
SZG,Tổng tài sản,2023,3689844011.0,2025-04-12
SZG,Tổng tài sản,2024,3919075407.0,2025-04-12
SZG,Nợ ngắn hạn,2021,333465484.0,2025-04-12
SZG,Nợ ngắn hạn,2022,302978572.0,2025-04-12
SZG,Nợ ngắn hạn,2023,359791392.0,2025-04-12
SZG,Nợ ngắn hạn,2024,213194774.0,2025-04-12
SZG,Tổng nợ,2021,3148408159.0,2025-04-12
SZG,Tổng nợ,2022,3005091815.0,2025-04-12
SZG,Tổng nợ,2023,2900182299.0,2025-04-12
SZG,Tổng nợ,2024,3011430271.0,2025-04-12
SZG,Vốn chủ sở hữu,2021,646829577.0,2025-04-12
SZG,Vốn chủ sở hữu,2022,670451986.0,2025-04-12
SZG,Vốn chủ sở hữu,2023,789661713.0,2025-04-12
SZG,Vốn chủ sở hữu,2024,907645136.0,2025-04-12
