symbol,metric,year,value,crawled_date
SZL,Doanh thu bán hàng và CCDV,2021,387810424.0,2025-04-12
SZL,Doanh thu bán hàng và CCDV,2022,410399350.0,2025-04-12
SZL,Doanh thu bán hàng và CCDV,2023,441070578.0,2025-04-12
SZL,Doanh thu bán hàng và CCDV,2024,488191876.0,2025-04-12
SZL,Giá vốn hàng bán,2021,249325269.0,2025-04-12
SZL,Giá vốn hàng bán,2022,276083916.0,2025-04-12
SZL,Giá vốn hàng bán,2023,288516716.0,2025-04-12
SZL,Giá vốn hàng bán,2024,326265122.0,2025-04-12
SZL,Lợi nhuận gộp về BH và CCDV,2021,138485154.0,2025-04-12
SZL,Lợi nhuận gộp về BH và CCDV,2022,134315434.0,2025-04-12
SZL,Lợi nhuận gộp về BH và CCDV,2023,152553862.0,2025-04-12
SZL,Lợi nhuận gộp về BH và CCDV,2024,161926754.0,2025-04-12
SZL,Lợi nhuận tài chính,2021,26913016.0,2025-04-12
SZL,Lợi nhuận tài chính,2022,30806014.0,2025-04-12
SZL,Lợi nhuận tài chính,2023,22347144.0,2025-04-12
SZL,Lợi nhuận tài chính,2024,20869860.0,2025-04-12
SZL,Lợi nhuận khác,2021,1304237.0,2025-04-12
SZL,Lợi nhuận khác,2022,1094814.0,2025-04-12
SZL,Lợi nhuận khác,2023,3109479.0,2025-04-12
SZL,Lợi nhuận khác,2024,-7173441.0,2025-04-12
SZL,Tổng lợi nhuận trước thuế,2021,123481014.0,2025-04-12
SZL,Tổng lợi nhuận trước thuế,2022,118891757.0,2025-04-12
SZL,Tổng lợi nhuận trước thuế,2023,127990677.0,2025-04-12
SZL,Tổng lợi nhuận trước thuế,2024,126363540.0,2025-04-12
SZL,Lợi nhuận sau thuế,2021,101123215.0,2025-04-12
SZL,Lợi nhuận sau thuế,2022,99236310.0,2025-04-12
SZL,Lợi nhuận sau thuế,2023,103593525.0,2025-04-12
SZL,Lợi nhuận sau thuế,2024,104572312.0,2025-04-12
SZL,Lợi nhuận sau thuế của công ty mẹ,2021,101123215.0,2025-04-12
SZL,Lợi nhuận sau thuế của công ty mẹ,2022,99236310.0,2025-04-12
SZL,Lợi nhuận sau thuế của công ty mẹ,2023,103593525.0,2025-04-12
SZL,Lợi nhuận sau thuế của công ty mẹ,2024,104572312.0,2025-04-12
SZL,Tổng tài sản lưu động ngắn hạn,2021,370220822.0,2025-04-12
SZL,Tổng tài sản lưu động ngắn hạn,2022,497603982.0,2025-04-12
SZL,Tổng tài sản lưu động ngắn hạn,2023,423844122.0,2025-04-12
SZL,Tổng tài sản lưu động ngắn hạn,2024,277676242.0,2025-04-12
SZL,Tổng tài sản,2021,1689862348.0,2025-04-12
SZL,Tổng tài sản,2022,1968215710.0,2025-04-12
SZL,Tổng tài sản,2023,1915570087.0,2025-04-12
SZL,Tổng tài sản,2024,1885915396.0,2025-04-12
SZL,Nợ ngắn hạn,2021,130556513.0,2025-04-12
SZL,Nợ ngắn hạn,2022,170649149.0,2025-04-12
SZL,Nợ ngắn hạn,2023,182949596.0,2025-04-12
SZL,Nợ ngắn hạn,2024,205204026.0,2025-04-12
SZL,Tổng nợ,2021,1097431475.0,2025-04-12
SZL,Tổng nợ,2022,1374398340.0,2025-04-12
SZL,Tổng nợ,2023,1294943603.0,2025-04-12
SZL,Tổng nợ,2024,1255805328.0,2025-04-12
SZL,Vốn chủ sở hữu,2021,592430873.0,2025-04-12
SZL,Vốn chủ sở hữu,2022,593817370.0,2025-04-12
SZL,Vốn chủ sở hữu,2023,620626484.0,2025-04-12
SZL,Vốn chủ sở hữu,2024,630110068.0,2025-04-12
