symbol,metric,year,value,crawled_date
TAR,Doanh thu bán hàng và CCDV,2021,3122416498.0,2025-04-12
TAR,Doanh thu bán hàng và CCDV,2022,3798072933.0,2025-04-12
TAR,Doanh thu bán hàng và CCDV,2023,4511745623.0,2025-04-12
TAR,Doanh thu bán hàng và CCDV,2024,4235655717.0,2025-04-12
TAR,Giá vốn hàng bán,2021,2831312727.0,2025-04-12
TAR,Giá vốn hàng bán,2022,3519464855.0,2025-04-12
TAR,Giá vốn hàng bán,2023,4274065197.0,2025-04-12
TAR,Giá vốn hàng bán,2024,4122291555.0,2025-04-12
TAR,Lợi nhuận gộp về BH và CCDV,2021,288928049.0,2025-04-12
TAR,Lợi nhuận gộp về BH và CCDV,2022,278555090.0,2025-04-12
TAR,Lợi nhuận gộp về BH và CCDV,2023,210680426.0,2025-04-12
TAR,Lợi nhuận gộp về BH và CCDV,2024,113346737.0,2025-04-12
TAR,Lợi nhuận tài chính,2021,-67863665.0,2025-04-12
TAR,Lợi nhuận tài chính,2022,-79918837.0,2025-04-12
TAR,Lợi nhuận tài chính,2023,-113301236.0,2025-04-12
TAR,Lợi nhuận tài chính,2024,-120704878.0,2025-04-12
TAR,Lợi nhuận khác,2021,6661948.0,2025-04-12
TAR,Lợi nhuận khác,2022,5891786.0,2025-04-12
TAR,Lợi nhuận khác,2023,1177052.0,2025-04-12
TAR,Lợi nhuận khác,2024,17856981.0,2025-04-12
TAR,Tổng lợi nhuận trước thuế,2021,108972934.0,2025-04-12
TAR,Tổng lợi nhuận trước thuế,2022,85720811.0,2025-04-12
TAR,Tổng lợi nhuận trước thuế,2023,-10261246.0,2025-04-12
TAR,Tổng lợi nhuận trước thuế,2024,-47422766.0,2025-04-12
TAR,Lợi nhuận sau thuế,2021,96733287.0,2025-04-12
TAR,Lợi nhuận sau thuế,2022,75219287.0,2025-04-12
TAR,Lợi nhuận sau thuế,2023,-15562013.0,2025-04-12
TAR,Lợi nhuận sau thuế,2024,-58146923.0,2025-04-12
TAR,Lợi nhuận sau thuế của công ty mẹ,2021,88692166.0,2025-04-12
TAR,Lợi nhuận sau thuế của công ty mẹ,2022,68201484.0,2025-04-12
TAR,Lợi nhuận sau thuế của công ty mẹ,2023,-15795629.0,2025-04-12
TAR,Lợi nhuận sau thuế của công ty mẹ,2024,-57869104.0,2025-04-12
TAR,Tổng tài sản lưu động ngắn hạn,2021,1411198529.0,2025-04-12
TAR,Tổng tài sản lưu động ngắn hạn,2022,2077607643.0,2025-04-12
TAR,Tổng tài sản lưu động ngắn hạn,2023,2193899592.0,2025-04-12
TAR,Tổng tài sản lưu động ngắn hạn,2024,2008513957.0,2025-04-12
TAR,Tổng tài sản,2021,2000830027.0,2025-04-12
TAR,Tổng tài sản,2022,2793132650.0,2025-04-12
TAR,Tổng tài sản,2023,2993982546.0,2025-04-12
TAR,Tổng tài sản,2024,2614397406.0,2025-04-12
TAR,Nợ ngắn hạn,2021,1295496551.0,2025-04-12
TAR,Nợ ngắn hạn,2022,1574767299.0,2025-04-12
TAR,Nợ ngắn hạn,2023,1806156081.0,2025-04-12
TAR,Nợ ngắn hạn,2024,1416846540.0,2025-04-12
TAR,Tổng nợ,2021,1316315216.0,2025-04-12
TAR,Tổng nợ,2022,1588867551.0,2025-04-12
TAR,Tổng nợ,2023,1815569460.0,2025-04-12
TAR,Tổng nợ,2024,1422334243.0,2025-04-12
TAR,Vốn chủ sở hữu,2021,684514812.0,2025-04-12
TAR,Vốn chủ sở hữu,2022,1204265099.0,2025-04-12
TAR,Vốn chủ sở hữu,2023,1178413086.0,2025-04-12
TAR,Vốn chủ sở hữu,2024,1192063163.0,2025-04-12
