symbol,metric,year,value,crawled_date
TDC,Doanh thu bán hàng và CCDV,2021,1685160077.0,2025-04-12
TDC,Doanh thu bán hàng và CCDV,2022,2500285149.0,2025-04-12
TDC,Doanh thu bán hàng và CCDV,2023,583802824.0,2025-04-12
TDC,Doanh thu bán hàng và CCDV,2024,1194959392.0,2025-04-12
TDC,Giá vốn hàng bán,2021,1064821180.0,2025-04-12
TDC,Giá vốn hàng bán,2022,2081340839.0,2025-04-12
TDC,Giá vốn hàng bán,2023,197347509.0,2025-04-12
TDC,Giá vốn hàng bán,2024,566533888.0,2025-04-12
TDC,Lợi nhuận gộp về BH và CCDV,2021,593386215.0,2025-04-12
TDC,Lợi nhuận gộp về BH và CCDV,2022,406474688.0,2025-04-12
TDC,Lợi nhuận gộp về BH và CCDV,2023,103376438.0,2025-04-12
TDC,Lợi nhuận gộp về BH và CCDV,2024,604038202.0,2025-04-12
TDC,Lợi nhuận tài chính,2021,-154426800.0,2025-04-12
TDC,Lợi nhuận tài chính,2022,-246147433.0,2025-04-12
TDC,Lợi nhuận tài chính,2023,-134565296.0,2025-04-12
TDC,Lợi nhuận tài chính,2024,-34893827.0,2025-04-12
TDC,Lợi nhuận khác,2021,-123954185.0,2025-04-12
TDC,Lợi nhuận khác,2022,55220836.0,2025-04-12
TDC,Lợi nhuận khác,2023,-240853222.0,2025-04-12
TDC,Lợi nhuận khác,2024,1280270.0,2025-04-12
TDC,Tổng lợi nhuận trước thuế,2021,174464767.0,2025-04-12
TDC,Tổng lợi nhuận trước thuế,2022,85094380.0,2025-04-12
TDC,Tổng lợi nhuận trước thuế,2023,-401403298.0,2025-04-12
TDC,Tổng lợi nhuận trước thuế,2024,431120602.0,2025-04-12
TDC,Lợi nhuận sau thuế,2021,124382543.0,2025-04-12
TDC,Lợi nhuận sau thuế,2022,34721831.0,2025-04-12
TDC,Lợi nhuận sau thuế,2023,-402796465.0,2025-04-12
TDC,Lợi nhuận sau thuế,2024,417469164.0,2025-04-12
TDC,Lợi nhuận sau thuế của công ty mẹ,2021,120773236.0,2025-04-12
TDC,Lợi nhuận sau thuế của công ty mẹ,2022,30102852.0,2025-04-12
TDC,Lợi nhuận sau thuế của công ty mẹ,2023,-402816427.0,2025-04-12
TDC,Lợi nhuận sau thuế của công ty mẹ,2024,414952932.0,2025-04-12
TDC,Tổng tài sản lưu động ngắn hạn,2021,2527867493.0,2025-04-12
TDC,Tổng tài sản lưu động ngắn hạn,2022,1495283466.0,2025-04-12
TDC,Tổng tài sản lưu động ngắn hạn,2023,798945279.0,2025-04-12
TDC,Tổng tài sản lưu động ngắn hạn,2024,1812643858.0,2025-04-12
TDC,Tổng tài sản,2021,5239796338.0,2025-04-12
TDC,Tổng tài sản,2022,3839437191.0,2025-04-12
TDC,Tổng tài sản,2023,3610466991.0,2025-04-12
TDC,Tổng tài sản,2024,4411058948.0,2025-04-12
TDC,Nợ ngắn hạn,2021,3149325643.0,2025-04-12
TDC,Nợ ngắn hạn,2022,1920485760.0,2025-04-12
TDC,Nợ ngắn hạn,2023,2130115789.0,2025-04-12
TDC,Nợ ngắn hạn,2024,3006280508.0,2025-04-12
TDC,Tổng nợ,2021,3959710612.0,2025-04-12
TDC,Tổng nợ,2022,2617975889.0,2025-04-12
TDC,Tổng nợ,2023,2819970291.0,2025-04-12
TDC,Tổng nợ,2024,3201815598.0,2025-04-12
TDC,Vốn chủ sở hữu,2021,1280085726.0,2025-04-12
TDC,Vốn chủ sở hữu,2022,1221461302.0,2025-04-12
TDC,Vốn chủ sở hữu,2023,790496700.0,2025-04-12
TDC,Vốn chủ sở hữu,2024,1209243350.0,2025-04-12
