symbol,metric,year,value,crawled_date
TKR,Doanh thu thuần về BH và cung cấp DV,2015,1664180.0,2025-04-12
TKR,Doanh thu thuần về BH và cung cấp DV,2016,31579081.0,2025-04-12
TKR,Doanh thu thuần về BH và cung cấp DV,2017,111309491.0,2025-04-12
TKR,Doanh thu thuần về BH và cung cấp DV,2018,192858656.0,2025-04-12
TKR,Giá vốn hàng bán,2015,4809314.0,2025-04-12
TKR,Giá vốn hàng bán,2016,25270174.0,2025-04-12
TKR,Giá vốn hàng bán,2017,77270510.0,2025-04-12
TKR,Giá vốn hàng bán,2018,154653923.0,2025-04-12
TKR,Lợi nhuận gộp về BH và cung cấp DV,2015,-3145134.0,2025-04-12
TKR,Lợi nhuận gộp về BH và cung cấp DV,2016,6308907.0,2025-04-12
TKR,Lợi nhuận gộp về BH và cung cấp DV,2017,34038981.0,2025-04-12
TKR,Lợi nhuận gộp về BH và cung cấp DV,2018,38204733.0,2025-04-12
TKR,Lợi nhuận tài chính,2015,-2904608.0,2025-04-12
TKR,Lợi nhuận tài chính,2016,-1004697.0,2025-04-12
TKR,Lợi nhuận tài chính,2017,-9937944.0,2025-04-12
TKR,Lợi nhuận tài chính,2018,-26380095.0,2025-04-12
TKR,Lợi nhuận khác,2015,-167430.0,2025-04-12
TKR,Lợi nhuận khác,2016,66675.0,2025-04-12
TKR,Lợi nhuận khác,2017,-900777.0,2025-04-12
TKR,Lợi nhuận khác,2018,4624.0,2025-04-12
TKR,Tổng lợi nhuận trước thuế,2015,-20156357.0,2025-04-12
TKR,Tổng lợi nhuận trước thuế,2016,-6289583.0,2025-04-12
TKR,Tổng lợi nhuận trước thuế,2017,947964.0,2025-04-12
TKR,Tổng lợi nhuận trước thuế,2018,-27851560.0,2025-04-12
TKR,Lợi nhuận sau thuế,2015,-20172999.0,2025-04-12
TKR,Lợi nhuận sau thuế,2016,-6598691.0,2025-04-12
TKR,Lợi nhuận sau thuế,2017,365173.0,2025-04-12
TKR,Lợi nhuận sau thuế,2018,-27946997.0,2025-04-12
TKR,Lợi nhuận sau thuế của công ty mẹ,2015,-20172999.0,2025-04-12
TKR,Lợi nhuận sau thuế của công ty mẹ,2017,365173.0,2025-04-12
TKR,Tổng tài sản lưu động ngắn hạn,2015,57895678.0,2025-04-12
TKR,Tổng tài sản lưu động ngắn hạn,2016,75422879.0,2025-04-12
TKR,Tổng tài sản lưu động ngắn hạn,2017,87479589.0,2025-04-12
TKR,Tổng tài sản lưu động ngắn hạn,2018,114143500.0,2025-04-12
TKR,Tổng tài sản,2015,1807886742.0,2025-04-12
TKR,Tổng tài sản,2016,1936590266.0,2025-04-12
TKR,Tổng tài sản,2017,2035311815.0,2025-04-12
TKR,Tổng tài sản,2018,2173286348.0,2025-04-12
TKR,Nợ ngắn hạn,2015,53818287.0,2025-04-12
TKR,Nợ ngắn hạn,2016,44687850.0,2025-04-12
TKR,Nợ ngắn hạn,2017,196315335.0,2025-04-12
TKR,Nợ ngắn hạn,2018,136172588.0,2025-04-12
TKR,Tổng nợ,2015,593889277.0,2025-04-12
TKR,Tổng nợ,2016,674238233.0,2025-04-12
TKR,Tổng nợ,2017,706328889.0,2025-04-12
TKR,Tổng nợ,2018,828854275.0,2025-04-12
TKR,Vốn chủ sở hữu,2015,1213997465.0,2025-04-12
TKR,Vốn chủ sở hữu,2016,1262352034.0,2025-04-12
TKR,Vốn chủ sở hữu,2017,1328982926.0,2025-04-12
TKR,Vốn chủ sở hữu,2018,1344432073.0,2025-04-12
