symbol,metric,year,value,crawled_date
TOW,Doanh thu bán hàng và CCDV,2021,64315207.0,2025-04-12
TOW,Doanh thu bán hàng và CCDV,2022,69133860.0,2025-04-12
TOW,Doanh thu bán hàng và CCDV,2023,73335298.0,2025-04-12
TOW,Doanh thu bán hàng và CCDV,2024,103172465.0,2025-04-12
TOW,Giá vốn hàng bán,2021,33281288.0,2025-04-12
TOW,Giá vốn hàng bán,2022,35869829.0,2025-04-12
TOW,Giá vốn hàng bán,2023,38407833.0,2025-04-12
TOW,Giá vốn hàng bán,2024,42580128.0,2025-04-12
TOW,Lợi nhuận gộp về BH và CCDV,2021,31033919.0,2025-04-12
TOW,Lợi nhuận gộp về BH và CCDV,2022,33264031.0,2025-04-12
TOW,Lợi nhuận gộp về BH và CCDV,2023,34927465.0,2025-04-12
TOW,Lợi nhuận gộp về BH và CCDV,2024,60592337.0,2025-04-12
TOW,Lợi nhuận tài chính,2021,-996504.0,2025-04-12
TOW,Lợi nhuận tài chính,2022,-713743.0,2025-04-12
TOW,Lợi nhuận tài chính,2023,-749511.0,2025-04-12
TOW,Lợi nhuận tài chính,2024,-779155.0,2025-04-12
TOW,Lợi nhuận khác,2021,-524830.0,2025-04-12
TOW,Lợi nhuận khác,2022,-201164.0,2025-04-12
TOW,Lợi nhuận khác,2023,-71756.0,2025-04-12
TOW,Lợi nhuận khác,2024,319281.0,2025-04-12
TOW,Tổng lợi nhuận trước thuế,2021,21018200.0,2025-04-12
TOW,Tổng lợi nhuận trước thuế,2022,22105755.0,2025-04-12
TOW,Tổng lợi nhuận trước thuế,2023,23216900.0,2025-04-12
TOW,Tổng lợi nhuận trước thuế,2024,46995683.0,2025-04-12
TOW,Lợi nhuận sau thuế,2021,18814786.0,2025-04-12
TOW,Lợi nhuận sau thuế,2022,15458969.0,2025-04-12
TOW,Lợi nhuận sau thuế,2023,18502992.0,2025-04-12
TOW,Lợi nhuận sau thuế,2024,37492085.0,2025-04-12
TOW,Lợi nhuận sau thuế của công ty mẹ,2021,18814786.0,2025-04-12
TOW,Lợi nhuận sau thuế của công ty mẹ,2022,15458969.0,2025-04-12
TOW,Lợi nhuận sau thuế của công ty mẹ,2023,18502992.0,2025-04-12
TOW,Lợi nhuận sau thuế của công ty mẹ,2024,37492085.0,2025-04-12
TOW,Tổng tài sản lưu động ngắn hạn,2021,25157595.0,2025-04-12
TOW,Tổng tài sản lưu động ngắn hạn,2022,21373023.0,2025-04-12
TOW,Tổng tài sản lưu động ngắn hạn,2023,10379736.0,2025-04-12
TOW,Tổng tài sản lưu động ngắn hạn,2024,27655365.0,2025-04-12
TOW,Tổng tài sản,2021,177726668.0,2025-04-12
TOW,Tổng tài sản,2022,184358708.0,2025-04-12
TOW,Tổng tài sản,2023,189193021.0,2025-04-12
TOW,Tổng tài sản,2024,206495950.0,2025-04-12
TOW,Nợ ngắn hạn,2021,16363564.0,2025-04-12
TOW,Nợ ngắn hạn,2022,20490040.0,2025-04-12
TOW,Nợ ngắn hạn,2023,18697009.0,2025-04-12
TOW,Nợ ngắn hạn,2024,12849129.0,2025-04-12
TOW,Tổng nợ,2021,24527750.0,2025-04-12
TOW,Tổng nợ,2022,26614173.0,2025-04-12
TOW,Tổng nợ,2023,27266644.0,2025-04-12
TOW,Tổng nợ,2024,19813555.0,2025-04-12
TOW,Vốn chủ sở hữu,2021,153198918.0,2025-04-12
TOW,Vốn chủ sở hữu,2022,157744535.0,2025-04-12
TOW,Vốn chủ sở hữu,2023,161926377.0,2025-04-12
TOW,Vốn chủ sở hữu,2024,186682395.0,2025-04-12
