symbol,metric,year,value,crawled_date
TPH,Doanh thu bán hàng và CCDV,2021,29821771.0,2025-04-12
TPH,Doanh thu bán hàng và CCDV,2022,35637721.0,2025-04-12
TPH,Doanh thu bán hàng và CCDV,2023,42426280.0,2025-04-12
TPH,Doanh thu bán hàng và CCDV,2024,40545435.0,2025-04-12
TPH,Giá vốn hàng bán,2021,22772092.0,2025-04-12
TPH,Giá vốn hàng bán,2022,29729403.0,2025-04-12
TPH,Giá vốn hàng bán,2023,34563245.0,2025-04-12
TPH,Giá vốn hàng bán,2024,32893360.0,2025-04-12
TPH,Lợi nhuận gộp về BH và CCDV,2021,7049679.0,2025-04-12
TPH,Lợi nhuận gộp về BH và CCDV,2022,5908318.0,2025-04-12
TPH,Lợi nhuận gộp về BH và CCDV,2023,7863035.0,2025-04-12
TPH,Lợi nhuận gộp về BH và CCDV,2024,7652075.0,2025-04-12
TPH,Lợi nhuận tài chính,2021,217876.0,2025-04-12
TPH,Lợi nhuận tài chính,2022,203997.0,2025-04-12
TPH,Lợi nhuận tài chính,2023,257687.0,2025-04-12
TPH,Lợi nhuận tài chính,2024,275501.0,2025-04-12
TPH,Lợi nhuận khác,2021,97714.0,2025-04-12
TPH,Lợi nhuận khác,2022,2745202.0,2025-04-12
TPH,Lợi nhuận khác,2023,695877.0,2025-04-12
TPH,Lợi nhuận khác,2024,813723.0,2025-04-12
TPH,Tổng lợi nhuận trước thuế,2021,2002397.0,2025-04-12
TPH,Tổng lợi nhuận trước thuế,2022,2115486.0,2025-04-12
TPH,Tổng lợi nhuận trước thuế,2023,2125486.0,2025-04-12
TPH,Tổng lợi nhuận trước thuế,2024,1778032.0,2025-04-12
TPH,Lợi nhuận sau thuế,2021,1580160.0,2025-04-12
TPH,Lợi nhuận sau thuế,2022,1599548.0,2025-04-12
TPH,Lợi nhuận sau thuế,2023,1657140.0,2025-04-12
TPH,Lợi nhuận sau thuế,2024,1390283.0,2025-04-12
TPH,Lợi nhuận sau thuế của công ty mẹ,2021,1580160.0,2025-04-12
TPH,Lợi nhuận sau thuế của công ty mẹ,2022,1599548.0,2025-04-12
TPH,Lợi nhuận sau thuế của công ty mẹ,2023,1657140.0,2025-04-12
TPH,Lợi nhuận sau thuế của công ty mẹ,2024,1390283.0,2025-04-12
TPH,Tổng tài sản lưu động ngắn hạn,2021,15036781.0,2025-04-12
TPH,Tổng tài sản lưu động ngắn hạn,2022,17200277.0,2025-04-12
TPH,Tổng tài sản lưu động ngắn hạn,2023,17692501.0,2025-04-12
TPH,Tổng tài sản lưu động ngắn hạn,2024,18276414.0,2025-04-12
TPH,Tổng tài sản,2021,47654846.0,2025-04-12
TPH,Tổng tài sản,2022,48165045.0,2025-04-12
TPH,Tổng tài sản,2023,49924507.0,2025-04-12
TPH,Tổng tài sản,2024,50994607.0,2025-04-12
TPH,Nợ ngắn hạn,2021,22179849.0,2025-04-12
TPH,Nợ ngắn hạn,2022,22657690.0,2025-04-12
TPH,Nợ ngắn hạn,2023,24436800.0,2025-04-12
TPH,Nợ ngắn hạn,2024,25749644.0,2025-04-12
TPH,Tổng nợ,2021,22229849.0,2025-04-12
TPH,Tổng nợ,2022,22707690.0,2025-04-12
TPH,Tổng nợ,2023,24486800.0,2025-04-12
TPH,Tổng nợ,2024,25799644.0,2025-04-12
TPH,Vốn chủ sở hữu,2021,25424997.0,2025-04-12
TPH,Vốn chủ sở hữu,2022,25457355.0,2025-04-12
TPH,Vốn chủ sở hữu,2023,25437707.0,2025-04-12
TPH,Vốn chủ sở hữu,2024,25194962.0,2025-04-12
