symbol,metric,year,value,crawled_date
TRS,Doanh thu bán hàng và CCDV,2021,525260455.0,2025-04-12
TRS,Doanh thu bán hàng và CCDV,2022,737006564.0,2025-04-12
TRS,Doanh thu bán hàng và CCDV,2023,1019334582.0,2025-04-12
TRS,Doanh thu bán hàng và CCDV,2024,1080942002.0,2025-04-12
TRS,Giá vốn hàng bán,2021,415198224.0,2025-04-12
TRS,Giá vốn hàng bán,2022,613890026.0,2025-04-12
TRS,Giá vốn hàng bán,2023,879175000.0,2025-04-12
TRS,Giá vốn hàng bán,2024,931844839.0,2025-04-12
TRS,Lợi nhuận gộp về BH và CCDV,2021,104765880.0,2025-04-12
TRS,Lợi nhuận gộp về BH và CCDV,2022,118977560.0,2025-04-12
TRS,Lợi nhuận gộp về BH và CCDV,2023,133117451.0,2025-04-12
TRS,Lợi nhuận gộp về BH và CCDV,2024,145565692.0,2025-04-12
TRS,Lợi nhuận tài chính,2021,568178.0,2025-04-12
TRS,Lợi nhuận tài chính,2022,-4119101.0,2025-04-12
TRS,Lợi nhuận tài chính,2023,-3461882.0,2025-04-12
TRS,Lợi nhuận tài chính,2024,-3290689.0,2025-04-12
TRS,Lợi nhuận khác,2021,61459.0,2025-04-12
TRS,Lợi nhuận khác,2022,4389425.0,2025-04-12
TRS,Lợi nhuận khác,2023,6399502.0,2025-04-12
TRS,Lợi nhuận khác,2024,8272392.0,2025-04-12
TRS,Tổng lợi nhuận trước thuế,2021,19125209.0,2025-04-12
TRS,Tổng lợi nhuận trước thuế,2022,29212480.0,2025-04-12
TRS,Tổng lợi nhuận trước thuế,2023,34747447.0,2025-04-12
TRS,Tổng lợi nhuận trước thuế,2024,44826605.0,2025-04-12
TRS,Lợi nhuận sau thuế,2021,15299688.0,2025-04-12
TRS,Lợi nhuận sau thuế,2022,22915745.0,2025-04-12
TRS,Lợi nhuận sau thuế,2023,27711765.0,2025-04-12
TRS,Lợi nhuận sau thuế,2024,35782017.0,2025-04-12
TRS,Lợi nhuận sau thuế của công ty mẹ,2021,15299688.0,2025-04-12
TRS,Lợi nhuận sau thuế của công ty mẹ,2022,22915745.0,2025-04-12
TRS,Lợi nhuận sau thuế của công ty mẹ,2023,27711765.0,2025-04-12
TRS,Lợi nhuận sau thuế của công ty mẹ,2024,35782017.0,2025-04-12
TRS,Tổng tài sản lưu động ngắn hạn,2021,237011119.0,2025-04-12
TRS,Tổng tài sản lưu động ngắn hạn,2022,249114154.0,2025-04-12
TRS,Tổng tài sản lưu động ngắn hạn,2023,213386223.0,2025-04-12
TRS,Tổng tài sản lưu động ngắn hạn,2024,239428556.0,2025-04-12
TRS,Tổng tài sản,2021,420702922.0,2025-04-12
TRS,Tổng tài sản,2022,430222085.0,2025-04-12
TRS,Tổng tài sản,2023,394809307.0,2025-04-12
TRS,Tổng tài sản,2024,452796100.0,2025-04-12
TRS,Nợ ngắn hạn,2021,199429648.0,2025-04-12
TRS,Nợ ngắn hạn,2022,198978161.0,2025-04-12
TRS,Nợ ngắn hạn,2023,156387657.0,2025-04-12
TRS,Nợ ngắn hạn,2024,171554054.0,2025-04-12
TRS,Tổng nợ,2021,230633236.0,2025-04-12
TRS,Tổng nợ,2022,217236654.0,2025-04-12
TRS,Tổng nợ,2023,160916580.0,2025-04-12
TRS,Tổng nợ,2024,188564875.0,2025-04-12
TRS,Vốn chủ sở hữu,2021,190069686.0,2025-04-12
TRS,Vốn chủ sở hữu,2022,212985431.0,2025-04-12
TRS,Vốn chủ sở hữu,2023,233892727.0,2025-04-12
TRS,Vốn chủ sở hữu,2024,264231224.0,2025-04-12
