symbol,metric,year,value,crawled_date
TS3,Doanh thu bán hàng và CCDV,2021,144812289.0,2025-04-12
TS3,Doanh thu bán hàng và CCDV,2022,108559839.0,2025-04-12
TS3,Doanh thu bán hàng và CCDV,2023,72550947.0,2025-04-12
TS3,Doanh thu bán hàng và CCDV,2023,72550947.0,2025-04-12
TS3,Giá vốn hàng bán,2021,133967506.0,2025-04-12
TS3,Giá vốn hàng bán,2022,95064240.0,2025-04-12
TS3,Giá vốn hàng bán,2023,56425367.0,2025-04-12
TS3,Giá vốn hàng bán,2023,56425367.0,2025-04-12
TS3,Lợi nhuận gộp về BH và CCDV,2021,10704346.0,2025-04-12
TS3,Lợi nhuận gộp về BH và CCDV,2022,13495599.0,2025-04-12
TS3,Lợi nhuận gộp về BH và CCDV,2023,16125581.0,2025-04-12
TS3,Lợi nhuận gộp về BH và CCDV,2023,16125581.0,2025-04-12
TS3,Lợi nhuận tài chính,2021,-2169460.0,2025-04-12
TS3,Lợi nhuận tài chính,2022,-4082497.0,2025-04-12
TS3,Lợi nhuận tài chính,2023,-2628415.0,2025-04-12
TS3,Lợi nhuận tài chính,2023,-2628415.0,2025-04-12
TS3,Lợi nhuận khác,2021,1590025.0,2025-04-12
TS3,Lợi nhuận khác,2022,595153.0,2025-04-12
TS3,Lợi nhuận khác,2023,122773.0,2025-04-12
TS3,Lợi nhuận khác,2023,122773.0,2025-04-12
TS3,Tổng lợi nhuận trước thuế,2021,598161.0,2025-04-12
TS3,Tổng lợi nhuận trước thuế,2022,489966.0,2025-04-12
TS3,Tổng lợi nhuận trước thuế,2023,281860.0,2025-04-12
TS3,Tổng lợi nhuận trước thuế,2023,281860.0,2025-04-12
TS3,Lợi nhuận sau thuế,2021,62563.0,2025-04-12
TS3,Lợi nhuận sau thuế,2022,64438.0,2025-04-12
TS3,Lợi nhuận sau thuế,2023,105931.0,2025-04-12
TS3,Lợi nhuận sau thuế,2023,105931.0,2025-04-12
TS3,Lợi nhuận sau thuế của công ty mẹ,2021,62563.0,2025-04-12
TS3,Lợi nhuận sau thuế của công ty mẹ,2022,64438.0,2025-04-12
TS3,Lợi nhuận sau thuế của công ty mẹ,2023,105931.0,2025-04-12
TS3,Lợi nhuận sau thuế của công ty mẹ,2023,105931.0,2025-04-12
TS3,Tổng tài sản lưu động ngắn hạn,2021,250664146.0,2025-04-12
TS3,Tổng tài sản lưu động ngắn hạn,2022,231709952.0,2025-04-12
TS3,Tổng tài sản lưu động ngắn hạn,2023,236158088.0,2025-04-12
TS3,Tổng tài sản lưu động ngắn hạn,2023,236158088.0,2025-04-12
TS3,Tổng tài sản,2021,303910984.0,2025-04-12
TS3,Tổng tài sản,2022,275262687.0,2025-04-12
TS3,Tổng tài sản,2023,273758350.0,2025-04-12
TS3,Tổng tài sản,2023,273758350.0,2025-04-12
TS3,Nợ ngắn hạn,2021,121188286.0,2025-04-12
TS3,Nợ ngắn hạn,2022,108617728.0,2025-04-12
TS3,Nợ ngắn hạn,2023,84641984.0,2025-04-12
TS3,Nợ ngắn hạn,2023,84641984.0,2025-04-12
TS3,Tổng nợ,2021,263818791.0,2025-04-12
TS3,Tổng nợ,2022,235513237.0,2025-04-12
TS3,Tổng nợ,2023,233966469.0,2025-04-12
TS3,Tổng nợ,2023,233966469.0,2025-04-12
TS3,Vốn chủ sở hữu,2021,40092193.0,2025-04-12
TS3,Vốn chủ sở hữu,2022,39749450.0,2025-04-12
TS3,Vốn chủ sở hữu,2023,39791881.0,2025-04-12
TS3,Vốn chủ sở hữu,2023,39791881.0,2025-04-12
