symbol,metric,year,value,crawled_date
TTE,Doanh thu bán hàng và CCDV,2020,112924336.0,2025-04-12
TTE,Doanh thu bán hàng và CCDV,2021,143283066.0,2025-04-12
TTE,Doanh thu bán hàng và CCDV,2022,153137757.0,2025-04-12
TTE,Doanh thu bán hàng và CCDV,2023,142661692.0,2025-04-12
TTE,Giá vốn hàng bán,2020,66461033.0,2025-04-12
TTE,Giá vốn hàng bán,2021,51562596.0,2025-04-12
TTE,Giá vốn hàng bán,2022,52885366.0,2025-04-12
TTE,Giá vốn hàng bán,2023,54562130.0,2025-04-12
TTE,Lợi nhuận gộp về BH và CCDV,2020,46463303.0,2025-04-12
TTE,Lợi nhuận gộp về BH và CCDV,2021,91720470.0,2025-04-12
TTE,Lợi nhuận gộp về BH và CCDV,2022,100252391.0,2025-04-12
TTE,Lợi nhuận gộp về BH và CCDV,2023,88099561.0,2025-04-12
TTE,Lợi nhuận tài chính,2020,-71013586.0,2025-04-12
TTE,Lợi nhuận tài chính,2021,-61056447.0,2025-04-12
TTE,Lợi nhuận tài chính,2022,-61683451.0,2025-04-12
TTE,Lợi nhuận tài chính,2023,-63615884.0,2025-04-12
TTE,Lợi nhuận khác,2020,-1340414.0,2025-04-12
TTE,Lợi nhuận khác,2021,-173419.0,2025-04-12
TTE,Lợi nhuận khác,2022,-1350516.0,2025-04-12
TTE,Lợi nhuận khác,2023,-460814.0,2025-04-12
TTE,Tổng lợi nhuận trước thuế,2020,-30538531.0,2025-04-12
TTE,Tổng lợi nhuận trước thuế,2021,25713483.0,2025-04-12
TTE,Tổng lợi nhuận trước thuế,2022,26786209.0,2025-04-12
TTE,Tổng lợi nhuận trước thuế,2023,4748311.0,2025-04-12
TTE,Lợi nhuận sau thuế,2020,-32712354.0,2025-04-12
TTE,Lợi nhuận sau thuế,2021,27767900.0,2025-04-12
TTE,Lợi nhuận sau thuế,2022,21801415.0,2025-04-12
TTE,Lợi nhuận sau thuế,2023,-1665559.0,2025-04-12
TTE,Lợi nhuận sau thuế của công ty mẹ,2020,-32295465.0,2025-04-12
TTE,Lợi nhuận sau thuế của công ty mẹ,2021,27456284.0,2025-04-12
TTE,Lợi nhuận sau thuế của công ty mẹ,2022,21500884.0,2025-04-12
TTE,Lợi nhuận sau thuế của công ty mẹ,2023,-1857096.0,2025-04-12
TTE,Tổng tài sản lưu động ngắn hạn,2020,80848806.0,2025-04-12
TTE,Tổng tài sản lưu động ngắn hạn,2021,97796103.0,2025-04-12
TTE,Tổng tài sản lưu động ngắn hạn,2022,83370750.0,2025-04-12
TTE,Tổng tài sản lưu động ngắn hạn,2023,300402430.0,2025-04-12
TTE,Tổng tài sản,2020,945258731.0,2025-04-12
TTE,Tổng tài sản,2021,1098617836.0,2025-04-12
TTE,Tổng tài sản,2022,1336055882.0,2025-04-12
TTE,Tổng tài sản,2023,1250101119.0,2025-04-12
TTE,Nợ ngắn hạn,2020,149030915.0,2025-04-12
TTE,Nợ ngắn hạn,2021,97451171.0,2025-04-12
TTE,Nợ ngắn hạn,2022,129317622.0,2025-04-12
TTE,Nợ ngắn hạn,2023,190235253.0,2025-04-12
TTE,Tổng nợ,2020,674698737.0,2025-04-12
TTE,Tổng nợ,2021,798989942.0,2025-04-12
TTE,Tổng nợ,2022,1014626573.0,2025-04-12
TTE,Tổng nợ,2023,929025124.0,2025-04-12
TTE,Vốn chủ sở hữu,2020,270559994.0,2025-04-12
TTE,Vốn chủ sở hữu,2021,299627894.0,2025-04-12
TTE,Vốn chủ sở hữu,2022,321429309.0,2025-04-12
TTE,Vốn chủ sở hữu,2023,321075995.0,2025-04-12
