symbol,metric,year,value,crawled_date
TTH,Doanh thu bán hàng và CCDV,2021,252043185.0,2025-04-12
TTH,Doanh thu bán hàng và CCDV,2022,462548616.0,2025-04-12
TTH,Doanh thu bán hàng và CCDV,2023,857764962.0,2025-04-12
TTH,Doanh thu bán hàng và CCDV,2024,783143603.0,2025-04-12
TTH,Giá vốn hàng bán,2021,238546777.0,2025-04-12
TTH,Giá vốn hàng bán,2022,453409876.0,2025-04-12
TTH,Giá vốn hàng bán,2023,784916579.0,2025-04-12
TTH,Giá vốn hàng bán,2024,744593726.0,2025-04-12
TTH,Lợi nhuận gộp về BH và CCDV,2021,13496408.0,2025-04-12
TTH,Lợi nhuận gộp về BH và CCDV,2022,9138740.0,2025-04-12
TTH,Lợi nhuận gộp về BH và CCDV,2023,72848384.0,2025-04-12
TTH,Lợi nhuận gộp về BH và CCDV,2024,38549877.0,2025-04-12
TTH,Lợi nhuận tài chính,2021,-8175338.0,2025-04-12
TTH,Lợi nhuận tài chính,2022,881668.0,2025-04-12
TTH,Lợi nhuận tài chính,2023,4252965.0,2025-04-12
TTH,Lợi nhuận tài chính,2024,825823.0,2025-04-12
TTH,Lợi nhuận khác,2021,1199.0,2025-04-12
TTH,Lợi nhuận khác,2022,1200364.0,2025-04-12
TTH,Lợi nhuận khác,2023,-50669.0,2025-04-12
TTH,Lợi nhuận khác,2024,-1530283.0,2025-04-12
TTH,Tổng lợi nhuận trước thuế,2021,722957.0,2025-04-12
TTH,Tổng lợi nhuận trước thuế,2022,-1657244.0,2025-04-12
TTH,Tổng lợi nhuận trước thuế,2023,22768481.0,2025-04-12
TTH,Tổng lợi nhuận trước thuế,2024,-14411658.0,2025-04-12
TTH,Lợi nhuận sau thuế,2021,722957.0,2025-04-12
TTH,Lợi nhuận sau thuế,2022,-1803630.0,2025-04-12
TTH,Lợi nhuận sau thuế,2023,19308685.0,2025-04-12
TTH,Lợi nhuận sau thuế,2024,-16033824.0,2025-04-12
TTH,Lợi nhuận sau thuế của công ty mẹ,2021,722957.0,2025-04-12
TTH,Lợi nhuận sau thuế của công ty mẹ,2022,-1803630.0,2025-04-12
TTH,Lợi nhuận sau thuế của công ty mẹ,2023,19308685.0,2025-04-12
TTH,Lợi nhuận sau thuế của công ty mẹ,2024,-16033824.0,2025-04-12
TTH,Tổng tài sản lưu động ngắn hạn,2021,542593077.0,2025-04-12
TTH,Tổng tài sản lưu động ngắn hạn,2022,714010125.0,2025-04-12
TTH,Tổng tài sản lưu động ngắn hạn,2023,646564587.0,2025-04-12
TTH,Tổng tài sản lưu động ngắn hạn,2024,611357127.0,2025-04-12
TTH,Tổng tài sản,2021,684903163.0,2025-04-12
TTH,Tổng tài sản,2022,786522904.0,2025-04-12
TTH,Tổng tài sản,2023,657061060.0,2025-04-12
TTH,Tổng tài sản,2024,645084562.0,2025-04-12
TTH,Nợ ngắn hạn,2021,265218529.0,2025-04-12
TTH,Nợ ngắn hạn,2022,379651900.0,2025-04-12
TTH,Nợ ngắn hạn,2023,230881371.0,2025-04-12
TTH,Nợ ngắn hạn,2024,235013453.0,2025-04-12
TTH,Tổng nợ,2021,276228529.0,2025-04-12
TTH,Tổng nợ,2022,379651900.0,2025-04-12
TTH,Tổng nợ,2023,230881371.0,2025-04-12
TTH,Tổng nợ,2024,235013453.0,2025-04-12
TTH,Vốn chủ sở hữu,2021,408674634.0,2025-04-12
TTH,Vốn chủ sở hữu,2022,406871004.0,2025-04-12
TTH,Vốn chủ sở hữu,2023,426179689.0,2025-04-12
TTH,Vốn chủ sở hữu,2024,410071109.0,2025-04-12
