symbol,metric,year,value,crawled_date
TV4,Doanh thu bán hàng và CCDV,2020,251014677.0,2025-04-12
TV4,Doanh thu bán hàng và CCDV,2021,291923782.0,2025-04-12
TV4,Doanh thu bán hàng và CCDV,2022,299704889.0,2025-04-12
TV4,Doanh thu bán hàng và CCDV,2023,202012906.0,2025-04-12
TV4,Giá vốn hàng bán,2020,184348618.0,2025-04-12
TV4,Giá vốn hàng bán,2021,205365863.0,2025-04-12
TV4,Giá vốn hàng bán,2022,210253283.0,2025-04-12
TV4,Giá vốn hàng bán,2023,141017963.0,2025-04-12
TV4,Lợi nhuận gộp về BH và CCDV,2020,66666060.0,2025-04-12
TV4,Lợi nhuận gộp về BH và CCDV,2021,86557918.0,2025-04-12
TV4,Lợi nhuận gộp về BH và CCDV,2022,89451606.0,2025-04-12
TV4,Lợi nhuận gộp về BH và CCDV,2023,60994943.0,2025-04-12
TV4,Lợi nhuận tài chính,2020,10203292.0,2025-04-12
TV4,Lợi nhuận tài chính,2021,12577517.0,2025-04-12
TV4,Lợi nhuận tài chính,2022,19872964.0,2025-04-12
TV4,Lợi nhuận tài chính,2023,23923530.0,2025-04-12
TV4,Lợi nhuận khác,2020,1207565.0,2025-04-12
TV4,Lợi nhuận khác,2021,-42318.0,2025-04-12
TV4,Lợi nhuận khác,2022,-774943.0,2025-04-12
TV4,Lợi nhuận khác,2023,-292675.0,2025-04-12
TV4,Tổng lợi nhuận trước thuế,2020,32493666.0,2025-04-12
TV4,Tổng lợi nhuận trước thuế,2021,41441664.0,2025-04-12
TV4,Tổng lợi nhuận trước thuế,2022,47704807.0,2025-04-12
TV4,Tổng lợi nhuận trước thuế,2023,36216419.0,2025-04-12
TV4,Lợi nhuận sau thuế,2020,27677516.0,2025-04-12
TV4,Lợi nhuận sau thuế,2021,35270538.0,2025-04-12
TV4,Lợi nhuận sau thuế,2022,41519215.0,2025-04-12
TV4,Lợi nhuận sau thuế,2023,32757797.0,2025-04-12
TV4,Lợi nhuận sau thuế của công ty mẹ,2020,27677516.0,2025-04-12
TV4,Lợi nhuận sau thuế của công ty mẹ,2021,35270538.0,2025-04-12
TV4,Lợi nhuận sau thuế của công ty mẹ,2022,41519215.0,2025-04-12
TV4,Lợi nhuận sau thuế của công ty mẹ,2023,32757797.0,2025-04-12
TV4,Tổng tài sản lưu động ngắn hạn,2020,195079803.0,2025-04-12
TV4,Tổng tài sản lưu động ngắn hạn,2021,211934817.0,2025-04-12
TV4,Tổng tài sản lưu động ngắn hạn,2022,263762769.0,2025-04-12
TV4,Tổng tài sản lưu động ngắn hạn,2023,228587859.0,2025-04-12
TV4,Tổng tài sản,2020,335678748.0,2025-04-12
TV4,Tổng tài sản,2021,354131991.0,2025-04-12
TV4,Tổng tài sản,2022,405959591.0,2025-04-12
TV4,Tổng tài sản,2023,373910469.0,2025-04-12
TV4,Nợ ngắn hạn,2020,150060096.0,2025-04-12
TV4,Nợ ngắn hạn,2021,136435553.0,2025-04-12
TV4,Nợ ngắn hạn,2022,150620573.0,2025-04-12
TV4,Nợ ngắn hạn,2023,114931152.0,2025-04-12
TV4,Tổng nợ,2020,150060096.0,2025-04-12
TV4,Tổng nợ,2021,136435553.0,2025-04-12
TV4,Tổng nợ,2022,150620573.0,2025-04-12
TV4,Tổng nợ,2023,114931152.0,2025-04-12
TV4,Vốn chủ sở hữu,2020,185618652.0,2025-04-12
TV4,Vốn chủ sở hữu,2021,217696438.0,2025-04-12
TV4,Vốn chủ sở hữu,2022,255339018.0,2025-04-12
TV4,Vốn chủ sở hữu,2023,258979317.0,2025-04-12
