symbol,metric,year,value,crawled_date
UIC,Doanh thu bán hàng và CCDV,2022,2546694864.0,2025-04-12
UIC,Doanh thu bán hàng và CCDV,2023,2450028021.0,2025-04-12
UIC,Doanh thu bán hàng và CCDV,2023,2450028021.0,2025-04-12
UIC,Doanh thu bán hàng và CCDV,2024,2967385499.0,2025-04-12
UIC,Giá vốn hàng bán,2022,2473005518.0,2025-04-12
UIC,Giá vốn hàng bán,2023,2372064627.0,2025-04-12
UIC,Giá vốn hàng bán,2023,2372064627.0,2025-04-12
UIC,Giá vốn hàng bán,2024,2869575861.0,2025-04-12
UIC,Lợi nhuận gộp về BH và CCDV,2022,73689346.0,2025-04-12
UIC,Lợi nhuận gộp về BH và CCDV,2023,77963394.0,2025-04-12
UIC,Lợi nhuận gộp về BH và CCDV,2023,77963394.0,2025-04-12
UIC,Lợi nhuận gộp về BH và CCDV,2024,97809638.0,2025-04-12
UIC,Lợi nhuận tài chính,2022,15713.0,2025-04-12
UIC,Lợi nhuận tài chính,2023,3898860.0,2025-04-12
UIC,Lợi nhuận tài chính,2023,3898860.0,2025-04-12
UIC,Lợi nhuận tài chính,2024,5507044.0,2025-04-12
UIC,Lợi nhuận khác,2022,17570033.0,2025-04-12
UIC,Lợi nhuận khác,2023,4319420.0,2025-04-12
UIC,Lợi nhuận khác,2023,4319420.0,2025-04-12
UIC,Lợi nhuận khác,2024,-1736271.0,2025-04-12
UIC,Tổng lợi nhuận trước thuế,2022,65343076.0,2025-04-12
UIC,Tổng lợi nhuận trước thuế,2023,61423091.0,2025-04-12
UIC,Tổng lợi nhuận trước thuế,2023,61423091.0,2025-04-12
UIC,Tổng lợi nhuận trước thuế,2024,72857918.0,2025-04-12
UIC,Lợi nhuận sau thuế,2022,51819225.0,2025-04-12
UIC,Lợi nhuận sau thuế,2023,48654367.0,2025-04-12
UIC,Lợi nhuận sau thuế,2023,48654367.0,2025-04-12
UIC,Lợi nhuận sau thuế,2024,57426599.0,2025-04-12
UIC,Lợi nhuận sau thuế của công ty mẹ,2022,51819225.0,2025-04-12
UIC,Lợi nhuận sau thuế của công ty mẹ,2023,48654367.0,2025-04-12
UIC,Lợi nhuận sau thuế của công ty mẹ,2023,48654367.0,2025-04-12
UIC,Lợi nhuận sau thuế của công ty mẹ,2024,57426599.0,2025-04-12
UIC,Tổng tài sản lưu động ngắn hạn,2022,268134691.0,2025-04-12
UIC,Tổng tài sản lưu động ngắn hạn,2023,347646670.0,2025-04-12
UIC,Tổng tài sản lưu động ngắn hạn,2023,347646670.0,2025-04-12
UIC,Tổng tài sản lưu động ngắn hạn,2024,423527321.0,2025-04-12
UIC,Tổng tài sản,2022,484489614.0,2025-04-12
UIC,Tổng tài sản,2023,570753235.0,2025-04-12
UIC,Tổng tài sản,2023,570753235.0,2025-04-12
UIC,Tổng tài sản,2024,721875397.0,2025-04-12
UIC,Nợ ngắn hạn,2022,124894654.0,2025-04-12
UIC,Nợ ngắn hạn,2023,152089021.0,2025-04-12
UIC,Nợ ngắn hạn,2023,152089021.0,2025-04-12
UIC,Nợ ngắn hạn,2024,258349604.0,2025-04-12
UIC,Tổng nợ,2022,125144910.0,2025-04-12
UIC,Tổng nợ,2023,163790549.0,2025-04-12
UIC,Tổng nợ,2023,163790549.0,2025-04-12
UIC,Tổng nợ,2024,258459198.0,2025-04-12
UIC,Vốn chủ sở hữu,2022,359344704.0,2025-04-12
UIC,Vốn chủ sở hữu,2023,406962687.0,2025-04-12
UIC,Vốn chủ sở hữu,2023,406962687.0,2025-04-12
UIC,Vốn chủ sở hữu,2024,463416198.0,2025-04-12
