symbol,metric,year,value,crawled_date
USC,Doanh thu bán hàng và CCDV,2021,140898561.0,2025-04-12
USC,Doanh thu bán hàng và CCDV,2022,151172797.0,2025-04-12
USC,Doanh thu bán hàng và CCDV,2023,101660492.0,2025-04-12
USC,Doanh thu bán hàng và CCDV,2024,84758020.0,2025-04-12
USC,Giá vốn hàng bán,2021,124075600.0,2025-04-12
USC,Giá vốn hàng bán,2022,130554322.0,2025-04-12
USC,Giá vốn hàng bán,2023,89131499.0,2025-04-12
USC,Giá vốn hàng bán,2024,70507854.0,2025-04-12
USC,Lợi nhuận gộp về BH và CCDV,2021,16822961.0,2025-04-12
USC,Lợi nhuận gộp về BH và CCDV,2022,20618475.0,2025-04-12
USC,Lợi nhuận gộp về BH và CCDV,2023,12528993.0,2025-04-12
USC,Lợi nhuận gộp về BH và CCDV,2024,14250165.0,2025-04-12
USC,Lợi nhuận tài chính,2021,-202177.0,2025-04-12
USC,Lợi nhuận tài chính,2022,-432225.0,2025-04-12
USC,Lợi nhuận tài chính,2023,149353.0,2025-04-12
USC,Lợi nhuận tài chính,2024,80148.0,2025-04-12
USC,Lợi nhuận khác,2021,-194382.0,2025-04-12
USC,Lợi nhuận khác,2022,-359937.0,2025-04-12
USC,Lợi nhuận khác,2023,-78980.0,2025-04-12
USC,Lợi nhuận khác,2024,-447476.0,2025-04-12
USC,Tổng lợi nhuận trước thuế,2021,2745130.0,2025-04-12
USC,Tổng lợi nhuận trước thuế,2022,2750801.0,2025-04-12
USC,Tổng lợi nhuận trước thuế,2023,1077654.0,2025-04-12
USC,Tổng lợi nhuận trước thuế,2024,1030375.0,2025-04-12
USC,Lợi nhuận sau thuế,2021,2323263.0,2025-04-12
USC,Lợi nhuận sau thuế,2022,2117268.0,2025-04-12
USC,Lợi nhuận sau thuế,2023,708478.0,2025-04-12
USC,Lợi nhuận sau thuế,2024,734793.0,2025-04-12
USC,Lợi nhuận sau thuế của công ty mẹ,2021,2323263.0,2025-04-12
USC,Lợi nhuận sau thuế của công ty mẹ,2022,2117268.0,2025-04-12
USC,Lợi nhuận sau thuế của công ty mẹ,2023,708478.0,2025-04-12
USC,Lợi nhuận sau thuế của công ty mẹ,2024,734793.0,2025-04-12
USC,Tổng tài sản lưu động ngắn hạn,2021,195944983.0,2025-04-12
USC,Tổng tài sản lưu động ngắn hạn,2022,185884999.0,2025-04-12
USC,Tổng tài sản lưu động ngắn hạn,2023,155208268.0,2025-04-12
USC,Tổng tài sản lưu động ngắn hạn,2024,153329866.0,2025-04-12
USC,Tổng tài sản,2021,235074143.0,2025-04-12
USC,Tổng tài sản,2022,223303270.0,2025-04-12
USC,Tổng tài sản,2023,191463162.0,2025-04-12
USC,Tổng tài sản,2024,188651727.0,2025-04-12
USC,Nợ ngắn hạn,2021,155771372.0,2025-04-12
USC,Nợ ngắn hạn,2022,144206494.0,2025-04-12
USC,Nợ ngắn hạn,2023,113775176.0,2025-04-12
USC,Nợ ngắn hạn,2024,110937427.0,2025-04-12
USC,Tổng nợ,2021,175771372.0,2025-04-12
USC,Tổng nợ,2022,164206494.0,2025-04-12
USC,Tổng nợ,2023,133775176.0,2025-04-12
USC,Tổng nợ,2024,130937427.0,2025-04-12
USC,Vốn chủ sở hữu,2021,59302770.0,2025-04-12
USC,Vốn chủ sở hữu,2022,59096776.0,2025-04-12
USC,Vốn chủ sở hữu,2023,57687986.0,2025-04-12
USC,Vốn chủ sở hữu,2024,57714301.0,2025-04-12
