symbol,metric,year,value,crawled_date
UXC,Doanh thu bán hàng và CCDV,2021,1313202163.0,2025-04-12
UXC,Doanh thu bán hàng và CCDV,2022,1158635186.0,2025-04-12
UXC,Doanh thu bán hàng và CCDV,2023,347367197.0,2025-04-12
UXC,Doanh thu bán hàng và CCDV,2024,587294857.0,2025-04-12
UXC,Giá vốn hàng bán,2021,1215855937.0,2025-04-12
UXC,Giá vốn hàng bán,2022,1035820715.0,2025-04-12
UXC,Giá vốn hàng bán,2023,357048084.0,2025-04-12
UXC,Giá vốn hàng bán,2024,507342657.0,2025-04-12
UXC,Lợi nhuận gộp về BH và CCDV,2021,94303381.0,2025-04-12
UXC,Lợi nhuận gộp về BH và CCDV,2022,122073377.0,2025-04-12
UXC,Lợi nhuận gộp về BH và CCDV,2023,-17773958.0,2025-04-12
UXC,Lợi nhuận gộp về BH và CCDV,2024,76950015.0,2025-04-12
UXC,Lợi nhuận tài chính,2021,-36470304.0,2025-04-12
UXC,Lợi nhuận tài chính,2022,-37235415.0,2025-04-12
UXC,Lợi nhuận tài chính,2023,-41017536.0,2025-04-12
UXC,Lợi nhuận tài chính,2024,-48388864.0,2025-04-12
UXC,Lợi nhuận khác,2021,511771.0,2025-04-12
UXC,Lợi nhuận khác,2022,4297091.0,2025-04-12
UXC,Lợi nhuận khác,2023,1268190.0,2025-04-12
UXC,Lợi nhuận khác,2024,26284899.0,2025-04-12
UXC,Tổng lợi nhuận trước thuế,2021,-133447275.0,2025-04-12
UXC,Tổng lợi nhuận trước thuế,2022,-92906161.0,2025-04-12
UXC,Tổng lợi nhuận trước thuế,2023,-84412540.0,2025-04-12
UXC,Tổng lợi nhuận trước thuế,2024,-37799123.0,2025-04-12
UXC,Lợi nhuận sau thuế,2021,-133447275.0,2025-04-12
UXC,Lợi nhuận sau thuế,2022,-92906161.0,2025-04-12
UXC,Lợi nhuận sau thuế,2023,-84412540.0,2025-04-12
UXC,Lợi nhuận sau thuế,2024,-37799123.0,2025-04-12
UXC,Lợi nhuận sau thuế của công ty mẹ,2021,-133447275.0,2025-04-12
UXC,Lợi nhuận sau thuế của công ty mẹ,2022,-92906161.0,2025-04-12
UXC,Lợi nhuận sau thuế của công ty mẹ,2023,-84412540.0,2025-04-12
UXC,Lợi nhuận sau thuế của công ty mẹ,2024,-37799123.0,2025-04-12
UXC,Tổng tài sản lưu động ngắn hạn,2021,1031175736.0,2025-04-12
UXC,Tổng tài sản lưu động ngắn hạn,2022,956302341.0,2025-04-12
UXC,Tổng tài sản lưu động ngắn hạn,2023,845884218.0,2025-04-12
UXC,Tổng tài sản lưu động ngắn hạn,2024,769889656.0,2025-04-12
UXC,Tổng tài sản,2021,1156023698.0,2025-04-12
UXC,Tổng tài sản,2022,1071662023.0,2025-04-12
UXC,Tổng tài sản,2023,951580556.0,2025-04-12
UXC,Tổng tài sản,2024,868466528.0,2025-04-12
UXC,Nợ ngắn hạn,2021,1017181330.0,2025-04-12
UXC,Nợ ngắn hạn,2022,1026739815.0,2025-04-12
UXC,Nợ ngắn hạn,2023,991917888.0,2025-04-12
UXC,Nợ ngắn hạn,2024,947663983.0,2025-04-12
UXC,Tổng nợ,2021,1029587330.0,2025-04-12
UXC,Tổng nợ,2022,1038131815.0,2025-04-12
UXC,Tổng nợ,2023,1002462888.0,2025-04-12
UXC,Tổng nợ,2024,957147983.0,2025-04-12
UXC,Vốn chủ sở hữu,2021,126436368.0,2025-04-12
UXC,Vốn chủ sở hữu,2022,33530208.0,2025-04-12
UXC,Vốn chủ sở hữu,2023,-50882332.0,2025-04-12
UXC,Vốn chủ sở hữu,2024,-88681455.0,2025-04-12
