symbol,metric,year,value,crawled_date
VAF,Doanh thu bán hàng và CCDV,2021,839036039.0,2025-04-12
VAF,Doanh thu bán hàng và CCDV,2022,913041618.0,2025-04-12
VAF,Doanh thu bán hàng và CCDV,2023,1001606093.0,2025-04-12
VAF,Doanh thu bán hàng và CCDV,2024,1220293850.0,2025-04-12
VAF,Giá vốn hàng bán,2021,648675517.0,2025-04-12
VAF,Giá vốn hàng bán,2022,654085757.0,2025-04-12
VAF,Giá vốn hàng bán,2023,752313013.0,2025-04-12
VAF,Giá vốn hàng bán,2024,940181789.0,2025-04-12
VAF,Lợi nhuận gộp về BH và CCDV,2021,190360522.0,2025-04-12
VAF,Lợi nhuận gộp về BH và CCDV,2022,258955862.0,2025-04-12
VAF,Lợi nhuận gộp về BH và CCDV,2023,249293079.0,2025-04-12
VAF,Lợi nhuận gộp về BH và CCDV,2024,280091072.0,2025-04-12
VAF,Lợi nhuận tài chính,2021,2328588.0,2025-04-12
VAF,Lợi nhuận tài chính,2022,3256889.0,2025-04-12
VAF,Lợi nhuận tài chính,2023,2129965.0,2025-04-12
VAF,Lợi nhuận tài chính,2024,3651136.0,2025-04-12
VAF,Lợi nhuận khác,2021,-2548.0,2025-04-12
VAF,Lợi nhuận khác,2022,-344063.0,2025-04-12
VAF,Lợi nhuận khác,2023,21014426.0,2025-04-12
VAF,Lợi nhuận khác,2024,44524.0,2025-04-12
VAF,Tổng lợi nhuận trước thuế,2021,35012975.0,2025-04-12
VAF,Tổng lợi nhuận trước thuế,2022,47442546.0,2025-04-12
VAF,Tổng lợi nhuận trước thuế,2023,76028285.0,2025-04-12
VAF,Tổng lợi nhuận trước thuế,2024,76118827.0,2025-04-12
VAF,Lợi nhuận sau thuế,2021,27980337.0,2025-04-12
VAF,Lợi nhuận sau thuế,2022,37867213.0,2025-04-12
VAF,Lợi nhuận sau thuế,2023,63197614.0,2025-04-12
VAF,Lợi nhuận sau thuế,2024,60895061.0,2025-04-12
VAF,Lợi nhuận sau thuế của công ty mẹ,2021,27980337.0,2025-04-12
VAF,Lợi nhuận sau thuế của công ty mẹ,2022,37867213.0,2025-04-12
VAF,Lợi nhuận sau thuế của công ty mẹ,2023,63197614.0,2025-04-12
VAF,Lợi nhuận sau thuế của công ty mẹ,2024,60895061.0,2025-04-12
VAF,Tổng tài sản lưu động ngắn hạn,2021,563957851.0,2025-04-12
VAF,Tổng tài sản lưu động ngắn hạn,2022,504978704.0,2025-04-12
VAF,Tổng tài sản lưu động ngắn hạn,2023,551208903.0,2025-04-12
VAF,Tổng tài sản lưu động ngắn hạn,2024,1032052329.0,2025-04-12
VAF,Tổng tài sản,2021,666614848.0,2025-04-12
VAF,Tổng tài sản,2022,612707039.0,2025-04-12
VAF,Tổng tài sản,2023,660530247.0,2025-04-12
VAF,Tổng tài sản,2024,1071996533.0,2025-04-12
VAF,Nợ ngắn hạn,2021,203303815.0,2025-04-12
VAF,Nợ ngắn hạn,2022,130406485.0,2025-04-12
VAF,Nợ ngắn hạn,2023,147705681.0,2025-04-12
VAF,Nợ ngắn hạn,2024,550122961.0,2025-04-12
VAF,Tổng nợ,2021,203303815.0,2025-04-12
VAF,Tổng nợ,2022,137406485.0,2025-04-12
VAF,Tổng nợ,2023,155628367.0,2025-04-12
VAF,Tổng nợ,2024,550814976.0,2025-04-12
VAF,Vốn chủ sở hữu,2021,463311033.0,2025-04-12
VAF,Vốn chủ sở hữu,2022,475300554.0,2025-04-12
VAF,Vốn chủ sở hữu,2023,504901880.0,2025-04-12
VAF,Vốn chủ sở hữu,2024,521181557.0,2025-04-12
