symbol,metric,year,value,crawled_date
VBC,Doanh thu bán hàng và CCDV,2021,1026871149.0,2025-04-12
VBC,Doanh thu bán hàng và CCDV,2022,995451464.0,2025-04-12
VBC,Doanh thu bán hàng và CCDV,2023,874808591.0,2025-04-12
VBC,Doanh thu bán hàng và CCDV,2024,822071219.0,2025-04-12
VBC,Giá vốn hàng bán,2021,940398606.0,2025-04-12
VBC,Giá vốn hàng bán,2022,901902972.0,2025-04-12
VBC,Giá vốn hàng bán,2023,788087856.0,2025-04-12
VBC,Giá vốn hàng bán,2024,746670098.0,2025-04-12
VBC,Lợi nhuận gộp về BH và CCDV,2021,86472543.0,2025-04-12
VBC,Lợi nhuận gộp về BH và CCDV,2022,92613757.0,2025-04-12
VBC,Lợi nhuận gộp về BH và CCDV,2023,86455657.0,2025-04-12
VBC,Lợi nhuận gộp về BH và CCDV,2024,75332976.0,2025-04-12
VBC,Lợi nhuận tài chính,2021,-9664404.0,2025-04-12
VBC,Lợi nhuận tài chính,2022,-9440116.0,2025-04-12
VBC,Lợi nhuận tài chính,2023,-9419218.0,2025-04-12
VBC,Lợi nhuận tài chính,2024,-2577593.0,2025-04-12
VBC,Lợi nhuận khác,2021,-229949.0,2025-04-12
VBC,Lợi nhuận khác,2022,-190525.0,2025-04-12
VBC,Lợi nhuận khác,2023,-141901.0,2025-04-12
VBC,Lợi nhuận khác,2024,8166.0,2025-04-12
VBC,Tổng lợi nhuận trước thuế,2021,35286557.0,2025-04-12
VBC,Tổng lợi nhuận trước thuế,2022,35357304.0,2025-04-12
VBC,Tổng lợi nhuận trước thuế,2023,35412771.0,2025-04-12
VBC,Tổng lợi nhuận trước thuế,2024,35163794.0,2025-04-12
VBC,Lợi nhuận sau thuế,2021,28112069.0,2025-04-12
VBC,Lợi nhuận sau thuế,2022,27261706.0,2025-04-12
VBC,Lợi nhuận sau thuế,2023,28069440.0,2025-04-12
VBC,Lợi nhuận sau thuế,2024,27907774.0,2025-04-12
VBC,Lợi nhuận sau thuế của công ty mẹ,2021,28112069.0,2025-04-12
VBC,Lợi nhuận sau thuế của công ty mẹ,2022,27261706.0,2025-04-12
VBC,Lợi nhuận sau thuế của công ty mẹ,2023,28069440.0,2025-04-12
VBC,Lợi nhuận sau thuế của công ty mẹ,2024,27907774.0,2025-04-12
VBC,Tổng tài sản lưu động ngắn hạn,2021,348984588.0,2025-04-12
VBC,Tổng tài sản lưu động ngắn hạn,2022,371253832.0,2025-04-12
VBC,Tổng tài sản lưu động ngắn hạn,2023,309869209.0,2025-04-12
VBC,Tổng tài sản lưu động ngắn hạn,2024,327223932.0,2025-04-12
VBC,Tổng tài sản,2021,434041199.0,2025-04-12
VBC,Tổng tài sản,2022,459482346.0,2025-04-12
VBC,Tổng tài sản,2023,388165251.0,2025-04-12
VBC,Tổng tài sản,2024,400096828.0,2025-04-12
VBC,Nợ ngắn hạn,2021,284833043.0,2025-04-12
VBC,Nợ ngắn hạn,2022,305248306.0,2025-04-12
VBC,Nợ ngắn hạn,2023,229315263.0,2025-04-12
VBC,Nợ ngắn hạn,2024,233706312.0,2025-04-12
VBC,Tổng nợ,2021,291825067.0,2025-04-12
VBC,Tổng nợ,2022,309295749.0,2025-04-12
VBC,Tổng nợ,2023,230358901.0,2025-04-12
VBC,Tổng nợ,2024,233706312.0,2025-04-12
VBC,Vốn chủ sở hữu,2021,142216132.0,2025-04-12
VBC,Vốn chủ sở hữu,2022,150186598.0,2025-04-12
VBC,Vốn chủ sở hữu,2023,157806350.0,2025-04-12
VBC,Vốn chủ sở hữu,2024,166390516.0,2025-04-12
