symbol,metric,year,value,crawled_date
VC1,Doanh thu bán hàng và CCDV,2021,307821852.0,2025-04-12
VC1,Doanh thu bán hàng và CCDV,2022,429289094.0,2025-04-12
VC1,Doanh thu bán hàng và CCDV,2023,222687685.0,2025-04-12
VC1,Doanh thu bán hàng và CCDV,2024,508497358.0,2025-04-12
VC1,Giá vốn hàng bán,2021,289977594.0,2025-04-12
VC1,Giá vốn hàng bán,2022,404631216.0,2025-04-12
VC1,Giá vốn hàng bán,2023,205969311.0,2025-04-12
VC1,Giá vốn hàng bán,2024,477647504.0,2025-04-12
VC1,Lợi nhuận gộp về BH và CCDV,2021,17844258.0,2025-04-12
VC1,Lợi nhuận gộp về BH và CCDV,2022,24657878.0,2025-04-12
VC1,Lợi nhuận gộp về BH và CCDV,2023,16718374.0,2025-04-12
VC1,Lợi nhuận gộp về BH và CCDV,2024,30849854.0,2025-04-12
VC1,Lợi nhuận tài chính,2021,-5928316.0,2025-04-12
VC1,Lợi nhuận tài chính,2022,-11946296.0,2025-04-12
VC1,Lợi nhuận tài chính,2023,-9105368.0,2025-04-12
VC1,Lợi nhuận tài chính,2024,-9747413.0,2025-04-12
VC1,Lợi nhuận khác,2021,32122.0,2025-04-12
VC1,Lợi nhuận khác,2022,4987567.0,2025-04-12
VC1,Lợi nhuận khác,2023,-1379286.0,2025-04-12
VC1,Lợi nhuận khác,2024,-2570412.0,2025-04-12
VC1,Tổng lợi nhuận trước thuế,2021,9155713.0,2025-04-12
VC1,Tổng lợi nhuận trước thuế,2022,5472349.0,2025-04-12
VC1,Tổng lợi nhuận trước thuế,2023,4896211.0,2025-04-12
VC1,Tổng lợi nhuận trước thuế,2024,6163748.0,2025-04-12
VC1,Lợi nhuận sau thuế,2021,6933498.0,2025-04-12
VC1,Lợi nhuận sau thuế,2022,4071880.0,2025-04-12
VC1,Lợi nhuận sau thuế,2023,2620614.0,2025-04-12
VC1,Lợi nhuận sau thuế,2024,3587938.0,2025-04-12
VC1,Lợi nhuận sau thuế của công ty mẹ,2021,6933498.0,2025-04-12
VC1,Lợi nhuận sau thuế của công ty mẹ,2022,4071880.0,2025-04-12
VC1,Lợi nhuận sau thuế của công ty mẹ,2023,2620614.0,2025-04-12
VC1,Lợi nhuận sau thuế của công ty mẹ,2024,3587938.0,2025-04-12
VC1,Tổng tài sản lưu động ngắn hạn,2021,769560019.0,2025-04-12
VC1,Tổng tài sản lưu động ngắn hạn,2022,614866268.0,2025-04-12
VC1,Tổng tài sản lưu động ngắn hạn,2023,625806028.0,2025-04-12
VC1,Tổng tài sản lưu động ngắn hạn,2024,625839347.0,2025-04-12
VC1,Tổng tài sản,2021,834290707.0,2025-04-12
VC1,Tổng tài sản,2022,678052574.0,2025-04-12
VC1,Tổng tài sản,2023,709554270.0,2025-04-12
VC1,Tổng tài sản,2024,708267209.0,2025-04-12
VC1,Nợ ngắn hạn,2021,587944252.0,2025-04-12
VC1,Nợ ngắn hạn,2022,426963927.0,2025-04-12
VC1,Nợ ngắn hạn,2023,461492025.0,2025-04-12
VC1,Nợ ngắn hạn,2024,456695872.0,2025-04-12
VC1,Tổng nợ,2021,588331492.0,2025-04-12
VC1,Tổng nợ,2022,427229563.0,2025-04-12
VC1,Tổng nợ,2023,461735161.0,2025-04-12
VC1,Tổng nợ,2024,456860162.0,2025-04-12
VC1,Vốn chủ sở hữu,2021,245959215.0,2025-04-12
VC1,Vốn chủ sở hữu,2022,250823012.0,2025-04-12
VC1,Vốn chủ sở hữu,2023,247819110.0,2025-04-12
VC1,Vốn chủ sở hữu,2024,251407047.0,2025-04-12
