symbol,metric,year,value,crawled_date
VCE,Doanh thu bán hàng và CCDV,2021,11042782.0,2025-04-12
VCE,Doanh thu bán hàng và CCDV,2022,14344920.0,2025-04-12
VCE,Doanh thu bán hàng và CCDV,2023,1169915.0,2025-04-12
VCE,Doanh thu bán hàng và CCDV,2024,1191748.0,2025-04-12
VCE,Giá vốn hàng bán,2021,5565083.0,2025-04-12
VCE,Giá vốn hàng bán,2022,14047611.0,2025-04-12
VCE,Giá vốn hàng bán,2023,570955.0,2025-04-12
VCE,Giá vốn hàng bán,2024,2100.0,2025-04-12
VCE,Lợi nhuận gộp về BH và CCDV,2021,5477698.0,2025-04-12
VCE,Lợi nhuận gộp về BH và CCDV,2022,297309.0,2025-04-12
VCE,Lợi nhuận gộp về BH và CCDV,2023,598959.0,2025-04-12
VCE,Lợi nhuận gộp về BH và CCDV,2024,1189648.0,2025-04-12
VCE,Lợi nhuận tài chính,2021,57436.0,2025-04-12
VCE,Lợi nhuận tài chính,2022,7148.0,2025-04-12
VCE,Lợi nhuận tài chính,2023,381.0,2025-04-12
VCE,Lợi nhuận tài chính,2024,255.0,2025-04-12
VCE,Lợi nhuận khác,2021,-104181.0,2025-04-12
VCE,Lợi nhuận khác,2022,-13250.0,2025-04-12
VCE,Lợi nhuận khác,2023,-93.0,2025-04-12
VCE,Lợi nhuận khác,2024,3671.0,2025-04-12
VCE,Tổng lợi nhuận trước thuế,2021,3066411.0,2025-04-12
VCE,Tổng lợi nhuận trước thuế,2022,-889615.0,2025-04-12
VCE,Tổng lợi nhuận trước thuế,2023,-893901.0,2025-04-12
VCE,Tổng lợi nhuận trước thuế,2024,24457.0,2025-04-12
VCE,Lợi nhuận sau thuế,2021,2535141.0,2025-04-12
VCE,Lợi nhuận sau thuế,2022,-889615.0,2025-04-12
VCE,Lợi nhuận sau thuế,2023,-893901.0,2025-04-12
VCE,Lợi nhuận sau thuế,2024,24457.0,2025-04-12
VCE,Lợi nhuận sau thuế của công ty mẹ,2021,2535141.0,2025-04-12
VCE,Lợi nhuận sau thuế của công ty mẹ,2022,2535141.0,2025-04-12
VCE,Lợi nhuận sau thuế của công ty mẹ,2023,-893901.0,2025-04-12
VCE,Lợi nhuận sau thuế của công ty mẹ,2024,24457.0,2025-04-12
VCE,Tổng tài sản lưu động ngắn hạn,2021,69819779.0,2025-04-12
VCE,Tổng tài sản lưu động ngắn hạn,2022,80041413.0,2025-04-12
VCE,Tổng tài sản lưu động ngắn hạn,2023,79112830.0,2025-04-12
VCE,Tổng tài sản lưu động ngắn hạn,2024,79237529.0,2025-04-12
VCE,Tổng tài sản,2021,69821626.0,2025-04-12
VCE,Tổng tài sản,2022,80041413.0,2025-04-12
VCE,Tổng tài sản,2023,79112830.0,2025-04-12
VCE,Tổng tài sản,2024,79237529.0,2025-04-12
VCE,Nợ ngắn hạn,2021,10643804.0,2025-04-12
VCE,Nợ ngắn hạn,2022,21753206.0,2025-04-12
VCE,Nợ ngắn hạn,2023,21718524.0,2025-04-12
VCE,Nợ ngắn hạn,2024,21818767.0,2025-04-12
VCE,Tổng nợ,2021,10643804.0,2025-04-12
VCE,Tổng nợ,2022,21753206.0,2025-04-12
VCE,Tổng nợ,2023,21718524.0,2025-04-12
VCE,Tổng nợ,2024,21818767.0,2025-04-12
VCE,Vốn chủ sở hữu,2021,59177822.0,2025-04-12
VCE,Vốn chủ sở hữu,2022,58288207.0,2025-04-12
VCE,Vốn chủ sở hữu,2023,57394306.0,2025-04-12
VCE,Vốn chủ sở hữu,2024,57418762.0,2025-04-12
