symbol,metric,year,value,crawled_date
VE3,Doanh thu bán hàng và CCDV,2021,126773419.0,2025-04-12
VE3,Doanh thu bán hàng và CCDV,2022,117097793.0,2025-04-12
VE3,Doanh thu bán hàng và CCDV,2023,89293504.0,2025-04-12
VE3,Doanh thu bán hàng và CCDV,2024,170870957.0,2025-04-12
VE3,Giá vốn hàng bán,2021,119861810.0,2025-04-12
VE3,Giá vốn hàng bán,2022,110115493.0,2025-04-12
VE3,Giá vốn hàng bán,2023,81089821.0,2025-04-12
VE3,Giá vốn hàng bán,2024,159396569.0,2025-04-12
VE3,Lợi nhuận gộp về BH và CCDV,2021,6911609.0,2025-04-12
VE3,Lợi nhuận gộp về BH và CCDV,2022,6982300.0,2025-04-12
VE3,Lợi nhuận gộp về BH và CCDV,2023,8203683.0,2025-04-12
VE3,Lợi nhuận gộp về BH và CCDV,2024,11474387.0,2025-04-12
VE3,Lợi nhuận tài chính,2021,-1011889.0,2025-04-12
VE3,Lợi nhuận tài chính,2022,-1939840.0,2025-04-12
VE3,Lợi nhuận tài chính,2023,-2917715.0,2025-04-12
VE3,Lợi nhuận tài chính,2024,-3200131.0,2025-04-12
VE3,Lợi nhuận khác,2021,100305.0,2025-04-12
VE3,Lợi nhuận khác,2022,-106593.0,2025-04-12
VE3,Lợi nhuận khác,2023,27656.0,2025-04-12
VE3,Lợi nhuận khác,2024,-126580.0,2025-04-12
VE3,Tổng lợi nhuận trước thuế,2021,1550451.0,2025-04-12
VE3,Tổng lợi nhuận trước thuế,2022,380946.0,2025-04-12
VE3,Tổng lợi nhuận trước thuế,2023,710523.0,2025-04-12
VE3,Tổng lợi nhuận trước thuế,2024,934411.0,2025-04-12
VE3,Lợi nhuận sau thuế,2021,1278027.0,2025-04-12
VE3,Lợi nhuận sau thuế,2022,29046.0,2025-04-12
VE3,Lợi nhuận sau thuế,2023,228236.0,2025-04-12
VE3,Lợi nhuận sau thuế,2024,254515.0,2025-04-12
VE3,Lợi nhuận sau thuế của công ty mẹ,2021,1278027.0,2025-04-12
VE3,Lợi nhuận sau thuế của công ty mẹ,2022,29046.0,2025-04-12
VE3,Lợi nhuận sau thuế của công ty mẹ,2023,228236.0,2025-04-12
VE3,Lợi nhuận sau thuế của công ty mẹ,2024,254515.0,2025-04-12
VE3,Tổng tài sản lưu động ngắn hạn,2021,86477981.0,2025-04-12
VE3,Tổng tài sản lưu động ngắn hạn,2022,86812750.0,2025-04-12
VE3,Tổng tài sản lưu động ngắn hạn,2023,115585120.0,2025-04-12
VE3,Tổng tài sản lưu động ngắn hạn,2024,183425871.0,2025-04-12
VE3,Tổng tài sản,2021,97580530.0,2025-04-12
VE3,Tổng tài sản,2022,97206991.0,2025-04-12
VE3,Tổng tài sản,2023,124617045.0,2025-04-12
VE3,Tổng tài sản,2024,193214199.0,2025-04-12
VE3,Nợ ngắn hạn,2021,75875546.0,2025-04-12
VE3,Nợ ngắn hạn,2022,77335521.0,2025-04-12
VE3,Nợ ngắn hạn,2023,105184824.0,2025-04-12
VE3,Nợ ngắn hạn,2024,172327463.0,2025-04-12
VE3,Tổng nợ,2021,78592715.0,2025-04-12
VE3,Tổng nợ,2022,78412688.0,2025-04-12
VE3,Tổng nợ,2023,105594507.0,2025-04-12
VE3,Tổng nợ,2024,173937146.0,2025-04-12
VE3,Vốn chủ sở hữu,2021,18987815.0,2025-04-12
VE3,Vốn chủ sở hữu,2022,18794302.0,2025-04-12
VE3,Vốn chủ sở hữu,2023,19022538.0,2025-04-12
VE3,Vốn chủ sở hữu,2024,19277053.0,2025-04-12
