symbol,metric,year,value,crawled_date
VGI,Doanh thu bán hàng và CCDV,2021,19267316065.0,2025-04-12
VGI,Doanh thu bán hàng và CCDV,2022,23644552111.0,2025-04-12
VGI,Doanh thu bán hàng và CCDV,2023,28212158823.0,2025-04-12
VGI,Doanh thu bán hàng và CCDV,2024,35367654090.0,2025-04-12
VGI,Giá vốn hàng bán,2021,12118118398.0,2025-04-12
VGI,Giá vốn hàng bán,2022,12670767041.0,2025-04-12
VGI,Giá vốn hàng bán,2023,13944164857.0,2025-04-12
VGI,Giá vốn hàng bán,2024,17462321011.0,2025-04-12
VGI,Lợi nhuận gộp về BH và CCDV,2021,7123930312.0,2025-04-12
VGI,Lợi nhuận gộp về BH và CCDV,2022,10958878591.0,2025-04-12
VGI,Lợi nhuận gộp về BH và CCDV,2023,14267993966.0,2025-04-12
VGI,Lợi nhuận gộp về BH và CCDV,2024,17905333080.0,2025-04-12
VGI,Lợi nhuận tài chính,2021,887710128.0,2025-04-12
VGI,Lợi nhuận tài chính,2022,1022855209.0,2025-04-12
VGI,Lợi nhuận tài chính,2023,239719535.0,2025-04-12
VGI,Lợi nhuận tài chính,2024,2466614965.0,2025-04-12
VGI,Lợi nhuận khác,2021,374184039.0,2025-04-12
VGI,Lợi nhuận khác,2022,51632243.0,2025-04-12
VGI,Lợi nhuận khác,2023,175317568.0,2025-04-12
VGI,Lợi nhuận khác,2024,302271279.0,2025-04-12
VGI,Tổng lợi nhuận trước thuế,2021,880298763.0,2025-04-12
VGI,Tổng lợi nhuận trước thuế,2022,3014067430.0,2025-04-12
VGI,Tổng lợi nhuận trước thuế,2023,3879329998.0,2025-04-12
VGI,Tổng lợi nhuận trước thuế,2024,10666803865.0,2025-04-12
VGI,Lợi nhuận sau thuế,2021,346840276.0,2025-04-12
VGI,Lợi nhuận sau thuế,2022,1540695401.0,2025-04-12
VGI,Lợi nhuận sau thuế,2023,1647144573.0,2025-04-12
VGI,Lợi nhuận sau thuế,2024,7173049458.0,2025-04-12
VGI,Lợi nhuận sau thuế của công ty mẹ,2021,-366628905.0,2025-04-12
VGI,Lợi nhuận sau thuế của công ty mẹ,2022,834067066.0,2025-04-12
VGI,Lợi nhuận sau thuế của công ty mẹ,2023,622523083.0,2025-04-12
VGI,Lợi nhuận sau thuế của công ty mẹ,2024,5626174333.0,2025-04-12
VGI,Tổng tài sản lưu động ngắn hạn,2021,29070756039.0,2025-04-12
VGI,Tổng tài sản lưu động ngắn hạn,2022,34453415121.0,2025-04-12
VGI,Tổng tài sản lưu động ngắn hạn,2023,37540220552.0,2025-04-12
VGI,Tổng tài sản lưu động ngắn hạn,2024,48680623562.0,2025-04-12
VGI,Tổng tài sản,2021,52851049839.0,2025-04-12
VGI,Tổng tài sản,2022,50303038606.0,2025-04-12
VGI,Tổng tài sản,2023,52464408146.0,2025-04-12
VGI,Tổng tài sản,2024,63438713442.0,2025-04-12
VGI,Nợ ngắn hạn,2021,16603007043.0,2025-04-12
VGI,Nợ ngắn hạn,2022,16585837681.0,2025-04-12
VGI,Nợ ngắn hạn,2023,18103132226.0,2025-04-12
VGI,Nợ ngắn hạn,2024,22599149242.0,2025-04-12
VGI,Tổng nợ,2021,24216558142.0,2025-04-12
VGI,Tổng nợ,2022,21194545513.0,2025-04-12
VGI,Tổng nợ,2023,21947382891.0,2025-04-12
VGI,Tổng nợ,2024,27606678855.0,2025-04-12
VGI,Vốn chủ sở hữu,2021,28634491697.0,2025-04-12
VGI,Vốn chủ sở hữu,2022,29108493093.0,2025-04-12
VGI,Vốn chủ sở hữu,2023,30517025254.0,2025-04-12
VGI,Vốn chủ sở hữu,2024,35832034586.0,2025-04-12
