symbol,metric,year,value,crawled_date
VIM,Doanh thu bán hàng và CCDV,2022,83981514.0,2025-04-12
VIM,Doanh thu bán hàng và CCDV,2023,76769533.0,2025-04-12
VIM,Doanh thu bán hàng và CCDV,2023,76769533.0,2025-04-12
VIM,Doanh thu bán hàng và CCDV,2024,65892699.0,2025-04-12
VIM,Giá vốn hàng bán,2022,70888778.0,2025-04-12
VIM,Giá vốn hàng bán,2023,63855122.0,2025-04-12
VIM,Giá vốn hàng bán,2023,63855122.0,2025-04-12
VIM,Giá vốn hàng bán,2024,55838231.0,2025-04-12
VIM,Lợi nhuận gộp về BH và CCDV,2022,13092736.0,2025-04-12
VIM,Lợi nhuận gộp về BH và CCDV,2023,12914412.0,2025-04-12
VIM,Lợi nhuận gộp về BH và CCDV,2023,12914412.0,2025-04-12
VIM,Lợi nhuận gộp về BH và CCDV,2024,10054469.0,2025-04-12
VIM,Lợi nhuận tài chính,2022,-316424.0,2025-04-12
VIM,Lợi nhuận tài chính,2023,-378514.0,2025-04-12
VIM,Lợi nhuận tài chính,2023,-378514.0,2025-04-12
VIM,Lợi nhuận tài chính,2024,-719848.0,2025-04-12
VIM,Lợi nhuận khác,2022,-114877.0,2025-04-12
VIM,Lợi nhuận khác,2023,-85510.0,2025-04-12
VIM,Lợi nhuận khác,2023,-85510.0,2025-04-12
VIM,Lợi nhuận khác,2024,-9262.0,2025-04-12
VIM,Tổng lợi nhuận trước thuế,2022,5014618.0,2025-04-12
VIM,Tổng lợi nhuận trước thuế,2023,3836081.0,2025-04-12
VIM,Tổng lợi nhuận trước thuế,2023,3836081.0,2025-04-12
VIM,Tổng lợi nhuận trước thuế,2024,1570580.0,2025-04-12
VIM,Lợi nhuận sau thuế,2022,3632553.0,2025-04-12
VIM,Lợi nhuận sau thuế,2023,2979387.0,2025-04-12
VIM,Lợi nhuận sau thuế,2023,2979387.0,2025-04-12
VIM,Lợi nhuận sau thuế,2024,994371.0,2025-04-12
VIM,Lợi nhuận sau thuế của công ty mẹ,2022,3632553.0,2025-04-12
VIM,Lợi nhuận sau thuế của công ty mẹ,2023,2979387.0,2025-04-12
VIM,Lợi nhuận sau thuế của công ty mẹ,2023,2979387.0,2025-04-12
VIM,Lợi nhuận sau thuế của công ty mẹ,2024,994371.0,2025-04-12
VIM,Tổng tài sản lưu động ngắn hạn,2022,27759666.0,2025-04-12
VIM,Tổng tài sản lưu động ngắn hạn,2023,35159014.0,2025-04-12
VIM,Tổng tài sản lưu động ngắn hạn,2023,35159014.0,2025-04-12
VIM,Tổng tài sản lưu động ngắn hạn,2024,33485968.0,2025-04-12
VIM,Tổng tài sản,2022,41678158.0,2025-04-12
VIM,Tổng tài sản,2023,48917623.0,2025-04-12
VIM,Tổng tài sản,2023,48917623.0,2025-04-12
VIM,Tổng tài sản,2024,45661763.0,2025-04-12
VIM,Nợ ngắn hạn,2022,13805419.0,2025-04-12
VIM,Nợ ngắn hạn,2023,22119160.0,2025-04-12
VIM,Nợ ngắn hạn,2023,22119160.0,2025-04-12
VIM,Nợ ngắn hạn,2024,19757142.0,2025-04-12
VIM,Tổng nợ,2022,16887996.0,2025-04-12
VIM,Tổng nợ,2023,24680603.0,2025-04-12
VIM,Tổng nợ,2023,24680603.0,2025-04-12
VIM,Tổng nợ,2024,22397451.0,2025-04-12
VIM,Vốn chủ sở hữu,2022,24790163.0,2025-04-12
VIM,Vốn chủ sở hữu,2023,24237020.0,2025-04-12
VIM,Vốn chủ sở hữu,2023,24237020.0,2025-04-12
VIM,Vốn chủ sở hữu,2024,23264312.0,2025-04-12
