symbol,metric,year,value,crawled_date
VLA,Doanh thu bán hàng và CCDV,2021,14454238.0,2025-04-12
VLA,Doanh thu bán hàng và CCDV,2022,32478572.0,2025-04-12
VLA,Doanh thu bán hàng và CCDV,2023,10986743.0,2025-04-12
VLA,Doanh thu bán hàng và CCDV,2024,14762080.0,2025-04-12
VLA,Giá vốn hàng bán,2021,3405697.0,2025-04-12
VLA,Giá vốn hàng bán,2022,11502376.0,2025-04-12
VLA,Giá vốn hàng bán,2023,2775033.0,2025-04-12
VLA,Giá vốn hàng bán,2024,4708238.0,2025-04-12
VLA,Lợi nhuận gộp về BH và CCDV,2021,11048541.0,2025-04-12
VLA,Lợi nhuận gộp về BH và CCDV,2022,20976196.0,2025-04-12
VLA,Lợi nhuận gộp về BH và CCDV,2023,8211710.0,2025-04-12
VLA,Lợi nhuận gộp về BH và CCDV,2024,10053842.0,2025-04-12
VLA,Lợi nhuận tài chính,2021,84727.0,2025-04-12
VLA,Lợi nhuận tài chính,2022,152035.0,2025-04-12
VLA,Lợi nhuận tài chính,2023,36326.0,2025-04-12
VLA,Lợi nhuận tài chính,2024,611870.0,2025-04-12
VLA,Lợi nhuận khác,2021,-30362.0,2025-04-12
VLA,Lợi nhuận khác,2022,-4197076.0,2025-04-12
VLA,Lợi nhuận khác,2023,186583.0,2025-04-12
VLA,Lợi nhuận khác,2024,2881265.0,2025-04-12
VLA,Tổng lợi nhuận trước thuế,2021,7004721.0,2025-04-12
VLA,Tổng lợi nhuận trước thuế,2022,4594157.0,2025-04-12
VLA,Tổng lợi nhuận trước thuế,2023,332716.0,2025-04-12
VLA,Tổng lợi nhuận trước thuế,2024,721154.0,2025-04-12
VLA,Lợi nhuận sau thuế,2021,5667821.0,2025-04-12
VLA,Lợi nhuận sau thuế,2022,3639207.0,2025-04-12
VLA,Lợi nhuận sau thuế,2023,131943.0,2025-04-12
VLA,Lợi nhuận sau thuế,2024,516590.0,2025-04-12
VLA,Lợi nhuận sau thuế của công ty mẹ,2021,5667821.0,2025-04-12
VLA,Lợi nhuận sau thuế của công ty mẹ,2022,3639207.0,2025-04-12
VLA,Lợi nhuận sau thuế của công ty mẹ,2023,131943.0,2025-04-12
VLA,Lợi nhuận sau thuế của công ty mẹ,2024,516590.0,2025-04-12
VLA,Tổng tài sản lưu động ngắn hạn,2021,16699932.0,2025-04-12
VLA,Tổng tài sản lưu động ngắn hạn,2022,7306815.0,2025-04-12
VLA,Tổng tài sản lưu động ngắn hạn,2023,26510757.0,2025-04-12
VLA,Tổng tài sản lưu động ngắn hạn,2024,45847959.0,2025-04-12
VLA,Tổng tài sản,2021,25260223.0,2025-04-12
VLA,Tổng tài sản,2022,26214271.0,2025-04-12
VLA,Tổng tài sản,2023,45371154.0,2025-04-12
VLA,Tổng tài sản,2024,50093872.0,2025-04-12
VLA,Nợ ngắn hạn,2021,4529200.0,2025-04-12
VLA,Nợ ngắn hạn,2022,2497397.0,2025-04-12
VLA,Nợ ngắn hạn,2023,1817821.0,2025-04-12
VLA,Nợ ngắn hạn,2024,6023950.0,2025-04-12
VLA,Tổng nợ,2021,4529200.0,2025-04-12
VLA,Tổng nợ,2022,2497397.0,2025-04-12
VLA,Tổng nợ,2023,1817821.0,2025-04-12
VLA,Tổng nợ,2024,6023950.0,2025-04-12
VLA,Vốn chủ sở hữu,2021,20731024.0,2025-04-12
VLA,Vốn chủ sở hữu,2022,23716874.0,2025-04-12
VLA,Vốn chủ sở hữu,2023,43553333.0,2025-04-12
VLA,Vốn chủ sở hữu,2024,44069923.0,2025-04-12
