symbol,metric,year,value,crawled_date
VNR,Doanh thu thuần HĐKD bảo hiểm,2020,1578398460.0,2025-04-12
VNR,Doanh thu thuần HĐKD bảo hiểm,2021,1605861780.0,2025-04-12
VNR,Doanh thu thuần HĐKD bảo hiểm,2022,1514308360.0,2025-04-12
VNR,Doanh thu thuần HĐKD bảo hiểm,2023,1630052986.0,2025-04-12
VNR,Lợi nhuận từ HĐKD bảo hiểm,2020,93237590.0,2025-04-12
VNR,Lợi nhuận từ HĐKD bảo hiểm,2021,129754810.0,2025-04-12
VNR,Lợi nhuận từ HĐKD bảo hiểm,2022,237232100.0,2025-04-12
VNR,Lợi nhuận từ HĐKD bảo hiểm,2023,140241165.0,2025-04-12
VNR,Lợi nhuận từ HĐ tài chính,2020,323780440.0,2025-04-12
VNR,Lợi nhuận từ HĐ tài chính,2021,344279230.0,2025-04-12
VNR,Lợi nhuận từ HĐ tài chính,2022,297812370.0,2025-04-12
VNR,Lợi nhuận từ HĐ tài chính,2023,450939051.0,2025-04-12
VNR,Tổng lợi nhuận trước thuế,2020,377193500.0,2025-04-12
VNR,Tổng lợi nhuận trước thuế,2021,423286580.0,2025-04-12
VNR,Tổng lợi nhuận trước thuế,2022,462927470.0,2025-04-12
VNR,Tổng lợi nhuận trước thuế,2023,499863282.0,2025-04-12
VNR,Lợi nhuận sau thuế,2020,311071790.0,2025-04-12
VNR,Lợi nhuận sau thuế,2021,347055680.0,2025-04-12
VNR,Lợi nhuận sau thuế,2022,378384580.0,2025-04-12
VNR,Lợi nhuận sau thuế,2023,423439460.0,2025-04-12
VNR,Lợi nhuận sau thuế Công ty mẹ,2020,312244290.0,2025-04-12
VNR,Lợi nhuận sau thuế Công ty mẹ,2021,346949020.0,2025-04-12
VNR,Lợi nhuận sau thuế Công ty mẹ,2022,380156630.0,2025-04-12
VNR,Lợi nhuận sau thuế Công ty mẹ,2023,421425244.0,2025-04-12
VNR,Tổng tài sản lưu động ngắn hạn,2020,4893422740.0,2025-04-12
VNR,Tổng tài sản lưu động ngắn hạn,2021,5413636200.0,2025-04-12
VNR,Tổng tài sản lưu động ngắn hạn,2022,5110927840.0,2025-04-12
VNR,Tổng tài sản lưu động ngắn hạn,2023,5646385571.0,2025-04-12
VNR,Tổng tài sản,2020,6975739930.0,2025-04-12
VNR,Tổng tài sản,2021,7156614290.0,2025-04-12
VNR,Tổng tài sản,2022,7126478830.0,2025-04-12
VNR,Tổng tài sản,2023,8002256149.0,2025-04-12
VNR,Nợ ngắn hạn,2020,800448050.0,2025-04-12
VNR,Nợ ngắn hạn,2021,706189000.0,2025-04-12
VNR,Nợ ngắn hạn,2022,700474930.0,2025-04-12
VNR,Nợ ngắn hạn,2023,1131590903.0,2025-04-12
VNR,Tổng nợ,2020,3807766810.0,2025-04-12
VNR,Tổng nợ,2021,3844851300.0,2025-04-12
VNR,Tổng nợ,2022,3640711540.0,2025-04-12
VNR,Tổng nợ,2023,4251253870.0,2025-04-12
VNR,Vốn chủ sở hữu,2020,3111665140.0,2025-04-12
VNR,Vốn chủ sở hữu,2021,3251950280.0,2025-04-12
VNR,Vốn chủ sở hữu,2022,3425378130.0,2025-04-12
VNR,Vốn chủ sở hữu,2023,3683367290.0,2025-04-12
