symbol,metric,year,value,crawled_date
VNS,Doanh thu bán hàng và CCDV,2022,1089175150.0,2025-04-12
VNS,Doanh thu bán hàng và CCDV,2023,1218799729.0,2025-04-12
VNS,Giá vốn hàng bán,2020,1035966212.0,2025-04-12
VNS,Giá vốn hàng bán,2021,616356665.0,2025-04-12
VNS,Giá vốn hàng bán,2022,792691208.0,2025-04-12
VNS,Giá vốn hàng bán,2023,963185815.0,2025-04-12
VNS,Lợi nhuận gộp về BH và CCDV,2020,-29963861.0,2025-04-12
VNS,Lợi nhuận gộp về BH và CCDV,2021,-131676719.0,2025-04-12
VNS,Lợi nhuận gộp về BH và CCDV,2022,296483942.0,2025-04-12
VNS,Lợi nhuận gộp về BH và CCDV,2023,255613914.0,2025-04-12
VNS,Lợi nhuận tài chính,2020,-29434551.0,2025-04-12
VNS,Lợi nhuận tài chính,2021,-8162046.0,2025-04-12
VNS,Lợi nhuận tài chính,2022,12353306.0,2025-04-12
VNS,Lợi nhuận tài chính,2023,10668863.0,2025-04-12
VNS,Lợi nhuận khác,2020,67351054.0,2025-04-12
VNS,Lợi nhuận khác,2021,-10212478.0,2025-04-12
VNS,Lợi nhuận khác,2022,26100107.0,2025-04-12
VNS,Lợi nhuận khác,2023,43864141.0,2025-04-12
VNS,Tổng lợi nhuận trước thuế,2020,-210715126.0,2025-04-12
VNS,Tổng lợi nhuận trước thuế,2021,-276750086.0,2025-04-12
VNS,Tổng lợi nhuận trước thuế,2022,186800319.0,2025-04-12
VNS,Tổng lợi nhuận trước thuế,2023,151232161.0,2025-04-12
VNS,Lợi nhuận sau thuế,2020,-210578389.0,2025-04-12
VNS,Lợi nhuận sau thuế,2021,-277167079.0,2025-04-12
VNS,Lợi nhuận sau thuế,2022,185350736.0,2025-04-12
VNS,Lợi nhuận sau thuế,2023,151204580.0,2025-04-12
VNS,Lợi nhuận sau thuế của công ty mẹ,2020,-207021932.0,2025-04-12
VNS,Lợi nhuận sau thuế của công ty mẹ,2021,-273173148.0,2025-04-12
VNS,Lợi nhuận sau thuế của công ty mẹ,2022,183771442.0,2025-04-12
VNS,Lợi nhuận sau thuế của công ty mẹ,2023,150758857.0,2025-04-12
VNS,Tổng tài sản lưu động ngắn hạn,2020,441178645.0,2025-04-12
VNS,Tổng tài sản lưu động ngắn hạn,2021,627505986.0,2025-04-12
VNS,Tổng tài sản lưu động ngắn hạn,2022,717776251.0,2025-04-12
VNS,Tổng tài sản lưu động ngắn hạn,2023,549222012.0,2025-04-12
VNS,Tổng tài sản,2020,2058333628.0,2025-04-12
VNS,Tổng tài sản,2021,1571671830.0,2025-04-12
VNS,Tổng tài sản,2022,1836573334.0,2025-04-12
VNS,Tổng tài sản,2023,1653047311.0,2025-04-12
VNS,Nợ ngắn hạn,2020,262592666.0,2025-04-12
VNS,Nợ ngắn hạn,2021,226004826.0,2025-04-12
VNS,Nợ ngắn hạn,2022,175568576.0,2025-04-12
VNS,Nợ ngắn hạn,2023,177465071.0,2025-04-12
VNS,Tổng nợ,2020,574350144.0,2025-04-12
VNS,Tổng nợ,2021,365479425.0,2025-04-12
VNS,Tổng nợ,2022,451655908.0,2025-04-12
VNS,Tổng nợ,2023,485123023.0,2025-04-12
VNS,Vốn chủ sở hữu,2020,1483983484.0,2025-04-12
VNS,Vốn chủ sở hữu,2021,1206192405.0,2025-04-12
VNS,Vốn chủ sở hữu,2022,1384917426.0,2025-04-12
VNS,Vốn chủ sở hữu,2023,1167924288.0,2025-04-12
