symbol,metric,year,value,crawled_date
VNZ,Doanh thu bán hàng và CCDV,2021,7649059991.0,2025-04-12
VNZ,Doanh thu bán hàng và CCDV,2022,7800524775.0,2025-04-12
VNZ,Doanh thu bán hàng và CCDV,2023,7592705115.0,2025-04-12
VNZ,Doanh thu bán hàng và CCDV,2024,9273323312.0,2025-04-12
VNZ,Giá vốn hàng bán,2021,4105496321.0,2025-04-12
VNZ,Giá vốn hàng bán,2022,4363495796.0,2025-04-12
VNZ,Giá vốn hàng bán,2023,5304370047.0,2025-04-12
VNZ,Giá vốn hàng bán,2024,5847152303.0,2025-04-12
VNZ,Lợi nhuận gộp về BH và CCDV,2021,3543563670.0,2025-04-12
VNZ,Lợi nhuận gộp về BH và CCDV,2022,3437028979.0,2025-04-12
VNZ,Lợi nhuận gộp về BH và CCDV,2023,2288335068.0,2025-04-12
VNZ,Lợi nhuận gộp về BH và CCDV,2024,3426171009.0,2025-04-12
VNZ,Lợi nhuận tài chính,2021,199904080.0,2025-04-12
VNZ,Lợi nhuận tài chính,2022,109371463.0,2025-04-12
VNZ,Lợi nhuận tài chính,2023,-126469153.0,2025-04-12
VNZ,Lợi nhuận tài chính,2024,-19309977.0,2025-04-12
VNZ,Lợi nhuận khác,2021,-8049453.0,2025-04-12
VNZ,Lợi nhuận khác,2022,-176980244.0,2025-04-12
VNZ,Lợi nhuận khác,2023,-63886375.0,2025-04-12
VNZ,Lợi nhuận khác,2024,-449301455.0,2025-04-12
VNZ,Tổng lợi nhuận trước thuế,2021,253978962.0,2025-04-12
VNZ,Tổng lợi nhuận trước thuế,2022,-1118575579.0,2025-04-12
VNZ,Tổng lợi nhuận trước thuế,2023,-2149826237.0,2025-04-12
VNZ,Tổng lợi nhuận trước thuế,2024,-735435971.0,2025-04-12
VNZ,Lợi nhuận sau thuế,2021,-72399459.0,2025-04-12
VNZ,Lợi nhuận sau thuế,2022,-1533916957.0,2025-04-12
VNZ,Lợi nhuận sau thuế,2023,-2317244894.0,2025-04-12
VNZ,Lợi nhuận sau thuế,2024,-1180381102.0,2025-04-12
VNZ,Lợi nhuận sau thuế của công ty mẹ,2021,412660261.0,2025-04-12
VNZ,Lợi nhuận sau thuế của công ty mẹ,2022,-1077143624.0,2025-04-12
VNZ,Lợi nhuận sau thuế của công ty mẹ,2023,-2101010259.0,2025-04-12
VNZ,Lợi nhuận sau thuế của công ty mẹ,2024,-1080672796.0,2025-04-12
VNZ,Tổng tài sản lưu động ngắn hạn,2021,7278409706.0,2025-04-12
VNZ,Tổng tài sản lưu động ngắn hạn,2022,4862757122.0,2025-04-12
VNZ,Tổng tài sản lưu động ngắn hạn,2023,5490264068.0,2025-04-12
VNZ,Tổng tài sản lưu động ngắn hạn,2024,4338133625.0,2025-04-12
VNZ,Tổng tài sản,2021,9237280765.0,2025-04-12
VNZ,Tổng tài sản,2022,8899715163.0,2025-04-12
VNZ,Tổng tài sản,2023,9594666619.0,2025-04-12
VNZ,Tổng tài sản,2024,9434153227.0,2025-04-12
VNZ,Nợ ngắn hạn,2021,2375455160.0,2025-04-12
VNZ,Nợ ngắn hạn,2022,2785961838.0,2025-04-12
VNZ,Nợ ngắn hạn,2023,5361907866.0,2025-04-12
VNZ,Nợ ngắn hạn,2024,5916173958.0,2025-04-12
VNZ,Tổng nợ,2021,2913948175.0,2025-04-12
VNZ,Tổng nợ,2022,3785127885.0,2025-04-12
VNZ,Tổng nợ,2023,6784566569.0,2025-04-12
VNZ,Tổng nợ,2024,8326204270.0,2025-04-12
VNZ,Vốn chủ sở hữu,2021,6323332590.0,2025-04-12
VNZ,Vốn chủ sở hữu,2022,5114587278.0,2025-04-12
VNZ,Vốn chủ sở hữu,2023,2810100050.0,2025-04-12
VNZ,Vốn chủ sở hữu,2024,1107948957.0,2025-04-12
