symbol,metric,year,value,crawled_date
VPH,Doanh thu bán hàng và CCDV,2021,292477562.0,2025-04-12
VPH,Doanh thu bán hàng và CCDV,2022,162549786.0,2025-04-12
VPH,Doanh thu bán hàng và CCDV,2023,76123892.0,2025-04-12
VPH,Doanh thu bán hàng và CCDV,2024,47404126.0,2025-04-12
VPH,Giá vốn hàng bán,2021,138775282.0,2025-04-12
VPH,Giá vốn hàng bán,2022,62267880.0,2025-04-12
VPH,Giá vốn hàng bán,2023,29521774.0,2025-04-12
VPH,Giá vốn hàng bán,2024,43841757.0,2025-04-12
VPH,Lợi nhuận gộp về BH và CCDV,2021,151782279.0,2025-04-12
VPH,Lợi nhuận gộp về BH và CCDV,2022,99341906.0,2025-04-12
VPH,Lợi nhuận gộp về BH và CCDV,2023,43621109.0,2025-04-12
VPH,Lợi nhuận gộp về BH và CCDV,2024,3562368.0,2025-04-12
VPH,Lợi nhuận tài chính,2021,30156383.0,2025-04-12
VPH,Lợi nhuận tài chính,2022,-18876905.0,2025-04-12
VPH,Lợi nhuận tài chính,2023,4502482.0,2025-04-12
VPH,Lợi nhuận tài chính,2024,201003205.0,2025-04-12
VPH,Lợi nhuận khác,2021,-5063036.0,2025-04-12
VPH,Lợi nhuận khác,2022,15981546.0,2025-04-12
VPH,Lợi nhuận khác,2023,18332778.0,2025-04-12
VPH,Lợi nhuận khác,2024,1437757.0,2025-04-12
VPH,Tổng lợi nhuận trước thuế,2021,109394970.0,2025-04-12
VPH,Tổng lợi nhuận trước thuế,2022,32871001.0,2025-04-12
VPH,Tổng lợi nhuận trước thuế,2023,5060735.0,2025-04-12
VPH,Tổng lợi nhuận trước thuế,2024,159651543.0,2025-04-12
VPH,Lợi nhuận sau thuế,2021,83368189.0,2025-04-12
VPH,Lợi nhuận sau thuế,2022,19777587.0,2025-04-12
VPH,Lợi nhuận sau thuế,2023,-821559.0,2025-04-12
VPH,Lợi nhuận sau thuế,2024,129495788.0,2025-04-12
VPH,Lợi nhuận sau thuế của công ty mẹ,2021,83208351.0,2025-04-12
VPH,Lợi nhuận sau thuế của công ty mẹ,2022,19666008.0,2025-04-12
VPH,Lợi nhuận sau thuế của công ty mẹ,2023,-851917.0,2025-04-12
VPH,Lợi nhuận sau thuế của công ty mẹ,2024,129522291.0,2025-04-12
VPH,Tổng tài sản lưu động ngắn hạn,2021,1642895555.0,2025-04-12
VPH,Tổng tài sản lưu động ngắn hạn,2022,1835799552.0,2025-04-12
VPH,Tổng tài sản lưu động ngắn hạn,2023,1907514573.0,2025-04-12
VPH,Tổng tài sản lưu động ngắn hạn,2024,1305769159.0,2025-04-12
VPH,Tổng tài sản,2021,2051054646.0,2025-04-12
VPH,Tổng tài sản,2022,2242856353.0,2025-04-12
VPH,Tổng tài sản,2023,2366331086.0,2025-04-12
VPH,Tổng tài sản,2024,1931876903.0,2025-04-12
VPH,Nợ ngắn hạn,2021,982066413.0,2025-04-12
VPH,Nợ ngắn hạn,2022,1220420789.0,2025-04-12
VPH,Nợ ngắn hạn,2023,1344608491.0,2025-04-12
VPH,Nợ ngắn hạn,2024,833660653.0,2025-04-12
VPH,Tổng nợ,2021,982578581.0,2025-04-12
VPH,Tổng nợ,2022,1220932957.0,2025-04-12
VPH,Tổng nợ,2023,1345915326.0,2025-04-12
VPH,Tổng nợ,2024,839286059.0,2025-04-12
VPH,Vốn chủ sở hữu,2021,1068476064.0,2025-04-12
VPH,Vốn chủ sở hữu,2022,1021923397.0,2025-04-12
VPH,Vốn chủ sở hữu,2023,1020415761.0,2025-04-12
VPH,Vốn chủ sở hữu,2024,1092590844.0,2025-04-12
