symbol,metric,year,value,crawled_date
VPW,Doanh thu bán hàng và CCDV,2022,205656783.0,2025-04-12
VPW,Doanh thu bán hàng và CCDV,2022,205656783.0,2025-04-12
VPW,Doanh thu bán hàng và CCDV,2023,204953491.0,2025-04-12
VPW,Doanh thu bán hàng và CCDV,2024,217995573.0,2025-04-12
VPW,Giá vốn hàng bán,2022,152817489.0,2025-04-12
VPW,Giá vốn hàng bán,2022,152817489.0,2025-04-12
VPW,Giá vốn hàng bán,2023,153644512.0,2025-04-12
VPW,Giá vốn hàng bán,2024,170135559.0,2025-04-12
VPW,Lợi nhuận gộp về BH và CCDV,2022,52839294.0,2025-04-12
VPW,Lợi nhuận gộp về BH và CCDV,2022,52839294.0,2025-04-12
VPW,Lợi nhuận gộp về BH và CCDV,2023,51308979.0,2025-04-12
VPW,Lợi nhuận gộp về BH và CCDV,2024,47860014.0,2025-04-12
VPW,Lợi nhuận tài chính,2022,109860.0,2025-04-12
VPW,Lợi nhuận tài chính,2022,109860.0,2025-04-12
VPW,Lợi nhuận tài chính,2023,1129181.0,2025-04-12
VPW,Lợi nhuận tài chính,2024,-1297142.0,2025-04-12
VPW,Lợi nhuận khác,2022,1058810.0,2025-04-12
VPW,Lợi nhuận khác,2022,1058810.0,2025-04-12
VPW,Lợi nhuận khác,2023,1498462.0,2025-04-12
VPW,Lợi nhuận khác,2024,1654732.0,2025-04-12
VPW,Tổng lợi nhuận trước thuế,2022,11320479.0,2025-04-12
VPW,Tổng lợi nhuận trước thuế,2022,11320479.0,2025-04-12
VPW,Tổng lợi nhuận trước thuế,2023,12399264.0,2025-04-12
VPW,Tổng lợi nhuận trước thuế,2024,8050310.0,2025-04-12
VPW,Lợi nhuận sau thuế,2022,9169546.0,2025-04-12
VPW,Lợi nhuận sau thuế,2022,9169546.0,2025-04-12
VPW,Lợi nhuận sau thuế,2023,10165903.0,2025-04-12
VPW,Lợi nhuận sau thuế,2024,6558121.0,2025-04-12
VPW,Lợi nhuận sau thuế của công ty mẹ,2022,9169546.0,2025-04-12
VPW,Lợi nhuận sau thuế của công ty mẹ,2022,9169546.0,2025-04-12
VPW,Lợi nhuận sau thuế của công ty mẹ,2023,10165903.0,2025-04-12
VPW,Lợi nhuận sau thuế của công ty mẹ,2024,6558121.0,2025-04-12
VPW,Tổng tài sản lưu động ngắn hạn,2022,128368777.0,2025-04-12
VPW,Tổng tài sản lưu động ngắn hạn,2022,128368777.0,2025-04-12
VPW,Tổng tài sản lưu động ngắn hạn,2023,76428926.0,2025-04-12
VPW,Tổng tài sản lưu động ngắn hạn,2024,89310754.0,2025-04-12
VPW,Tổng tài sản,2022,999850101.0,2025-04-12
VPW,Tổng tài sản,2022,999850101.0,2025-04-12
VPW,Tổng tài sản,2023,288336339.0,2025-04-12
VPW,Tổng tài sản,2024,330226800.0,2025-04-12
VPW,Nợ ngắn hạn,2022,81839059.0,2025-04-12
VPW,Nợ ngắn hạn,2022,81839059.0,2025-04-12
VPW,Nợ ngắn hạn,2023,48218992.0,2025-04-12
VPW,Nợ ngắn hạn,2024,68482066.0,2025-04-12
VPW,Tổng nợ,2022,876965719.0,2025-04-12
VPW,Tổng nợ,2022,876965719.0,2025-04-12
VPW,Tổng nợ,2023,162167223.0,2025-04-12
VPW,Tổng nợ,2024,182101864.0,2025-04-12
VPW,Vốn chủ sở hữu,2022,122884382.0,2025-04-12
VPW,Vốn chủ sở hữu,2022,122884382.0,2025-04-12
VPW,Vốn chủ sở hữu,2023,126169116.0,2025-04-12
VPW,Vốn chủ sở hữu,2024,148124936.0,2025-04-12
